Common name;General ID name;Count;Class;Ecosystem;Scientifc Name;Appendix;Appendix exceptions, if any;
Sun Bear;Bear;1;Mammal;Terrestrial;Helarctos malayanus;1;;
Sloth Bear;Bear;1;Mammal;Terrestrial;Melursus ursinus;1;;
Andean Bear;Bear;1;Mammal;Terrestrial;Tremarctos ornatus;1;;
Brown Bear;Bear;1;Mammal;Terrestrial;Ursus arctos;1;Only the populations of: Bhutan, China, Mexico and Mongolia;
Himalayan Brown Bear;Bear;1;Mammal;Terrestrial;Ursus arctos isabellinus;1;Only the populations of: Bhutan, China, Mexico and Mongolia;
Asian Black Bear;Bear;1;Mammal;Terrestrial;Ursus thibetanus;1;;
Cheetah;Cheetah;1;Mammal;Terrestrial;Acinonyx jubatus;1;;
Chimpanzee;Chimpanzee;1;Mammal;Terrestrial;Pan troglodytes;1;;
American crocodile;Crocodile;1;Reptile;Aquatic;Crocodylus acutus;1;Except some populations of Colombia, and the populations of Cuba and Mexico;
African Slender-nosed Crocodile;Crocodile;1;Reptile;Aquatic;Crocodylus cataphractus;1;;
Orinoco crocodile;Crocodile;1;Reptile;Aquatic;Crocodylus intermedius;1;;
Mindoro crocodile;Crocodile;1;Reptile;Aquatic;Crocodylus mindorensis;1;;
Belize crocodile;Crocodile;1;Reptile;Aquatic;Crocodylus moreletii;1;Except for the populations of Belize and Mexico;
Nile crocodile;Crocodile;1;Reptile;Aquatic;Crocodylus niloticus;1;Except the populations of Botswana, Egypt, Ethiopia, Kenya, Madagascar, Malawi, Mozambique, Namibia, South Africa, Ugana, United Republic of Tanzania, Zambia, and Zimbabwe;
Marsh crocodile;Crocodile;1;Reptile;Aquatic;Crocodylus palustris;1;;
Estuarine Crocodile;Crocodile;1;Reptile;Aquatic;Crocodylus porosus;1;Except the populations of Australia, Indonesia, Malaysia;
Cuban crocodile;Crocodile;1;Reptile;Aquatic;Crocodylus rhombifer;1;;
Siamese crocodile;Crocodile;1;Reptile;Aquatic;Crocodylus siamensis;1;;
Gharial;Crocodile;1;Reptile;Aquatic;Gavialis gangeticus;1;;
African Dwarf crocodile;Crocodile;1;Reptile;Aquatic;Osteolaemus tetraspis;1;;
Chinese lake dolphin;Dolphin;1;Mammal;Aquatic;Lipotes vexillifer;1;;
Irrawaddy dolphin;Dolphin;1;Mammal;Aquatic;Orcaella brevirostris;1;;
Australian snubfin dolphin;Dolphin;1;Mammal;Aquatic;Orcaella heinsohni;1;;
Indus River Dolphin;Dolphin;1;Mammal;Aquatic;Plantanista gangetica;1;;
Tucuxi;Dolphin;1;Mammal;Aquatic;Sotalia fluviatilis;1;;
Guiana dolphin;Dolphin;1;Mammal;Aquatic;Sotalia guianensis;1;;
Indo-Pacific humpback dolphin;Dolphin;1;Mammal;Aquatic;Sousa chinensis;1;;
Indian Ocean humpback dolphin;Dolphin;1;Mammal;Aquatic;Sousa plumbea;1;;
Australian humpback dolphin;Dolphin;1;Mammal;Aquatic;Sousa sahulensis;1;;
Atlantic humpback dolphin;Dolphin;1;Mammal;Aquatic;Sousa teuszii;1;;
Asian Elephant;Elephant;1;Mammal;Terrestrial;Elephas maximus;1;;
African Elephant;Elephant;1;Mammal;Terrestrial;Loxodonta africana;1;Except populations of Botswana, Namibia, South Africa, and Zimbabwe;
Eastern Gorilla;Gorilla;1;Mammal;Terrestrial;Gorilla beringei;1;;
Lowland Gorilla;Gorilla;1;Mammal;Terrestrial;Gorilla gorilla;1;;
Lion;Lion;1;Mammal;Terrestrial;Panthera leo;1;Appendix 1 ONLY the populations of India;
Panda;Panda;1;Mammal;Terrestrial;Ailuropoda melanoleuca;1;;
Jaguar;Panther;1;Mammal;Terrestrial;Panthera onca;1;;
Leopard;Panther;1;Mammal;Terrestrial;Panthera pardus;1;;
Grass Rhinoceros;Rhinoceros;1;Mammal;Terrestrial;Ceratotherium simum;1;;
Southern White Rhinoceros;Rhinoceros;1;Mammal;Terrestrial;Ceratotherium simum simum;1;Except for the populations of South Africa and Eswatini;
Sumatran Rhinoceros;Rhinoceros;1;Mammal;Terrestrial;Dicerorhinus sumatrensis;1;;
Black Rhinoceros;Rhinoceros;1;Mammal;Terrestrial;Diceros bicornis;1;;
Javan Rhinoceros;Rhinoceros;1;Mammal;Terrestrial;Rhinoceros sondaicus;1;;
Indian Rhinoceros;Rhinoceros;1;Mammal;Terrestrial;Rhinoceros unicornis;1;;
Knifetooth Sawfish;Shark;1;Fish;Aquatic;Anoxypristis cuspidata;1;;
Comb shark;Shark;1;Fish;Aquatic;Pristis pectinata;1;;
Tiger;Tiger;1;Mammal;Terrestrial;Panthera tigris;1;;
Bowhead Whale;Whale;1;Mammal;Aquatic;Balaena mysticetus;1;;
Common minke whale;Whale;1;Mammal;Aquatic;Balaenoptera acutorostrata;1;Except the population of West Greenland;
