Common name;Other common names;Count;Class;Ecosystem;Scientifc Name;Appendix;Conservation Attention;Geographic Distribution;
Humpback whale;;1;Mammal;Aquatic;Megaptera novaeangliae;1;;;
Lion;;1;Mammal;Terrestrial;Panthera leo;1;;;
Jaguar;;1;Mammal;Terrestrial;Panthera onca;1;;;
Leopard;;1;Mammal;Terrestrial;Panthera pardus;1;;;
Panda;Giant Panda;1;Mammal;Terrestrial;Ailuropoda melanoleuca;1;;China;
Cheetah;Hunting leopard;1;Mammal;Terrestrial;Acinonyx jubatus;1;;;
Wolf;;1;Mammal;Terrestrial;Canis lupus;1;;;
Gorilla;;1;Mammal;Terrestrial;Gorilla beringei;1;;DRC, Rwanda, Uganda;
Zebra (Grevy's Zebra);;1;Mammal;Terrestrial;Equus grevyi;1;;;
Crocodile;;1;Reptile;Aquatic;Crocodylus porosus;1;;Appendix I:Except the populations of Australia, Indonesia, Malaysia;
Chimpanzee;Common chimpanzee, Robust chimpanzee;1;Mammal;Terrestrial;Pan troglodytes;1;;Indonesia;
Brown Bear;;1;Mammal;Terrestrial;Ursus arctos;1;;Bhutan, China, Mexico and Mongolia;
Blue Whale;Sibbald's Rorqual, Sulphur-bottom Whale;1;Mammal;Aquatic;Balaenoptera musculus;1;;;
Indus River Dolphin;;1;Mammal;Aquatic;Plantanista gangetica;1;;;
Cougar;;1;Mammal;Terrestrial;Puma concolor;1;;;
Leatherback sea turtle;;1;Reptile;Aquatic;Dermochelys coriacea;1;;;
Orangutan;;1;Mammal;Terrestrial;Pongo pygmaeus;1;;;
Red Panda;;1;Mammal;Terrestrial;Ailurus fulgens;1;Good;Bhutan, China, India, Lao, Myanmar, Nepal;
Green Turtle;;1;Reptile;Aquatic;Chelonia mydas;1;Good;;
West Indian Manatee;American Manatee, Caribbean Manatee, North American Manatee;1;Mammal;Aquatic;Trichechus manatus;1;;;
