scientific_name;Countries;Country_count;article_count
Acinonyx jubatus;India;43;50
Acinonyx jubatus;Iran;35;50
Acinonyx jubatus;Namibia;5;50
Acinonyx jubatus;South Africa;5;50
Acinonyx jubatus;China;4;50
Acinonyx jubatus;Ethiopia;3;50
Acinonyx jubatus;Nepal;3;50
Acinonyx jubatus;Russia;3;50
Acinonyx jubatus;Algeria;2;50
Acinonyx jubatus;Egypt;2;50
Acinonyx jubatus;Gabon;2;50
Acinonyx jubatus;Madagascar;2;50
Acinonyx jubatus;Uganda;2;50
Acinonyx jubatus;Afghanistan;1;50
Acinonyx jubatus;France;1;50
Acinonyx jubatus;Georgia;1;50
Acinonyx jubatus;Iraq;1;50
Acinonyx jubatus;Israel;1;50
Acinonyx jubatus;Jordan;1;50
Acinonyx jubatus;Kazakhstan;1;50
Acinonyx jubatus;Kuwait;1;50
Acinonyx jubatus;Mali;1;50
Acinonyx jubatus;Netherlands;1;50
Acinonyx jubatus;Oman;1;50
Acinonyx jubatus;Pakistan;1;50
Acinonyx jubatus;Rwanda;1;50
Acinonyx jubatus;Switzerland;1;50
Acinonyx jubatus;Syria;1;50
Acinonyx jubatus;Thailand;1;50
Acinonyx jubatus;Turkey;1;50
Acinonyx jubatus;Turkmenistan;1;50
Acinonyx jubatus;United States;1;50
Acinonyx jubatus;Uzbekistan;1;50
Canis lupus;Mexico;23;124
Canis lupus;Canada;17;124
Canis lupus;Singapore;15;124
Canis lupus;France;14;124
Canis lupus;Australia;13;124
Canis lupus;India;12;124
Canis lupus;Italy;10;124
Canis lupus;China;9;124
Canis lupus;Colombia;8;124
Canis lupus;Bangladesh;6;124
Canis lupus;United States;5;124
Canis lupus;Brazil;4;124
Canis lupus;Guatemala;4;124
Canis lupus;Poland;4;124
Canis lupus;Spain;4;124
Canis lupus;Greenland;3;124
Canis lupus;Indonesia;3;124
Canis lupus;Japan;3;124
Canis lupus;Kenya;3;124
Canis lupus;Lebanon;3;124
Canis lupus;Thailand;3;124
Canis lupus;Belgium;2;124
Canis lupus;Denmark;2;124
Canis lupus;Egypt;2;124
Canis lupus;Estonia;2;124
Canis lupus;Germany;2;124
Canis lupus;Ireland;2;124
Canis lupus;Israel;2;124
Canis lupus;Latvia;2;124
Canis lupus;Malaysia;2;124
Canis lupus;New Zealand;2;124
Canis lupus;Nigeria;2;124
Canis lupus;Norfolk Island;2;124
Canis lupus;Norway;2;124
Canis lupus;Philippines;2;124
Canis lupus;South Korea;2;124
Canis lupus;Vatican;2;124
Canis lupus;Cameroon;1;124
Canis lupus;Georgia;1;124
Canis lupus;Iceland;1;124
Canis lupus;Madagascar;1;124
Canis lupus;Nepal;1;124
Canis lupus;Vietnam;1;124
Ceratotherium simum;Sudan;84;72
Ceratotherium simum;Kenya;73;72
Ceratotherium simum;South Africa;36;72
Ceratotherium simum;Botswana;10;72
Ceratotherium simum;Italy;10;72
Ceratotherium simum;China;9;72
Ceratotherium simum;Germany;9;72
Ceratotherium simum;Uganda;7;72
Ceratotherium simum;Vietnam;7;72
Ceratotherium simum;Indonesia;6;72
Ceratotherium simum;Namibia;6;72
Ceratotherium simum;Australia;4;72
Ceratotherium simum;Chad;4;72
Ceratotherium simum;India;4;72
Ceratotherium simum;Ireland;4;72
Ceratotherium simum;Zimbabwe;4;72
Ceratotherium simum;Nepal;3;72
Ceratotherium simum;Tanzania;3;72
Ceratotherium simum;Colombia;2;72
Ceratotherium simum;Czech Republic;2;72
Ceratotherium simum;Israel;2;72
