scientific_name;GPE;GPE
Acinonyx jubatus;India;43
Acinonyx jubatus;Iran;35
Acinonyx jubatus;Russia;8
Acinonyx jubatus;Savannah;8
Acinonyx jubatus;Virginia;8
Acinonyx jubatus;Madhya Pradesh;6
Acinonyx jubatus;Orissa;6
Acinonyx jubatus;South Africa;6
Acinonyx jubatus;Namibia;5
Acinonyx jubatus;Bali;4
Acinonyx jubatus;China;4
Acinonyx jubatus;U.S.;4
Acinonyx jubatus;Amakhala;3
Acinonyx jubatus;Ethiopia;3
Acinonyx jubatus;Jalgaon;3
Acinonyx jubatus;Jharkhand;3
Acinonyx jubatus;Karnataka;3
Acinonyx jubatus;Miami;3
Acinonyx jubatus;Mysuru;3
Acinonyx jubatus;Nepal;3
Acinonyx jubatus;New York;3
Acinonyx jubatus;Port Lockroy;3
Acinonyx jubatus;Rajasthan;3
Acinonyx jubatus;Tehran;3
Acinonyx jubatus;Wallington;3
Acinonyx jubatus;Washington;3
Acinonyx jubatus;Zoo Miami;3
Acinonyx jubatus;Algeria;2
Acinonyx jubatus;Amritsar;2
Acinonyx jubatus;Chamarajanagara;2
Acinonyx jubatus;Chattisgarh;2
Acinonyx jubatus;Chhattisgarh;2
Acinonyx jubatus;Chitwan;2
Acinonyx jubatus;Coimbatore;2
Acinonyx jubatus;D.C.;2
Acinonyx jubatus;DC;2
Acinonyx jubatus;Egypt;2
Acinonyx jubatus;Gabon;2
Acinonyx jubatus;Gujarat;2
Acinonyx jubatus;Haryana;2
Acinonyx jubatus;Kolhapur;2
Acinonyx jubatus;Luka;2
Acinonyx jubatus;Mongabay;2
Acinonyx jubatus;New Jersey;2
Acinonyx jubatus;North London;2
Acinonyx jubatus;Ohio;2
Acinonyx jubatus;Persia;2
Acinonyx jubatus;Safari Park;2
Acinonyx jubatus;Serengeti;2
Acinonyx jubatus;Texas;2
Acinonyx jubatus;UK;2
Acinonyx jubatus;Uganda;2
Acinonyx jubatus;128km/hour;1
Acinonyx jubatus;Abasi;1
Acinonyx jubatus;Afghanistan;1
Acinonyx jubatus;Ajmer-Merwara;1
Acinonyx jubatus;Andhra Pradesh;1
Acinonyx jubatus;Annandale;1
Acinonyx jubatus;Aquarium;1
Acinonyx jubatus;Assyria;1
Acinonyx jubatus;Attari;1
Acinonyx jubatus;Attikalpura;1
Acinonyx jubatus;Ballari;1
Acinonyx jubatus;Balochistan;1
Acinonyx jubatus;Bandhalli;1
Acinonyx jubatus;Bangkok;1
Acinonyx jubatus;Beerambadi;1
Acinonyx jubatus;Bengaluru;1
Acinonyx jubatus;Bhopal;1
Acinonyx jubatus;Bihar;1
Acinonyx jubatus;Birch;1
Acinonyx jubatus;Bonn;1
Acinonyx jubatus;Burhanpur;1
Acinonyx jubatus;COLUMBUS;1
Acinonyx jubatus;Chalisgaon;1
Acinonyx jubatus;Coram Island;1
Acinonyx jubatus;DEEP_Nath1;1
Acinonyx jubatus;Delhi;1
Acinonyx jubatus;EAST;1
Acinonyx jubatus;East Africa;1
Acinonyx jubatus;East Africa’s;1
Acinonyx jubatus;East Hills;1
Acinonyx jubatus;France;1
Acinonyx jubatus;Geneva;1
Acinonyx jubatus;Georgia;1
Acinonyx jubatus;Gir;1
Acinonyx jubatus;Glen Rose;1
Acinonyx jubatus;Hereford;1
Acinonyx jubatus;Iraq;1
Acinonyx jubatus;Israel;1
Acinonyx jubatus;Ivindo;1
Acinonyx jubatus;Ivory;1
Acinonyx jubatus;Izzy;1
Acinonyx jubatus;Johannesburg;1
Acinonyx jubatus;Jordan;1
Acinonyx jubatus;Kazakhstan;1
Acinonyx jubatus;Kgalagadi;1
Acinonyx jubatus;Kingdoms;1
Acinonyx jubatus;Kittenish;1
Acinonyx jubatus;Kollegala;1
Acinonyx jubatus;Korea;1
Acinonyx jubatus;Kuwait;1
Acinonyx jubatus;Kyzylkum;1
Acinonyx jubatus;LiveLeak;1
Acinonyx jubatus;Lothian;1
Acinonyx jubatus;Madagascar;1
Acinonyx jubatus;Madhya Pradesh’s;1
Acinonyx jubatus;Mali;1
Acinonyx jubatus;Maryland;1
Acinonyx jubatus;Mich.;1
Acinonyx jubatus;Mohali;1
Acinonyx jubatus;Mumbai;1
Acinonyx jubatus;Mysore;1
Acinonyx jubatus;Nazarbad;1
Acinonyx jubatus;Netherlands;1
Acinonyx jubatus;New York Aquarium;1
Acinonyx jubatus;Northwest Africa;1
Acinonyx jubatus;Oman;1
Acinonyx jubatus;Orissa-Andhra Pradesh;1
Acinonyx jubatus;Pakistan;1
Acinonyx jubatus;Palam;1
Acinonyx jubatus;Phoenix;1
Acinonyx jubatus;Primorye;1
Acinonyx jubatus;Punjab;1
