Id;Kingdom;Phylum;Class;Order;Family;Genus;Species;Subspecies;Scientific Name;Author;Rank;Listing;Party;Listed under;Full note;# Full note;All_DistributionFullNames;All_DistributionISOCodes;NativeDistributionFullNames;Introduced_Distribution;Introduced(?)_Distribution;Reintroduced_Distribution;Extinct_Distribution;Extinct(?)_Distribution;Distribution_Uncertain
5062;Animalia;Chordata;Mammalia;Artiodactyla;Antilocapridae;Antilocapra;americana;;Antilocapra americana;(Ord, 1815);SPECIES;I;"";Antilocapra americana;**I** Only the population of Mexico is included in Appendix I. No other population is included in the Appendices.;"";Canada,Mexico,United States of America;CA,MX,US;Canada,Mexico,United States of America;;;;;;
4464;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;;Addax nasomaculatus;(de Blainville, 1816);SPECIES;I;"";Addax nasomaculatus;"";"";Algeria,Chad,Egypt,Libya,Mali,Mauritania,Morocco,Niger,Sudan,Tunisia,Western Sahara;DZ,TD,EG,LY,ML,MR,MA,NE,SD,TN,EH;Chad,Mali,Mauritania,Niger,Sudan;;;;Algeria,Egypt,Libya,Morocco,Tunisia,Western Sahara;;Western Sahara
5874;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;gaurus;;Bos gaurus;C. H. Smith, 1827;SPECIES;I;"";Bos gaurus;**I** Excludes the domesticated form, which is referenced as Bos frontalis, and is not subject to the provisions of the Convention.;"";Bangladesh,Bhutan,Cambodia,China,India,Lao People's Democratic Republic,Malaysia,Myanmar,Nepal,Sri Lanka,Thailand,Viet Nam;BD,BT,KH,CN,IN,LA,MY,MM,NP,LK,TH,VN;Bangladesh,Bhutan,Cambodia,China,India,Lao People's Democratic Republic,Malaysia,Myanmar,Nepal,Thailand,Viet Nam;;;;Sri Lanka;;
7471;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;mutus;;Bos mutus;Przewalski, 1883;SPECIES;I;"";Bos mutus;**I** Excludes the domesticated form, which is referenced as Bos grunniens, and is not subject to the provisions of the Convention.;"";Afghanistan,China,India,Kazakhstan,Mongolia,Nepal,Russian Federation;AF,CN,IN,KZ,MN,NP,RU;China,India,Nepal;;;;Kazakhstan,Mongolia,Russian Federation;;Afghanistan
11180;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;sauveli;;Bos sauveli;Urbain, 1937;SPECIES;I;"";Bos sauveli;"";"";Cambodia,Lao People's Democratic Republic,Thailand,Viet Nam;KH,LA,TH,VN;;;;;;Cambodia,Lao People's Democratic Republic,Thailand,Viet Nam;
4425;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bubalus;depressicornis;;Bubalus depressicornis;(C. H. Smith, 1827);SPECIES;I;"";Bubalus depressicornis;"";"";Indonesia;ID;Indonesia;;;;;;
8124;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bubalus;mindorensis;;Bubalus mindorensis;(Heude, 1888);SPECIES;I;"";Bubalus mindorensis;"";"";Philippines;PH;Philippines;;;;;;
10958;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bubalus;quarlesi;;Bubalus quarlesi;(Ouwens, 1910);SPECIES;I;"";Bubalus quarlesi;"";"";Indonesia;ID;Indonesia;;;;;;
3780;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capra;falconeri;;Capra falconeri;(Wagner, 1839);SPECIES;I;"";Capra falconeri;"**I** All subspecies.
**I** Included in Capra falconeri.Originally listed as Capra falconeri jerdoni
**I** Included in Capra falconeri.Originally listed as Capra falconeri chialtanensis";"";Afghanistan,India,Pakistan,Tajikistan,Turkmenistan,Uzbekistan;AF,IN,PK,TJ,TM,UZ;Afghanistan,India,Pakistan,Tajikistan,Turkmenistan,Uzbekistan;;;;;;
3881;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capricornis;milneedwardsii;;Capricornis milneedwardsii;David, 1869;SPECIES;I;"";Capricornis milneedwardsii;"";"";Cambodia,China,Lao People's Democratic Republic,Myanmar,Thailand,Viet Nam;KH,CN,LA,MM,TH,VN;Cambodia,China,Lao People's Democratic Republic,Myanmar,Thailand,Viet Nam;;;;;;
3939;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capricornis;rubidus;;Capricornis rubidus;Blyth, 1863;SPECIES;I;"";Capricornis rubidus;"";"";Myanmar;MM;Myanmar;;;;;;
7979;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capricornis;sumatraensis;;Capricornis sumatraensis;(Bechstein, 1799);SPECIES;I;"";Capricornis sumatraensis;"";"";Indonesia,Malaysia,Thailand;ID,MY,TH;Indonesia,Malaysia,Thailand;;;;;;
10594;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capricornis;thar;;Capricornis thar;(Hodgson, 1831);SPECIES;I;"";Capricornis thar;"";"";Bangladesh,Bhutan,India,Myanmar,Nepal;BD,BT,IN,MM,NP;Bangladesh,Bhutan,India,Nepal;;;;;;Myanmar
4194;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Cephalophus;jentinki;;Cephalophus jentinki;Thomas, 1892;SPECIES;I;"";Cephalophus jentinki;"";"";Côte d'Ivoire,Liberia,Sierra Leone;CI,LR,SL;Côte d'Ivoire,Liberia,Sierra Leone;;;;;;
3080;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Gazella;cuvieri;;Gazella cuvieri;(Ogilby, 1841);SPECIES;I;"";Gazella cuvieri;"";"";Algeria,Morocco,Tunisia,Western Sahara;DZ,MA,TN,EH;Algeria,Morocco,Tunisia,Western Sahara;;;;;;
9611;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Gazella;leptoceros;;Gazella leptoceros;(F. Cuvier, 1842);SPECIES;I;"";Gazella leptoceros;"";"";Algeria,Chad,Egypt,Libya,Mali,Niger,Sudan,Tunisia;DZ,TD,EG,LY,ML,NE,SD,TN;Algeria,Chad,Egypt,Libya,Mali,Niger,Sudan,Tunisia;;;;;;
12301;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Hippotragus;niger;variani;Hippotragus niger variani;(Thomas, 1916);SUBSPECIES;I;"";Hippotragus niger variani;"";"";Angola,Zambia;AO,ZM;Angola,Zambia;;;;;;
4344;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Naemorhedus;baileyi;;Naemorhedus baileyi;Pocock, 1914;SPECIES;I;"";Naemorhedus baileyi;"";"";China,India,Myanmar;CN,IN,MM;China,India,Myanmar;;;;;;
7159;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Naemorhedus;caudatus;;Naemorhedus caudatus;(Milne-Edwards, 1867);SPECIES;I;"";Naemorhedus caudatus;"";"";China,Democratic People's Republic of Korea,Republic of Korea,Russian Federation;CN,KP,KR,RU;China,Democratic People's Republic of Korea,Republic of Korea,Russian Federation;;;;;;
9378;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Naemorhedus;goral;;Naemorhedus goral;(Hardwicke, 1825);SPECIES;I;"";Naemorhedus goral;"";"";Afghanistan,Bhutan,China,India,Nepal,Pakistan;AF,BT,CN,IN,NP,PK;Bhutan,China,India,Nepal,Pakistan;;;;;;Afghanistan
6231;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Naemorhedus;griseus;;Naemorhedus griseus;(Milne Edwards, 1871);SPECIES;I;"";Naemorhedus griseus;"";"";China,India,Lao People's Democratic Republic,Myanmar,Thailand,Viet Nam;CN,IN,LA,MM,TH,VN;China,India,Myanmar,Thailand,Viet Nam;;;;;;Lao People's Democratic Republic
10002;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Nanger;dama;;Nanger dama;(Pallas, 1766);SPECIES;I;"";Nanger dama;"";"";Algeria,Burkina Faso,Chad,Egypt,Libya,Mali,Mauritania,Morocco,Niger,Nigeria,Senegal,Sudan,Tunisia,Western Sahara;DZ,BF,TD,EG,LY,ML,MR,MA,NE,NG,SN,SD,TN,EH;Algeria,Chad,Egypt,Mali,Morocco,Niger;;;Senegal;Libya,Mauritania,Senegal,Tunisia;Burkina Faso,Nigeria,Sudan;Western Sahara
11205;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Oryx;dammah;;Oryx dammah;(Cretzschmar, 1827);SPECIES;I;"";Oryx dammah;"";"";Algeria,Burkina Faso,Chad,Egypt,Libya,Mali,Mauritania,Morocco,Niger,Nigeria,Senegal,South Africa,Sudan,Tunisia,Western Sahara;DZ,BF,TD,EG,LY,ML,MR,MA,NE,NG,SN,ZA,SD,TN,EH;;South Africa;;Morocco,Tunisia;Algeria,Burkina Faso,Chad,Egypt,Libya,Mali,Mauritania,Morocco,Niger,Nigeria,Senegal,Sudan,Tunisia,Western Sahara;;
4154;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Oryx;leucoryx;;Oryx leucoryx;(Pallas, 1777);SPECIES;I;"";Oryx leucoryx;"";"";Bahrain,Egypt,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Syrian Arab Republic,United Arab Emirates,Yemen;BH,EG,IQ,IL,JO,KW,LB,OM,QA,SA,SY,AE,YE;;Bahrain,Lebanon,Qatar;;Israel,Jordan,Oman,Saudi Arabia,Syrian Arab Republic,United Arab Emirates;Egypt,Iraq,Israel,Jordan,Kuwait,Oman,Saudi Arabia,Syrian Arab Republic,United Arab Emirates,Yemen;;
33589;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;gmelini;;Ovis gmelini;Blyth, 1841;SPECIES;I;"";Ovis gmelini;"**I** Only the population of Cyprus; no other population is included in the Appendices";"";Cyprus;CY;Cyprus;;;;;;
98423;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;hodgsoni;;Ovis hodgsoni;Blyth, 1841;SPECIES;I;"";Ovis hodgsoni;"";"";Bhutan,China,India,Nepal;BT,CN,IN,NP;China,India,Nepal;;;;Bhutan;;
30824;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;nigrimontana;;Ovis nigrimontana;Severtzov, 1873;SPECIES;I;"";Ovis nigrimontana;"";"";Kazakhstan;KZ;Kazakhstan;;;;;;
4814;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;vignei;;Ovis vignei;Blyth, 1841;SPECIES;I;"";Ovis vignei;"";"";India,Pakistan;IN,PK;India,Pakistan;;;;;;
8117;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Pantholops;hodgsonii;;Pantholops hodgsonii;(Abel, 1826);SPECIES;I;"";Pantholops hodgsonii;"";"";China,India,Nepal;CN,IN,NP;China,India,Nepal;;;;;;
10395;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Pseudoryx;nghetinhensis;;Pseudoryx nghetinhensis;Dung, Giao, Chinh, Touc, Arctander & MacKinnon, 1993;SPECIES;I;"";Pseudoryx nghetinhensis;"";"";Lao People's Democratic Republic,Viet Nam;LA,VN;Lao People's Democratic Republic,Viet Nam;;;;;;
