;scientific_name;GPE;GPE_count;article_count
0;Acinonyx jubatus;India;43;50
1;Acinonyx jubatus;Iran;35;50
2;Acinonyx jubatus;Russia;8;50
3;Acinonyx jubatus;Savannah;8;50
4;Acinonyx jubatus;Virginia;8;50
5;Acinonyx jubatus;Madhya Pradesh;6;50
6;Acinonyx jubatus;Orissa;6;50
7;Acinonyx jubatus;South Africa;6;50
8;Acinonyx jubatus;Namibia;5;50
9;Acinonyx jubatus;Bali;4;50
10;Acinonyx jubatus;China;4;50
11;Acinonyx jubatus;U.S.;4;50
12;Acinonyx jubatus;Amakhala;3;50
13;Acinonyx jubatus;Ethiopia;3;50
14;Acinonyx jubatus;Jalgaon;3;50
15;Acinonyx jubatus;Jharkhand;3;50
16;Acinonyx jubatus;Karnataka;3;50
17;Acinonyx jubatus;Miami;3;50
18;Acinonyx jubatus;Mysuru;3;50
19;Acinonyx jubatus;Nepal;3;50
20;Acinonyx jubatus;New York;3;50
21;Acinonyx jubatus;Port Lockroy;3;50
22;Acinonyx jubatus;Rajasthan;3;50
23;Acinonyx jubatus;Tehran;3;50
24;Acinonyx jubatus;Wallington;3;50
25;Acinonyx jubatus;Washington;3;50
26;Acinonyx jubatus;Zoo Miami;3;50
27;Acinonyx jubatus;Algeria;2;50
28;Acinonyx jubatus;Amritsar;2;50
29;Acinonyx jubatus;Chamarajanagara;2;50
30;Acinonyx jubatus;Chattisgarh;2;50
31;Acinonyx jubatus;Chhattisgarh;2;50
32;Acinonyx jubatus;Chitwan;2;50
33;Acinonyx jubatus;Coimbatore;2;50
34;Acinonyx jubatus;D.C.;2;50
35;Acinonyx jubatus;DC;2;50
36;Acinonyx jubatus;Egypt;2;50
37;Acinonyx jubatus;Gabon;2;50
38;Acinonyx jubatus;Gujarat;2;50
39;Acinonyx jubatus;Haryana;2;50
40;Acinonyx jubatus;Kolhapur;2;50
41;Acinonyx jubatus;Luka;2;50
42;Acinonyx jubatus;Mongabay;2;50
43;Acinonyx jubatus;New Jersey;2;50
44;Acinonyx jubatus;North London;2;50
45;Acinonyx jubatus;Ohio;2;50
46;Acinonyx jubatus;Persia;2;50
47;Acinonyx jubatus;Safari Park;2;50
48;Acinonyx jubatus;Serengeti;2;50
49;Acinonyx jubatus;Texas;2;50
50;Acinonyx jubatus;UK;2;50
51;Acinonyx jubatus;Uganda;2;50
52;Acinonyx jubatus;128km/hour;1;50
53;Acinonyx jubatus;Abasi;1;50
54;Acinonyx jubatus;Afghanistan;1;50
55;Acinonyx jubatus;Ajmer-Merwara;1;50
56;Acinonyx jubatus;Andhra Pradesh;1;50
57;Acinonyx jubatus;Annandale;1;50
58;Acinonyx jubatus;Aquarium;1;50
59;Acinonyx jubatus;Assyria;1;50
60;Acinonyx jubatus;Attari;1;50
61;Acinonyx jubatus;Attikalpura;1;50
62;Acinonyx jubatus;Ballari;1;50
63;Acinonyx jubatus;Balochistan;1;50
64;Acinonyx jubatus;Bandhalli;1;50
65;Acinonyx jubatus;Bangkok;1;50
66;Acinonyx jubatus;Beerambadi;1;50
67;Acinonyx jubatus;Bengaluru;1;50
68;Acinonyx jubatus;Bhopal;1;50
69;Acinonyx jubatus;Bihar;1;50
70;Acinonyx jubatus;Birch;1;50
71;Acinonyx jubatus;Bonn;1;50
72;Acinonyx jubatus;Burhanpur;1;50
73;Acinonyx jubatus;COLUMBUS;1;50
74;Acinonyx jubatus;Chalisgaon;1;50
75;Acinonyx jubatus;Coram Island;1;50
76;Acinonyx jubatus;DEEP_Nath1;1;50
77;Acinonyx jubatus;Delhi;1;50
78;Acinonyx jubatus;EAST;1;50
79;Acinonyx jubatus;East Africa;1;50
80;Acinonyx jubatus;East Africa’s;1;50
81;Acinonyx jubatus;East Hills;1;50
82;Acinonyx jubatus;France;1;50
83;Acinonyx jubatus;Geneva;1;50
84;Acinonyx jubatus;Georgia;1;50
85;Acinonyx jubatus;Gir;1;50
86;Acinonyx jubatus;Glen Rose;1;50
87;Acinonyx jubatus;Hereford;1;50
88;Acinonyx jubatus;Iraq;1;50
89;Acinonyx jubatus;Israel;1;50
90;Acinonyx jubatus;Ivindo;1;50
91;Acinonyx jubatus;Ivory;1;50
92;Acinonyx jubatus;Izzy;1;50
93;Acinonyx jubatus;Johannesburg;1;50
94;Acinonyx jubatus;Jordan;1;50
95;Acinonyx jubatus;Kazakhstan;1;50
96;Acinonyx jubatus;Kgalagadi;1;50
97;Acinonyx jubatus;Kingdoms;1;50
98;Acinonyx jubatus;Kittenish;1;50
99;Acinonyx jubatus;Kollegala;1;50
100;Acinonyx jubatus;Korea;1;50
101;Acinonyx jubatus;Kuwait;1;50
102;Acinonyx jubatus;Kyzylkum;1;50
103;Acinonyx jubatus;LiveLeak;1;50
104;Acinonyx jubatus;Lothian;1;50
105;Acinonyx jubatus;Madagascar;1;50
106;Acinonyx jubatus;Madhya Pradesh’s;1;50
107;Acinonyx jubatus;Mali;1;50
108;Acinonyx jubatus;Maryland;1;50
109;Acinonyx jubatus;Mich.;1;50
110;Acinonyx jubatus;Mohali;1;50
111;Acinonyx jubatus;Mumbai;1;50
112;Acinonyx jubatus;Mysore;1;50
113;Acinonyx jubatus;Nazarbad;1;50
114;Acinonyx jubatus;Netherlands;1;50
115;Acinonyx jubatus;New York Aquarium;1;50
116;Acinonyx jubatus;Northwest Africa;1;50
117;Acinonyx jubatus;Oman;1;50
118;Acinonyx jubatus;Orissa-Andhra Pradesh;1;50
119;Acinonyx jubatus;Pakistan;1;50
120;Acinonyx jubatus;Palam;1;50
121;Acinonyx jubatus;Phoenix;1;50
122;Acinonyx jubatus;Primorye;1;50
123;Acinonyx jubatus;Punjab;1;50
124;Acinonyx jubatus;Ramgarh;1;50
125;Acinonyx jubatus;Riau Province;1;50
126;Acinonyx jubatus;Rwanda;1;50
127;Acinonyx jubatus;Sahel;1;50
128;Acinonyx jubatus;Saranda;1;50
129;Acinonyx jubatus;Sia;1;50
130;Acinonyx jubatus;Sumatran;1;50
131;Acinonyx jubatus;Switzerland;1;50
132;Acinonyx jubatus;Syria;1;50
133;Acinonyx jubatus;Tamil Nadu;1;50
134;Acinonyx jubatus;Thailand;1;50
135;Acinonyx jubatus;Trail;1;50
136;Acinonyx jubatus;Trump;1;50
137;Acinonyx jubatus;Turkey;1;50
138;Acinonyx jubatus;Turkmenistan;1;50
139;Acinonyx jubatus;US;1;50
140;Acinonyx jubatus;USSR;1;50
141;Acinonyx jubatus;United States;1;50
142;Acinonyx jubatus;Uttar Pradesh;1;50
143;Acinonyx jubatus;Uzbekistan;1;50
144;Acinonyx jubatus;Varkheda;1;50
145;Acinonyx jubatus;Washington County;1;50
146;Acinonyx jubatus;West Bengal;1;50
147;Acinonyx jubatus;West Michigan;1;50
148;Acinonyx jubatus;Wisconsin;1;50
149;Acinonyx jubatus;Zulu;1;50
150;Acinonyx jubatus;chinkara;1;50
151;Acinonyx jubatus;safaris;1;50
152;Acinonyx jubatus;the Deccan Plateau;1;50
153;Acinonyx jubatus;the Democratic Republic of Congo;1;50
154;Acinonyx jubatus;the Erstwhile Mysore Yuvarani’s;1;50
155;Acinonyx jubatus;the Islamic Republic of Iran;1;50
156;Acinonyx jubatus;the Mughal Empire;1;50
157;Acinonyx jubatus;the United States;1;50
158;Acinonyx jubatus;wholescale;1;50
159;Canis lupus;California;80;124
160;Canis lupus;Colorado;69;124
161;Canis lupus;Washington;57;124
162;Canis lupus;Minnesota;50;124
163;Canis lupus;Oregon;47;124
164;Canis lupus;Getty;38;124
165;Canis lupus;U.S.;32;124
166;Canis lupus;New Mexico;29;124
167;Canis lupus;Montana;28;124
168;Canis lupus;the United States;27;124
169;Canis lupus;Idaho;25;124
170;Canis lupus;Wisconsin;24;124
171;Canis lupus;Mexico;23;124
172;Canis lupus;Arizona;18;124
173;Canis lupus;Canada;17;124
174;Canis lupus;France;16;124
175;Canis lupus;Australia;15;124
176;Canis lupus;Singapore;15;124
177;Canis lupus;US;14;124
178;Canis lupus;India;12;124
179;Canis lupus;Wyoming;12;124
180;Canis lupus;Yellowstone;12;124
181;Canis lupus;Alaska;11;124
182;Canis lupus;Ontario;11;124
183;Canis lupus;America;10;124
184;Canis lupus;Iowa;10;124
185;Canis lupus;Italy;10;124
186;Canis lupus;St. Paul;10;124
187;Canis lupus;China;9;124
188;Canis lupus;Michigan;9;124
189;Canis lupus;Colombia;8;124
190;Canis lupus;Texas;8;124
191;Canis lupus;Wuhan;8;124
192;Canis lupus;Siskiyou;7;124
193;Canis lupus;Bangladesh;6;124
194;Canis lupus;Berlin;6;124
195;Canis lupus;Callao Cave;6;124
196;Canis lupus;Denver;6;124
197;Canis lupus;Kekoa;6;124
198;Canis lupus;Nevada;6;124
199;Canis lupus;Utah;6;124
200;Canis lupus;Chamarajanagar district;5;124
201;Canis lupus;Florida;5;124
202;Canis lupus;Mumbai;5;124
203;Canis lupus;Paris;5;124
204;Canis lupus;Pennsylvania;5;124
205;Canis lupus;Pune;5;124
206;Canis lupus;United States;5;124
207;Canis lupus;Albuquerque;4;124
208;Canis lupus;Barcelona;4;124
209;Canis lupus;Belgium;4;124
210;Canis lupus;Brazil;4;124
211;Canis lupus;Fukushima;4;124
212;Canis lupus;Guatemala;4;124
213;Canis lupus;Jerusalem;4;124
214;Canis lupus;Kuala Lumpur;4;124
215;Canis lupus;Lassen;4;124
216;Canis lupus;Minneapolis;4;124
217;Canis lupus;Modoc;4;124
218;Canis lupus;New Delhi;4;124
219;Canis lupus;North Carolina;4;124
220;Canis lupus;Odisha;4;124
221;Canis lupus;Oklahoma;4;124
222;Canis lupus;Plumas;4;124
223;Canis lupus;Plumas County;4;124
224;Canis lupus;Poland;4;124
225;Canis lupus;Seattle;4;124
226;Canis lupus;Seoul;4;124
227;Canis lupus;Shasta;4;124
228;Canis lupus;Spain;4;124
229;Canis lupus;Tasmania;4;124
230;Canis lupus;Wash.;4;124
231;Canis lupus;B.C.;3;124
232;Canis lupus;Boulder;3;124
233;Canis lupus;British Columbia;3;124
234;Canis lupus;Butte;3;124
235;Canis lupus;Fla.;3;124
236;Canis lupus;Greenland;3;124
237;Canis lupus;Gurugram;3;124
238;Canis lupus;Himalayan;3;124
239;Canis lupus;Indonesia;3;124
240;Canis lupus;Innisfail;3;124
241;Canis lupus;Itasca;3;124
242;Canis lupus;Japan;3;124
243;Canis lupus;Kentucky;3;124
244;Canis lupus;Kenya;3;124
245;Canis lupus;Lebanon;3;124
246;Canis lupus;Londinières;3;124
247;Canis lupus;Louisiana;3;124
248;Canis lupus;M-44;3;124
249;Canis lupus;Maple Grove;3;124
250;Canis lupus;Mississippi;3;124
251;Canis lupus;NM;3;124
252;Canis lupus;NSW;3;124
253;Canis lupus;New Zealand;3;124
254;Canis lupus;Palestine;3;124
255;Canis lupus;Philadelphia;3;124
256;Canis lupus;Sassenach;3;124
257;Canis lupus;Sequoia;3;124
258;Canis lupus;Spokane;3;124
259;Canis lupus;Tasmanian;3;124
260;Canis lupus;Tehama;3;124
261;Canis lupus;Thailand;3;124
262;Canis lupus;Trump;3;124
263;Canis lupus;Winnipeg;3;124
264;Canis lupus;AR;2;124
265;Canis lupus;Abule-Ado;2;124
266;Canis lupus;Alberta;2;124
267;Canis lupus;Allahabad;2;124
268;Canis lupus;Anacortes;2;124
269;Canis lupus;Banten;2;124
270;Canis lupus;Basra;2;124
271;Canis lupus;Battle Creek;2;124
272;Canis lupus;Bayfield;2;124
273;Canis lupus;Beirut;2;124
274;Canis lupus;Bogota;2;124
275;Canis lupus;Boortmeerbeek;2;124
276;Canis lupus;Boston;2;124
277;Canis lupus;Bradford;2;124
278;Canis lupus;Buchanan County;2;124
279;Canis lupus;Buenos Aires AFP;2;124
280;Canis lupus;Cali;2;124
281;Canis lupus;Catalonia;2;124
282;Canis lupus;Chennai;2;124
283;Canis lupus;Chernobyl;2;124
284;Canis lupus;Chihuahua;2;124
285;Canis lupus;Chiton;2;124
286;Canis lupus;Clarion;2;124
287;Canis lupus;Clearfield;2;124
288;Canis lupus;Coahuila;2;124
289;Canis lupus;Colombo AFP;2;124
290;Canis lupus;Colorado Springs;2;124
291;Canis lupus;Crawford;2;124
292;Canis lupus;Cundinamarca;2;124
293;Canis lupus;DC;2;124
294;Canis lupus;Dayton;2;124
295;Canis lupus;Denmark;2;124
296;Canis lupus;East Lake;2;124
297;Canis lupus;Egypt;2;124
298;Canis lupus;Elk;2;124
299;Canis lupus;Erie;2;124
300;Canis lupus;Estonia;2;124
301;Canis lupus;Eurasia;2;124
302;Canis lupus;Fairbank;2;124
303;Canis lupus;Ferry;2;124
304;Canis lupus;Flaurentine - http://en.wikipedia.org/wiki/File:Berger_allemand_en_montagne.jpg;2;124
305;Canis lupus;Florence;2;124
306;Canis lupus;Gaza City AFP;2;124
307;Canis lupus;Germany;2;124
308;Canis lupus;Grand Teton;2;124
309;Canis lupus;Granite Falls;2;124
310;Canis lupus;Hallerbos;2;124
311;Canis lupus;Haveri;2;124
312;Canis lupus;Holi;2;124
313;Canis lupus;Hollywood;2;124
314;Canis lupus;Hong Kong's;2;124
315;Canis lupus;Hubei;2;124
316;Canis lupus;Igualada;2;124
317;Canis lupus;Ireland;2;124
318;Canis lupus;Israel;2;124
319;Canis lupus;Iwaki;2;124
320;Canis lupus;Jefferson;2;124
321;Canis lupus;Jiangsu;2;124
322;Canis lupus;Jounieh;2;124
323;Canis lupus;Karnataka;2;124
324;Canis lupus;Kiev;2;124
325;Canis lupus;Kittson County;2;124
326;Canis lupus;Koppal;2;124
327;Canis lupus;Korczowa;2;124
328;Canis lupus;Krakatau;2;124
329;Canis lupus;Kreuzberg;2;124
330;Canis lupus;Kuwait City;2;124
331;Canis lupus;Lagos;2;124
332;Canis lupus;Lamont;2;124
333;Canis lupus;Latvia;2;124
334;Canis lupus;Long Island;2;124
335;Canis lupus;MNRF;2;124
336;Canis lupus;MNRRA;2;124
337;Canis lupus;Malaysia;2;124
338;Canis lupus;Manchester;2;124
339;Canis lupus;Marinette;2;124
340;Canis lupus;Marsa;2;124
341;Canis lupus;Medellin;2;124
342;Canis lupus;Medford;2;124
343;Canis lupus;Mercer;2;124
344;Canis lupus;Mexico City;2;124
345;Canis lupus;Mich.;2;124
346;Canis lupus;Minnehaha Falls;2;124
347;Canis lupus;Minnesotans;2;124
348;Canis lupus;Missoula;2;124
349;Canis lupus;Modoc County;2;124
350;Canis lupus;Monson Lake;2;124
351;Canis lupus;Montgomery;2;124
352;Canis lupus;Montour;2;124
353;Canis lupus;Mubarikiya;2;124
354;Canis lupus;Nagmani;2;124
355;Canis lupus;Naples;2;124
356;Canis lupus;Navi;2;124
357;Canis lupus;Nigeria;2;124
358;Canis lupus;Norfolk Island;2;124
359;Canis lupus;North Korea's;2;124
360;Canis lupus;Northumberland;2;124
361;Canis lupus;Norway;2;124
362;Canis lupus;Okanogan County;2;124
363;Canis lupus;Pend Oreille;2;124
364;Canis lupus;Pennsylvanians;2;124
365;Canis lupus;Philippines;2;124
366;Canis lupus;Pittsburgh;2;124
367;Canis lupus;Plomeur;2;124
368;Canis lupus;Plymouth;2;124
369;Canis lupus;Port Kembla;2;124
370;Canis lupus;Queensland;2;124
371;Canis lupus;Quetzaltenango;2;124
372;Canis lupus;Raichur;2;124
373;Canis lupus;Rio de Janeiro;2;124
374;Canis lupus;Rome;2;124
375;Canis lupus;SACRAMENTO;2;124
376;Canis lupus;SPOKANE;2;124
377;Canis lupus;Saarloos;2;124
378;Canis lupus;Sacramento;2;124
379;Canis lupus;Safari Niagara;2;124
380;Canis lupus;Samut Sakhon province;2;124
381;Canis lupus;Scotland;2;124
382;Canis lupus;Selayang;2;124
383;Canis lupus;Serang;2;124
384;Canis lupus;Shasta County;2;124
385;Canis lupus;Sierra;2;124
386;Canis lupus;South Georgia;2;124
387;Canis lupus;South Korea;2;124
388;Canis lupus;Sublette County;2;124
389;Canis lupus;Surabaya;2;124
390;Canis lupus;Sydney;2;124
391;Canis lupus;Tampa;2;124
392;Canis lupus;Tioga;2;124
393;Canis lupus;Tokyo;2;124
394;Canis lupus;Tripoli;2;124
395;Canis lupus;Tumakuru;2;124
396;Canis lupus;U.S.-Mexico;2;124
397;Canis lupus;Union;2;124
398;Canis lupus;Venango;2;124
399;Canis lupus;Wisconsinites;2;124
400;Canis lupus;Wroclaw;2;124
401;Canis lupus;Yorkshire;2;124
402;Canis lupus;the Golden State;2;124
403;Canis lupus;tho;2;124
404;Canis lupus;Ahmednagar forest office;1;124
405;Canis lupus;Anchorage;1;124
406;Canis lupus;Athelstane;1;124
407;Canis lupus;BNB;1;124
408;Canis lupus;Ballari;1;124
409;Canis lupus;Bargarh;1;124
410;Canis lupus;Barshi;1;124
411;Canis lupus;Bashan;1;124
412;Canis lupus;Baw Baw;1;124
413;Canis lupus;Bechab;1;124
414;Canis lupus;Belgica;1;124
415;Canis lupus;Bend;1;124
416;Canis lupus;Bengal;1;124
417;Canis lupus;Bishan Park;1;124
418;Canis lupus;Bloomington;1;124
419;Canis lupus;Boise;1;124
420;Canis lupus;Bondurant;1;124
421;Canis lupus;Bozeman;1;124
422;Canis lupus;Britain;1;124
423;Canis lupus;Brooklyn Park;1;124
424;Canis lupus;Brussels;1;124
425;Canis lupus;Buckinghamshire;1;124
426;Canis lupus;Buona Vista;1;124
427;Canis lupus;Burnett County;1;124
428;Canis lupus;Butler County;1;124
429;Canis lupus;CHEYENNE;1;124
430;Canis lupus;CU;1;124
431;Canis lupus;Cairo;1;124
432;Canis lupus;Cameroon;1;124
433;Canis lupus;Canberra;1;124
434;Canis lupus;Cape York;1;124
435;Canis lupus;Central Appalachia;1;124
436;Canis lupus;Central Idaho;1;124
437;Canis lupus;Chaldean;1;124
438;Canis lupus;Chamarajanagar;1;124
439;Canis lupus;Chamarajanagara;1;124
440;Canis lupus;Chikkamagalur district;1;124
441;Canis lupus;Christmas Island;1;124
442;Canis lupus;Cle Elum;1;124
443;Canis lupus;Columbus;1;124
444;Canis lupus;Cooktown;1;124
445;Canis lupus;Crosby Lake;1;124
446;Canis lupus;D-Ore.;1;124
447;Canis lupus;D.C.;1;124
448;Canis lupus;DVM;1;124
