scientific_name;Countries;Countries
Acinonyx jubatus;India;43
Acinonyx jubatus;Iran;35
Acinonyx jubatus;Namibia;5
Acinonyx jubatus;South Africa;5
Acinonyx jubatus;China;4
Acinonyx jubatus;Ethiopia;3
Acinonyx jubatus;Nepal;3
Acinonyx jubatus;Russia;3
Acinonyx jubatus;Algeria;2
Acinonyx jubatus;Egypt;2
Acinonyx jubatus;Gabon;2
Acinonyx jubatus;Madagascar;2
Acinonyx jubatus;Uganda;2
Acinonyx jubatus;Afghanistan;1
Acinonyx jubatus;France;1
Acinonyx jubatus;Georgia;1
Acinonyx jubatus;Iraq;1
Acinonyx jubatus;Israel;1
Acinonyx jubatus;Jordan;1
Acinonyx jubatus;Kazakhstan;1
Acinonyx jubatus;Kuwait;1
Acinonyx jubatus;Mali;1
Acinonyx jubatus;Netherlands;1
Acinonyx jubatus;Oman;1
Acinonyx jubatus;Pakistan;1
Acinonyx jubatus;Rwanda;1
Acinonyx jubatus;Switzerland;1
Acinonyx jubatus;Syria;1
Acinonyx jubatus;Thailand;1
Acinonyx jubatus;Turkey;1
Acinonyx jubatus;Turkmenistan;1
Acinonyx jubatus;United States;1
Acinonyx jubatus;Uzbekistan;1
Ailuropoda melanoleuca;China;90
Ailuropoda melanoleuca;Australia;17
Ailuropoda melanoleuca;India;4
Ailuropoda melanoleuca;Hong Kong;3
Ailuropoda melanoleuca;Myanmar;3
Ailuropoda melanoleuca;Bhutan;2
Ailuropoda melanoleuca;Japan;2
Ailuropoda melanoleuca;Nepal;2
Ailuropoda melanoleuca;Austria;1
Ailuropoda melanoleuca;Brazil;1
Ailuropoda melanoleuca;Canada;1
Ailuropoda melanoleuca;Laos;1
Ailuropoda melanoleuca;Luxembourg;1
Ailuropoda melanoleuca;Netherlands;1
Ailuropoda melanoleuca;Russia;1
Ailuropoda melanoleuca;Senegal;1
Ailuropoda melanoleuca;South Korea;1
Ailuropoda melanoleuca;Vietnam;1
Anoxypristis cuspidata;Australia;32
Anoxypristis cuspidata;Costa Rica;23
Anoxypristis cuspidata;Bangladesh;17
Anoxypristis cuspidata;India;12
Anoxypristis cuspidata;China;6
Anoxypristis cuspidata;Nicaragua;6
Anoxypristis cuspidata;Canada;5
Anoxypristis cuspidata;New Caledonia;5
Anoxypristis cuspidata;Papua New Guinea;5
Anoxypristis cuspidata;Indonesia;4
Anoxypristis cuspidata;Malaysia;4
Anoxypristis cuspidata;Spain;4
Anoxypristis cuspidata;Guatemala;3
Anoxypristis cuspidata;Mexico;3
Anoxypristis cuspidata;Morocco;3
Anoxypristis cuspidata;Brazil;2
Anoxypristis cuspidata;El Salvador;2
Anoxypristis cuspidata;Greenland;2
Anoxypristis cuspidata;Honduras;2
Anoxypristis cuspidata;Sudan;2
Anoxypristis cuspidata;Angola;1
Anoxypristis cuspidata;Bahamas;1
Anoxypristis cuspidata;Colombia;1
Anoxypristis cuspidata;Madagascar;1
Anoxypristis cuspidata;Mauritania;1
Anoxypristis cuspidata;Mozambique;1
Anoxypristis cuspidata;Pakistan;1
Anoxypristis cuspidata;Peru;1
Anoxypristis cuspidata;Switzerland;1
Anoxypristis cuspidata;Taiwan;1
Anoxypristis cuspidata;Thailand;1
Anoxypristis cuspidata;United States;1
Anoxypristis cuspidata;Venezuela;1
Balaena mysticetus;Greenland;9
Balaena mysticetus;Canada;6
Balaena mysticetus;Russia;5
Balaena mysticetus;Australia;3
Balaena mysticetus;China;1
Balaena mysticetus;Finland;1
Balaena mysticetus;Mexico;1
Balaena mysticetus;New Zealand;1
Balaenoptera acutorostrata;Japan;44
Balaenoptera acutorostrata;Iceland;33
Balaenoptera acutorostrata;Australia;17
Balaenoptera acutorostrata;India;12
Balaenoptera acutorostrata;Norway;8
Balaenoptera acutorostrata;Brazil;5
Balaenoptera acutorostrata;Colombia;4
Balaenoptera acutorostrata;Tonga;4
Balaenoptera acutorostrata;Canada;2
Balaenoptera acutorostrata;Denmark;2
Balaenoptera acutorostrata;Mexico;2
Balaenoptera acutorostrata;Philippines;2
Balaenoptera acutorostrata;Bangladesh;1
Balaenoptera acutorostrata;Chile;1
Balaenoptera acutorostrata;Faroe Islands;1
Balaenoptera acutorostrata;Indonesia;1
Balaenoptera acutorostrata;Myanmar;1
Balaenoptera acutorostrata;New Zealand;1
Balaenoptera bonaerensis;Japan;23
Balaenoptera bonaerensis;Australia;12
Balaenoptera bonaerensis;Brazil;2
Balaenoptera bonaerensis;Norway;2
Balaenoptera bonaerensis;Chile;1
Balaenoptera bonaerensis;France;1
Balaenoptera bonaerensis;Germany;1
Balaenoptera bonaerensis;Iceland;1
Balaenoptera borealis;Japan;65
Balaenoptera borealis;China;12
