scientific_name;mentions;article_cnt;Kingdom;Class;Order;Family;Genus;Species;country;iso3
Abies guatemalensis;4;4;Plantae;;Pinales;Pinaceae;Abies;guatemalensis;Guatemala;GTM
Abies guatemalensis;2;4;Plantae;;Pinales;Pinaceae;Abies;guatemalensis;Canada;CAN
Abies guatemalensis;2;4;Plantae;;Pinales;Pinaceae;Abies;guatemalensis;Mexico;MEX
Abies guatemalensis;1;4;Plantae;;Pinales;Pinaceae;Abies;guatemalensis;Colombia;COL
Abies guatemalensis;1;4;Plantae;;Pinales;Pinaceae;Abies;guatemalensis;Denmark;DNK
Abies guatemalensis;1;4;Plantae;;Pinales;Pinaceae;Abies;guatemalensis;Sweden;SWE
Abies guatemalensis;1;4;Plantae;;Pinales;Pinaceae;Abies;guatemalensis;United States;USA
Abronia campbelli;1;2;Animalia;Reptilia;Sauria;Anguidae;Abronia;campbelli;Costa Rica;CRI
Abronia campbelli;1;2;Animalia;Reptilia;Sauria;Anguidae;Abronia;campbelli;Guatemala;GTM
Abronia campbelli;1;2;Animalia;Reptilia;Sauria;Anguidae;Abronia;campbelli;India;IND
Abronia campbelli;1;2;Animalia;Reptilia;Sauria;Anguidae;Abronia;campbelli;Mexico;MEX
Abronia campbelli;1;2;Animalia;Reptilia;Sauria;Anguidae;Abronia;campbelli;United States;USA
Acerodon jubatus;12;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Philippines;PHL
Acerodon jubatus;3;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Indonesia;IDN
Acerodon jubatus;3;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Myanmar;MMR
Acerodon jubatus;3;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;United States;USA
Acerodon jubatus;2;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;China;CHN
Acerodon jubatus;2;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Japan;JPN
Acerodon jubatus;2;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Madagascar;MDG
Acerodon jubatus;2;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Malaysia;MYS
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Australia;AUS
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Cameroon;CMR
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Congo;COG
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Congo, The Democratic Republic of the;COD
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Germany;DEU
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;India;IND
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Ireland;IRL
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Korea, Republic of;KOR
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Nepal;NPL
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;New Caledonia;NCL
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;New Zealand;NZL
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Palau;PLW
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Papua New Guinea;PNG
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Saudi Arabia;SAU
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Senegal;SEN
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;South Africa;ZAF
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Sri Lanka;LKA
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Switzerland;CHE
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Taiwan, Province of China;TWN
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Thailand;THA
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;United Kingdom;GBR
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Viet Nam;VNM
Acerodon jubatus;1;20;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;Zimbabwe;ZWE
Aceros nipalensis;14;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;India;IND
Aceros nipalensis;6;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;Bhutan;BTN
Aceros nipalensis;6;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;Myanmar;MMR
Aceros nipalensis;5;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;Thailand;THA
Aceros nipalensis;2;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;China;CHN
Aceros nipalensis;2;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;Lao People's Democratic Republic;LAO
Aceros nipalensis;2;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;Viet Nam;VNM
Aceros nipalensis;1;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;Bangladesh;BGD
Aceros nipalensis;1;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;Hong Kong;HKG
Aceros nipalensis;1;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;Indonesia;IDN
Aceros nipalensis;1;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;Iran, Islamic Republic of;IRN
Aceros nipalensis;1;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;Kazakhstan;KAZ
Aceros nipalensis;1;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;Malaysia;MYS
Aceros nipalensis;1;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;Nepal;NPL
Aceros nipalensis;1;22;Animalia;Aves;Coraciiformes;Bucerotidae;Aceros;nipalensis;Pakistan;PAK
