common name;scientific_name;Proposal number and Proponents;Proposal;Committee I;Adopted;Plenary
Saiga antelope;Saiga tatarica;"CoP18 Prop. 2
				
				Mongolia and United States of America";Transfer from Appendix II to Appendix I;"Accepted as amended
				22.08.2019";27.08.2019;"Adopted as amended
				27.08.2019"
Small-clawed otter;Aonyx cinereus;"CoP18 Prop. 6
				India, Nepal and the Philippines";Transfer from Appendix II to Appendix I;"Accepted
				25.08.2019";27.08.2019;"Adopted
				27.08.2019"
Smooth-coated otter;Lutrogale perspicillata;"CoP18 Prop. 7
				
				Bangladesh, India and Nepal";Transfer from Appendix II to Appendix I;"Accepted
				25.08.2019";27.08.2019;"Adopted
				27.08.2019"
Black crowned-crane;Balearica pavonina;CoP18 Prop. 19;Transfer from Appendix II to Appendix I;"Accepted
				26.08.2019";27.08.2019;"Adopted
				27.08.2019"
Erdelen's horned lizard;Ceratophora erdeleni;"CoP18 Prop. 24
				
				Sri Lanka";Include in Appendix I;"Accepted as amended
				26.08.2019";27.08.2019;"Adopted as amended
				27.08.2019"
Karu's horned lizard;Ceratophora karu;"CoP18 Prop. 24
				
				Sri Lanka";Include in Appendix I;"Accepted as amended
				26.08.2019";27.08.2019;"Adopted as amended
				27.08.2019"
Leaf-nosed lizard;Ceratophora tennentii;"CoP18 Prop. 24
				
				Sri Lanka";Include in Appendix I;"Accepted as amended
				26.08.2019";27.08.2019;"Adopted as amended
				27.08.2019"
Pygmy lizards;Cophotis dumbara;"CoP18 Prop. 25
				
				Sri Lanka";Include in Appendix I;"Accepted
				26.08.2019";27.08.2019;"Adopted
				27.08.2019"
Pygmy lizards;Cophotis ceylanica;"CoP18 Prop. 25
				
				Sri Lanka";Include in Appendix I;"Accepted
				26.08.2019";27.08.2019;"Adopted
				27.08.2019"
Hump-nosed lizard;Lyriocephalus scutatus;"CoP18 Prop. 26
				
				Sri Lanka";Include in Appendix I;"Accepted
				26.08.2019";27.08.2019;"Adopted
				27.08.2019"
Grenadines clawed gecko;Gonatodes daudini;"CoP18 Prop. 29
				
				Saint Vincent and the Grenadines";Include in Appendix I;"Accepted
				26.08.2019";27.08.2019;"Adopted
				27.08.2019"
Indochinese Box Turtle;"Cuora bourreti	";CoP18 Prop. 33Viet Nam;Transfer from Appendix II to Appendix I;"Accepted
				26.08.2019";27.08.2019;"Adopted
				27.08.2019"
Vietnamese box turtle;Cuora picturata;"CoP18 Prop. 34
				
				Viet Nam";Transfer from Appendix II to Appendix I;"Accepted
				26.08.2019";27.08.2019;"Adopted
				27.08.2019"
Annam leaf turtle;Mauremys annamensis;"CoP18 Prop. 35
				
				Viet Nam";Transfer from Appendix II to Appendix I;"Accepted
				26.08.2019";27.08.2019;"Adopted
				27.08.2019"
Star tortoise;Geochelone elegans;"CoP18 Prop. 36
				Bangladesh, India, Senegal and Sri Lanka";Transfer from Appendix II to Appendix I;"Accepted
				26.08.2019";27.08.2019;"Adopted
				27.08.2019"
Pancake tortoise;Malacochersus tornieri;"CoP18 Prop. 37
				
				Kenya and United States of America";Transfer from Appendix II to Appendix I;"Accepted
				26.08.2019";27.08.2019;"Adopted
				27.08.2019"
Mindoro peacock swallowtail;Achillides chikae hermeli;"CoP18 Prop. 47
				European Union and Philippines";Include in Appendix I;"Accepted
				26.08.2019";28.08.2019;"Adopted
				28.08.2019"
Riverside swallowtail;Parides burchellanus;"CoP18 Prop. 48
				
				Brazil";Include in Appendix I;"Accepted
				26.08.2019";28.08.2019;"Adopted
				28.08.2019"
