scientific_name;Countries;Countries
Abies guatemalensis;('Guatemala', 'GTM');4
Abies guatemalensis;('Canada', 'CAN');2
Abies guatemalensis;('Mexico', 'MEX');2
Abies guatemalensis;('Colombia', 'COL');1
Abies guatemalensis;('Denmark', 'DNK');1
Abies guatemalensis;('Sweden', 'SWE');1
Abies guatemalensis;('United States', 'USA');1
Abronia campbelli;('Costa Rica', 'CRI');1
Abronia campbelli;('Guatemala', 'GTM');1
Abronia campbelli;('India', 'IND');1
Abronia campbelli;('Mexico', 'MEX');1
Abronia campbelli;('United States', 'USA');1
Acerodon jubatus;('Philippines', 'PHL');12
Acerodon jubatus;('Indonesia', 'IDN');3
Acerodon jubatus;('Myanmar', 'MMR');3
Acerodon jubatus;('United States', 'USA');3
Acerodon jubatus;('China', 'CHN');2
Acerodon jubatus;('Japan', 'JPN');2
Acerodon jubatus;('Madagascar', 'MDG');2
Acerodon jubatus;('Malaysia', 'MYS');2
Acerodon jubatus;('Australia', 'AUS');1
Acerodon jubatus;('Cameroon', 'CMR');1
Acerodon jubatus;('Congo', 'COG');1
Acerodon jubatus;('Congo, The Democratic Republic of the', 'COD');1
Acerodon jubatus;('Germany', 'DEU');1
Acerodon jubatus;('India', 'IND');1
Acerodon jubatus;('Ireland', 'IRL');1
Acerodon jubatus;('Korea, Republic of', 'KOR');1
Acerodon jubatus;('Nepal', 'NPL');1
Acerodon jubatus;('New Caledonia', 'NCL');1
Acerodon jubatus;('New Zealand', 'NZL');1
Acerodon jubatus;('Palau', 'PLW');1
Acerodon jubatus;('Papua New Guinea', 'PNG');1
Acerodon jubatus;('Saudi Arabia', 'SAU');1
Acerodon jubatus;('Senegal', 'SEN');1
Acerodon jubatus;('South Africa', 'ZAF');1
Acerodon jubatus;('Sri Lanka', 'LKA');1
Acerodon jubatus;('Switzerland', 'CHE');1
Acerodon jubatus;('Taiwan, Province of China', 'TWN');1
Acerodon jubatus;('Thailand', 'THA');1
Acerodon jubatus;('United Kingdom', 'GBR');1
Acerodon jubatus;('Viet Nam', 'VNM');1
Acerodon jubatus;('Zimbabwe', 'ZWE');1
Aceros nipalensis;('India', 'IND');14
Aceros nipalensis;('Bhutan', 'BTN');6
Aceros nipalensis;('Myanmar', 'MMR');6
Aceros nipalensis;('Thailand', 'THA');5
Aceros nipalensis;('China', 'CHN');2
Aceros nipalensis;"(""Lao People's Democratic Republic"", 'LAO')";2
Aceros nipalensis;('Viet Nam', 'VNM');2
Aceros nipalensis;('Bangladesh', 'BGD');1
Aceros nipalensis;('Hong Kong', 'HKG');1
Aceros nipalensis;('Indonesia', 'IDN');1
Aceros nipalensis;('Iran, Islamic Republic of', 'IRN');1
Aceros nipalensis;('Kazakhstan', 'KAZ');1
Aceros nipalensis;('Malaysia', 'MYS');1
Aceros nipalensis;('Nepal', 'NPL');1
Aceros nipalensis;('Pakistan', 'PAK');1
Aceros nipalensis;('Sri Lanka', 'LKA');1
Aceros nipalensis;('United Kingdom', 'GBR');1
Aceros nipalensis;('United States', 'USA');1
Achillides chikae chikae;('Australia', 'AUS');1
Achillides chikae chikae;('Belgium', 'BEL');1
Achillides chikae chikae;('Cameroon', 'CMR');1
Achillides chikae chikae;('Ecuador', 'ECU');1
Achillides chikae chikae;('Japan', 'JPN');1
Achillides chikae chikae;('Jersey', 'JEY');1
Achillides chikae chikae;('Malaysia', 'MYS');1
Achillides chikae chikae;('Philippines', 'PHL');1
Achillides chikae chikae;('Slovenia', 'SVN');1
Achillides chikae chikae;('Tanzania, United Republic of', 'TZA');1
Achillides chikae chikae;('United States', 'USA');1
Acinonyx jubatus;('India', 'IND');5
Acinonyx jubatus;('Iran, Islamic Republic of', 'IRN');5
Acinonyx jubatus;('South Africa', 'ZAF');5
Acinonyx jubatus;('United States', 'USA');5
Acinonyx jubatus;('Namibia', 'NAM');4
Acinonyx jubatus;('China', 'CHN');2
Acinonyx jubatus;('Egypt', 'EGY');2
Acinonyx jubatus;('Jersey', 'JEY');2
Acinonyx jubatus;('United Kingdom', 'GBR');2
Acinonyx jubatus;('Afghanistan', 'AFG');1
Acinonyx jubatus;('Algeria', 'DZA');1
Acinonyx jubatus;('Central African Republic', 'CAF');1
Acinonyx jubatus;('Congo, The Democratic Republic of the', 'COD');1
Acinonyx jubatus;('Ethiopia', 'ETH');1
Acinonyx jubatus;('France', 'FRA');1
Acinonyx jubatus;('Gabon', 'GAB');1
Acinonyx jubatus;('Georgia', 'GEO');1
Acinonyx jubatus;('Iraq', 'IRQ');1
Acinonyx jubatus;('Israel', 'ISR');1
Acinonyx jubatus;('Jordan', 'JOR');1
Acinonyx jubatus;('Kazakhstan', 'KAZ');1
Acinonyx jubatus;('Korea, Republic of', 'KOR');1
Acinonyx jubatus;('Kuwait', 'KWT');1
Acinonyx jubatus;('Madagascar', 'MDG');1
Acinonyx jubatus;('Nepal', 'NPL');1
Acinonyx jubatus;('Netherlands', 'NLD');1
Acinonyx jubatus;('Oman', 'OMN');1
Acinonyx jubatus;('Pakistan', 'PAK');1
Acinonyx jubatus;('Russian Federation', 'RUS');1
Acinonyx jubatus;('Rwanda', 'RWA');1
Acinonyx jubatus;('Switzerland', 'CHE');1
Acinonyx jubatus;('Syrian Arab Republic', 'SYR');1
Acinonyx jubatus;('Thailand', 'THA');1
Acinonyx jubatus;('Turkey', 'TUR');1
Acinonyx jubatus;('Turkmenistan', 'TKM');1
Acinonyx jubatus;('Uganda', 'UGA');1
Acinonyx jubatus;('Uzbekistan', 'UZB');1
Acipenser brevirostrum;('United States', 'USA');10
Acipenser brevirostrum;('Canada', 'CAN');5
Acipenser brevirostrum;('China', 'CHN');2
Acipenser brevirostrum;('Jersey', 'JEY');2
Acipenser brevirostrum;('Brazil', 'BRA');1
Acipenser brevirostrum;('Puerto Rico', 'PRI');1
Acipenser brevirostrum;('Russian Federation', 'RUS');1
Acipenser sturio;('United States', 'USA');19
Acipenser sturio;('United Kingdom', 'GBR');9
Acipenser sturio;('Canada', 'CAN');8
Acipenser sturio;('France', 'FRA');6
Acipenser sturio;('Russian Federation', 'RUS');6
Acipenser sturio;('Jersey', 'JEY');5
Acipenser sturio;('China', 'CHN');4
Acipenser sturio;('Germany', 'DEU');4
Acipenser sturio;('Iran, Islamic Republic of', 'IRN');4
Acipenser sturio;('Romania', 'ROU');4
Acipenser sturio;('Bulgaria', 'BGR');3
Acipenser sturio;('Netherlands', 'NLD');3
Acipenser sturio;('Spain', 'ESP');3
Acipenser sturio;('Georgia', 'GEO');2
Acipenser sturio;('Japan', 'JPN');2
Acipenser sturio;('Poland', 'POL');2
Acipenser sturio;('Serbia', 'SRB');2
Acipenser sturio;('Azerbaijan', 'AZE');1
Acipenser sturio;('Bahamas', 'BHS');1
Acipenser sturio;('Congo', 'COG');1
Acipenser sturio;('Croatia', 'HRV');1
Acipenser sturio;('Czechia', 'CZE');1
Acipenser sturio;('Estonia', 'EST');1
Acipenser sturio;('Finland', 'FIN');1
Acipenser sturio;('Greece', 'GRC');1
Acipenser sturio;('Hungary', 'HUN');1
Acipenser sturio;('India', 'IND');1
Acipenser sturio;('Indonesia', 'IDN');1
Acipenser sturio;('Israel', 'ISR');1
Acipenser sturio;('Italy', 'ITA');1
Acipenser sturio;('Kazakhstan', 'KAZ');1
Acipenser sturio;('Latvia', 'LVA');1
Acipenser sturio;('Maldives', 'MDV');1
Acipenser sturio;('Norway', 'NOR');1
Acipenser sturio;('Sweden', 'SWE');1
Acipenser sturio;('Thailand', 'THA');1
Acipenser sturio;('Turkmenistan', 'TKM');1
Acipenser sturio;('Ukraine', 'UKR');1
Acrantophis dumerili;('Honduras', 'HND');1
Acrantophis dumerili;('Madagascar', 'MDG');1
Acrantophis dumerili;('Malaysia', 'MYS');1
Acrantophis dumerili;('Philippines', 'PHL');1
