scientific_name;Countries;Countries
Abies guatemalensis;canada;2
Abies guatemalensis;guatemala;2
Abies guatemalensis;colombia;1
Abies guatemalensis;denmark;1
Abies guatemalensis;mexico;1
Abies guatemalensis;sweden;1
Abies guatemalensis;u.s. virgin islands;1
Abronia campbelli;costa rica;1
Abronia campbelli;guatemala;1
Abronia campbelli;india;1
Abronia campbelli;mexico;1
Abronia campbelli;united states;1
Abronia campbelli;united states minor outlying islands;1
Acerodon jubatus;philippines;12
Acerodon jubatus;indonesia;3
Acerodon jubatus;myanmar;3
Acerodon jubatus;china;2
Acerodon jubatus;democratic republic of the congo;2
Acerodon jubatus;japan;2
Acerodon jubatus;madagascar;2
Acerodon jubatus;malaysia;2
Acerodon jubatus;u.s. virgin islands;2
Acerodon jubatus;australia;1
Acerodon jubatus;cameroon;1
Acerodon jubatus;germany;1
Acerodon jubatus;guinea;1
Acerodon jubatus;india;1
Acerodon jubatus;ireland;1
Acerodon jubatus;nepal;1
Acerodon jubatus;new caledonia;1
Acerodon jubatus;new zealand;1
Acerodon jubatus;palau;1
Acerodon jubatus;papua new guinea;1
Acerodon jubatus;republic of the congo;1
Acerodon jubatus;saudi arabia;1
Acerodon jubatus;senegal;1
Acerodon jubatus;south africa;1
Acerodon jubatus;south korea;1
Acerodon jubatus;sri lanka;1
Acerodon jubatus;switzerland;1
Acerodon jubatus;taiwan;1
Acerodon jubatus;thailand;1
Acerodon jubatus;united states;1
Acerodon jubatus;vietnam;1
Acerodon jubatus;zimbabwe;1
Aceros nipalensis;india;14
Aceros nipalensis;bhutan;6
Aceros nipalensis;myanmar;6
Aceros nipalensis;thailand;5
Aceros nipalensis;china;2
Aceros nipalensis;laos;2
Aceros nipalensis;vietnam;2
Aceros nipalensis;bangladesh;1
Aceros nipalensis;hong kong;1
Aceros nipalensis;indonesia;1
Aceros nipalensis;iran;1
Aceros nipalensis;kazakhstan;1
Aceros nipalensis;malaysia;1
Aceros nipalensis;nepal;1
Aceros nipalensis;pakistan;1
Aceros nipalensis;sri lanka;1
Achillides chikae chikae;australia;1
Achillides chikae chikae;belgium;1
Achillides chikae chikae;cameroon;1
Achillides chikae chikae;ecuador;1
Achillides chikae chikae;japan;1
Achillides chikae chikae;jersey;1
Achillides chikae chikae;malaysia;1
Achillides chikae chikae;philippines;1
Achillides chikae chikae;slovenia;1
Achillides chikae chikae;tanzania;1
Achillides chikae chikae;u.s. virgin islands;1
Acinonyx jubatus;india;5
Acinonyx jubatus;south africa;5
Acinonyx jubatus;iran;4
Acinonyx jubatus;namibia;4
Acinonyx jubatus;china;2
Acinonyx jubatus;egypt;2
Acinonyx jubatus;jersey;2
Acinonyx jubatus;u.s. virgin islands;2
Acinonyx jubatus;united states;2
Acinonyx jubatus;afghanistan;1
Acinonyx jubatus;algeria;1
Acinonyx jubatus;antarctica;1
Acinonyx jubatus;central african republic;1
Acinonyx jubatus;democratic republic of the congo;1
Acinonyx jubatus;ethiopia;1
Acinonyx jubatus;france;1
Acinonyx jubatus;gabon;1
Acinonyx jubatus;georgia;1
Acinonyx jubatus;iraq;1
Acinonyx jubatus;israel;1
Acinonyx jubatus;ivory coast;1
Acinonyx jubatus;jordan;1
Acinonyx jubatus;kazakhstan;1
Acinonyx jubatus;kuwait;1
Acinonyx jubatus;madagascar;1
Acinonyx jubatus;nepal;1
Acinonyx jubatus;netherlands;1
Acinonyx jubatus;netherlands antilles;1
Acinonyx jubatus;north korea;1
Acinonyx jubatus;oman;1
Acinonyx jubatus;pakistan;1
Acinonyx jubatus;republic of the congo;1
Acinonyx jubatus;russia;1
Acinonyx jubatus;rwanda;1
Acinonyx jubatus;saudi arabia;1
Acinonyx jubatus;south georgia and the south sandwich islands;1
Acinonyx jubatus;south korea;1
Acinonyx jubatus;switzerland;1
Acinonyx jubatus;syria;1
Acinonyx jubatus;thailand;1
Acinonyx jubatus;turkey;1
Acinonyx jubatus;turkmenistan;1
Acinonyx jubatus;uganda;1
Acinonyx jubatus;united states minor outlying islands;1
Acinonyx jubatus;uzbekistan;1
Acipenser brevirostrum;canada;5
Acipenser brevirostrum;u.s. virgin islands;5
Acipenser brevirostrum;united states;3
Acipenser brevirostrum;china;2
Acipenser brevirostrum;georgia;2
Acipenser brevirostrum;jersey;2
Acipenser brevirostrum;south georgia and the south sandwich islands;2
Acipenser brevirostrum;brazil;1
Acipenser brevirostrum;puerto rico;1
Acipenser brevirostrum;russia;1
Acipenser brevirostrum;united states minor outlying islands;1
Acipenser sturio;canada;8
Acipenser sturio;united states;7
Acipenser sturio;france;6
Acipenser sturio;georgia;6
Acipenser sturio;russia;6
Acipenser sturio;u.s. virgin islands;6
Acipenser sturio;south georgia and the south sandwich islands;5
Acipenser sturio;china;4
Acipenser sturio;germany;4
Acipenser sturio;iran;4
Acipenser sturio;jersey;4
Acipenser sturio;romania;4
Acipenser sturio;bulgaria;3
Acipenser sturio;netherlands;3
Acipenser sturio;spain;3
Acipenser sturio;japan;2
Acipenser sturio;netherlands antilles;2
Acipenser sturio;poland;2
Acipenser sturio;serbia;2
Acipenser sturio;serbia and montenegro;2
Acipenser sturio;azerbaijan;1
Acipenser sturio;bahamas;1
Acipenser sturio;croatia;1
Acipenser sturio;democratic republic of the congo;1
Acipenser sturio;estonia;1
Acipenser sturio;finland;1
Acipenser sturio;greece;1
Acipenser sturio;hungary;1
Acipenser sturio;india;1
Acipenser sturio;indonesia;1
Acipenser sturio;israel;1
Acipenser sturio;italy;1
Acipenser sturio;kazakhstan;1
Acipenser sturio;latvia;1
Acipenser sturio;maldives;1
Acipenser sturio;norfolk island;1
Acipenser sturio;norway;1
Acipenser sturio;republic of the congo;1
Acipenser sturio;sweden;1
Acipenser sturio;thailand;1
Acipenser sturio;turkmenistan;1
Acipenser sturio;ukraine;1
Acrantophis dumerili;honduras;1
Acrantophis dumerili;madagascar;1
Acrantophis dumerili;malaysia;1
Acrantophis dumerili;philippines;1
Acrantophis dumerili;vietnam;1
Addax nasomaculatus;chad;5
Addax nasomaculatus;china;4
Addax nasomaculatus;libya;4
Addax nasomaculatus;niger;4
Addax nasomaculatus;tunisia;3
Addax nasomaculatus;australia;2
Addax nasomaculatus;france;2
Addax nasomaculatus;kenya;2
Addax nasomaculatus;mauritania;2
Addax nasomaculatus;morocco;2
Addax nasomaculatus;new zealand;2
Addax nasomaculatus;nigeria;2
Addax nasomaculatus;russia;2
Addax nasomaculatus;rwanda;2
Addax nasomaculatus;south sudan;2
Addax nasomaculatus;sudan;2
Addax nasomaculatus;uzbekistan;2
Addax nasomaculatus;algeria;1
Addax nasomaculatus;belgium;1
Addax nasomaculatus;botswana;1
Addax nasomaculatus;bouvet island;1
Addax nasomaculatus;christmas island;1
Addax nasomaculatus;democratic republic of the congo;1
Addax nasomaculatus;egypt;1
Addax nasomaculatus;gabon;1
Addax nasomaculatus;heard island and mcdonald islands;1
Addax nasomaculatus;hungary;1
Addax nasomaculatus;india;1
Addax nasomaculatus;iran;1
Addax nasomaculatus;japan;1
Addax nasomaculatus;kazakhstan;1
Addax nasomaculatus;mexico;1
Addax nasomaculatus;namibia;1
Addax nasomaculatus;norfolk island;1
Addax nasomaculatus;republic of the congo;1
Addax nasomaculatus;saudi arabia;1
Addax nasomaculatus;sierra leone;1
Addax nasomaculatus;south africa;1
Addax nasomaculatus;spain;1
Addax nasomaculatus;united arab emirates;1
Addax nasomaculatus;western sahara;1
Addax nasomaculatus;zimbabwe;1
Ailuropoda melanoleuca;china;23
Ailuropoda melanoleuca;united states;5
Ailuropoda melanoleuca;india;3
Ailuropoda melanoleuca;australia;2
Ailuropoda melanoleuca;hong kong;2
Ailuropoda melanoleuca;myanmar;2
Ailuropoda melanoleuca;u.s. virgin islands;2
Ailuropoda melanoleuca;bhutan;1
Ailuropoda melanoleuca;brazil;1
Ailuropoda melanoleuca;canada;1
Ailuropoda melanoleuca;france;1
Ailuropoda melanoleuca;japan;1
Ailuropoda melanoleuca;laos;1
Ailuropoda melanoleuca;luxembourg;1
Ailuropoda melanoleuca;nepal;1
Ailuropoda melanoleuca;netherlands;1
Ailuropoda melanoleuca;netherlands antilles;1
Ailuropoda melanoleuca;russia;1
Ailuropoda melanoleuca;south korea;1
Ailuropoda melanoleuca;taiwan;1
Ailuropoda melanoleuca;vietnam;1
Ailurus fulgens;china;30
Ailurus fulgens;nepal;23
Ailurus fulgens;india;18
Ailurus fulgens;myanmar;17
Ailurus fulgens;bhutan;15
Ailurus fulgens;france;5
Ailurus fulgens;laos;3
Ailurus fulgens;u.s. virgin islands;3
Ailurus fulgens;australia;2
Ailurus fulgens;brazil;2
Ailurus fulgens;canada;2
Ailurus fulgens;germany;2
Ailurus fulgens;norfolk island;2
Ailurus fulgens;philippines;2
Ailurus fulgens;russia;2
Ailurus fulgens;saint martin;2
Ailurus fulgens;united states;2
Ailurus fulgens;bangladesh;1
Ailurus fulgens;bonaire, saint eustatius and saba ;1
Ailurus fulgens;colombia;1
Ailurus fulgens;democratic republic of the congo;1
Ailurus fulgens;hong kong;1
Ailurus fulgens;indonesia;1
Ailurus fulgens;ireland;1
Ailurus fulgens;malaysia;1
Ailurus fulgens;mexico;1
Ailurus fulgens;new caledonia;1
Ailurus fulgens;republic of the congo;1
Ailurus fulgens;saint barthelemy;1
Ailurus fulgens;saint helena;1
Ailurus fulgens;saint kitts and nevis;1
Ailurus fulgens;saint lucia;1
Ailurus fulgens;saint pierre and miquelon;1
Ailurus fulgens;saint vincent and the grenadines;1
Ailurus fulgens;spain;1
Ailurus fulgens;tanzania;1
Ailurus fulgens;uganda;1
Ailurus fulgens;vietnam;1
Alligator sinensis;china;25
Alligator sinensis;vietnam;4
Alligator sinensis;australia;3
Alligator sinensis;india;3
Alligator sinensis;indonesia;3
Alligator sinensis;singapore;3
Alligator sinensis;united states;3
Alligator sinensis;u.s. virgin islands;2
Alligator sinensis;united states minor outlying islands;2
Alligator sinensis;austria;1
Alligator sinensis;botswana;1
Alligator sinensis;brazil;1
Alligator sinensis;brunei;1
Alligator sinensis;chile;1
Alligator sinensis;colombia;1
Alligator sinensis;ecuador;1
Alligator sinensis;ethiopia;1
Alligator sinensis;fiji;1
Alligator sinensis;france;1
Alligator sinensis;georgia;1
Alligator sinensis;haiti;1
Alligator sinensis;hong kong;1
Alligator sinensis;italy;1
Alligator sinensis;ivory coast;1
Alligator sinensis;jamaica;1
Alligator sinensis;japan;1
Alligator sinensis;kenya;1
Alligator sinensis;laos;1
Alligator sinensis;madagascar;1
Alligator sinensis;mauritius;1
Alligator sinensis;mexico;1
Alligator sinensis;myanmar;1
Alligator sinensis;new zealand;1
Alligator sinensis;peru;1
Alligator sinensis;philippines;1
Alligator sinensis;russia;1
Alligator sinensis;south georgia and the south sandwich islands;1
Alligator sinensis;sri lanka;1
Alligator sinensis;thailand;1
Allocebus trichotis;china;2
Allocebus trichotis;laos;2
Allocebus trichotis;madagascar;2
Allocebus trichotis;new zealand;2
Allocebus trichotis;panama;2
Allocebus trichotis;vietnam;2
Allocebus trichotis;bolivia;1
Allocebus trichotis;cambodia;1
Allocebus trichotis;guinea;1
Allocebus trichotis;indonesia;1
Allocebus trichotis;mongolia;1
Allocebus trichotis;papua new guinea;1
Allocebus trichotis;tanzania;1
Aloe pillansii;antarctica;1
Aloe pillansii;cambodia;1
Aloe pillansii;laos;1
Aloe pillansii;madagascar;1
Aloe pillansii;new zealand;1
Aloe pillansii;south sudan;1
Aloe pillansii;sudan;1
Aloe pillansii;u.s. virgin islands;1
Aloe pillansii;uganda;1
Aloe polyphylla;south africa;2
Aloe polyphylla;democratic republic of the congo;1
Aloe polyphylla;ecuador;1
Aloe polyphylla;france;1
Aloe polyphylla;japan;1
Aloe polyphylla;malaysia;1
Aloe polyphylla;mexico;1
Aloe polyphylla;portugal;1
Aloe polyphylla;republic of the congo;1
Aloe polyphylla;sri lanka;1
Aloe polyphylla;switzerland;1
Aloe polyphylla;thailand;1
Aloe polyphylla;united states;1
Alouatta palliata;costa rica;14
Alouatta palliata;mexico;6
Alouatta palliata;panama;5
Alouatta palliata;ecuador;3
Alouatta palliata;nicaragua;3
Alouatta palliata;canada;2
Alouatta palliata;colombia;2
Alouatta palliata;guatemala;2
Alouatta palliata;indonesia;2
Alouatta palliata;new zealand;2
Alouatta palliata;peru;2
Alouatta palliata;united states;2
Alouatta palliata;australia;1
Alouatta palliata;belize;1
Alouatta palliata;botswana;1
Alouatta palliata;brazil;1
Alouatta palliata;bulgaria;1
Alouatta palliata;china;1
Alouatta palliata;el salvador;1
Alouatta palliata;france;1
Alouatta palliata;greece;1
Alouatta palliata;honduras;1
Alouatta palliata;india;1
Alouatta palliata;jamaica;1
Alouatta palliata;kenya;1
Alouatta palliata;madagascar;1
Alouatta palliata;malaysia;1
Alouatta palliata;norway;1
Alouatta palliata;south africa;1
Alouatta palliata;spain;1
Alouatta palliata;sri lanka;1
Alouatta palliata;tanzania;1
Alouatta palliata;thailand;1
Alouatta palliata;u.s. virgin islands;1
Alouatta palliata;vietnam;1
Alouatta pigra;mexico;3
Alouatta pigra;guatemala;2
Alouatta pigra;australia;1
Alouatta pigra;bahamas;1
Alouatta pigra;belize;1
Alouatta pigra;brazil;1
Alouatta pigra;colombia;1
Alouatta pigra;greenland;1
Alouatta pigra;guinea;1
Alouatta pigra;indonesia;1
Alouatta pigra;japan;1
Alouatta pigra;macao;1
Alouatta pigra;madagascar;1
Alouatta pigra;new caledonia;1
Alouatta pigra;new zealand;1
Alouatta pigra;nicaragua;1
Alouatta pigra;papua new guinea;1
Alouatta pigra;philippines;1
Alouatta pigra;south africa;1
Alouatta pigra;sri lanka;1
Altiphrynoides osgoodi;united states;1
Amazona arausiaca;dominica;2
Amazona arausiaca;belize;1
Amazona arausiaca;costa rica;1
Amazona arausiaca;japan;1
Amazona arausiaca;martinique;1
Amazona arausiaca;u.s. virgin islands;1
Amazona auropalliata;australia;3
Amazona auropalliata;costa rica;3
Amazona auropalliata;mexico;3
Amazona auropalliata;singapore;3
Amazona auropalliata;united states;3
Amazona auropalliata;el salvador;2
Amazona auropalliata;guatemala;2
Amazona auropalliata;honduras;2
Amazona auropalliata;india;2
Amazona auropalliata;macao;2
Amazona auropalliata;nicaragua;2
Amazona auropalliata;panama;2
Amazona auropalliata;u.s. virgin islands;2
Amazona auropalliata;belize;1
Amazona auropalliata;cayman islands;1
Amazona auropalliata;central african republic;1
Amazona auropalliata;china;1
