gl_hits;scientific_name;Charisma;Kingdom;Class;Order;Family;Genus;Species;Listing;NativeDistributionFullNames;Extinct_Distribution
6110000;Canis lupus;1;Animalia;Mammalia;Carnivora;Canidae;Canis;lupus;I/II;Afghanistan,Albania,Armenia,Azerbaijan,Belarus,Bhutan,Bosnia and Herzegovina,Bulgaria,Canada,China,Croatia,Czech Republic,Democratic People's Republic of Korea,Estonia,Finland,France,Georgia,Germany,Greece,Greenland,Hungary,India,Iran (Islamic Republic of),Iraq,Israel,Italy,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Latvia,Libya,Lithuania,Mongolia,Montenegro,Nepal,North Macedonia,Norway,Oman,Pakistan,Poland,Portugal,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saudi Arabia,Serbia,Slovakia,Slovenia,Spain,Sweden,Syrian Arab Republic,Tajikistan,Turkey,Turkmenistan,Ukraine,United States of America,Uzbekistan,Yemen;Austria,Bangladesh,Belgium,Denmark,Ireland,Japan,Luxembourg,Mexico,Netherlands,Switzerland,United Kingdom of Great Britain and Northern Ireland
2490000;Panthera leo;1;Animalia;Mammalia;Carnivora;Felidae;Panthera;leo;I/II;Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Eswatini,Ethiopia,Guinea,India,Kenya,Malawi,Mali,Mozambique,Namibia,Niger,Nigeria,Senegal,Somalia,South Africa,South Sudan,Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe;Afghanistan,Algeria,Burundi,Congo,Djibouti,Egypt,Eritrea,Gabon,Gambia,Greece,Iran (Islamic Republic of),Iraq,Israel,Jordan,Kuwait,Lebanon,Lesotho,Libya,Mauritania,Morocco,Pakistan,Rwanda,Saudi Arabia,Sierra Leone,Syrian Arab Republic,Tunisia,Turkey,Western Sahara
2380000;Panthera tigris;1;Animalia;Mammalia;Carnivora;Felidae;Panthera;tigris;I;Afghanistan,Bangladesh,Bhutan,Cambodia,China,Democratic People's Republic of Korea,India,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Nepal,Russian Federation,Thailand,Viet Nam;Georgia,Iran (Islamic Republic of),Iraq,Kazakhstan,Kyrgyzstan,Pakistan,Republic of Korea,Singapore,Tajikistan,Turkey,Turkmenistan,Uzbekistan
2100000;Ursus arctos;1;Animalia;Mammalia;Carnivora;Ursidae;Ursus;arctos;I/II;Afghanistan,Albania,Armenia,Austria,Azerbaijan,Belarus,Bhutan,Bosnia and Herzegovina,Bulgaria,Canada,China,Croatia,Czech Republic,Democratic People's Republic of Korea,Estonia,Finland,France,Georgia,Greece,Hungary,India,Iran (Islamic Republic of),Iraq,Israel,Italy,Japan,Kazakhstan,Kyrgyzstan,Latvia,Lebanon,Mexico,Mongolia,Montenegro,Nepal,North Macedonia,Norway,Pakistan,Poland,Romania,Russian Federation,Serbia,Slovakia,Slovenia,Spain,Sweden,Syrian Arab Republic,Tajikistan,Turkey,Turkmenistan,Ukraine,United States of America,Uzbekistan;Belgium,Denmark,Germany,Jordan,Liechtenstein,Lithuania,Netherlands,Portugal,Switzerland
2100000;Ursus arctos;1;Animalia;Mammalia;Carnivora;Ursidae;Ursus;arctos;I/II;Afghanistan,Albania,Armenia,Austria,Azerbaijan,Belarus,Bhutan,Bosnia and Herzegovina,Bulgaria,Canada,China,Croatia,Czech Republic,Democratic People's Republic of Korea,Estonia,Finland,France,Georgia,Greece,Hungary,India,Iran (Islamic Republic of),Iraq,Israel,Italy,Japan,Kazakhstan,Kyrgyzstan,Latvia,Lebanon,Mexico,Mongolia,Montenegro,Nepal,North Macedonia,Norway,Pakistan,Poland,Romania,Russian Federation,Serbia,Slovakia,Slovenia,Spain,Sweden,Syrian Arab Republic,Tajikistan,Turkey,Turkmenistan,Ukraine,United States of America,Uzbekistan;Belgium,Denmark,Germany,Jordan,Liechtenstein,Lithuania,Netherlands,Portugal,Switzerland
2100000;Caretta caretta;1;Animalia;Reptilia;Testudines;Cheloniidae;Caretta;caretta;I;Albania,Algeria,Angola,Antigua and Barbuda,Argentina,Australia,Bahamas,Bahrain,Bangladesh,Belgium,Belize,Bonaire, Saint Eustatius and Saba,Brazil,British Virgin Islands (United Kingdom),Cabo Verde,Cameroon,Canada,Cayman Islands (United Kingdom),Chile,China,Colombia,Comoros,Comoros,Comoros,Comoros,Comoros,Comoros,Comoros,Comoros,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Democratic People's Republic of Korea,Denmark,Djibouti,Dominica,Dominican Republic,Egypt,Eritrea,Fiji,France,French Guiana [FR],Gambia,Greece,Grenada,Guadeloupe,Guatemala,Guinea,Guinea Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran (Islamic Republic of),Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Lebanon,Liberia,Libya,Madagascar,Malta,Martinique,Mauritania,Mauritius,Mexico,Micronesia (Federated States of),Monaco,Monaco,Montenegro,Montserrat (United Kingdom),Morocco,Mozambique,Myanmar,Netherlands,Netherlands Antilles,New Caledonia,Nicaragua,Norway,Oman,Pakistan,Panama,Papua New Guinea,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Réunion,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Seychelles,Sierra Leone,Sint Maarten,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Syrian Arab Republic,Taiwan, Province of China,Tonga,Trinidad and Tobago,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands (United Kingdom),United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,Uruguay,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Virgin Islands of the USA,Western Sahara,Yemen;
1680000;Panthera pardus;1;Animalia;Mammalia;Carnivora;Felidae;Panthera;pardus;I;Afghanistan,Algeria,Angola,Armenia,Azerbaijan,Bangladesh,Benin,Bhutan,Botswana,Burkina Faso,Burundi,Cambodia,Cameroon,Central African Republic,Chad,China,Congo,Côte d'Ivoire,Democratic People's Republic of Korea,Democratic Republic of the Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Georgia,Ghana,Guinea,Guinea Bissau,India,Indonesia,Iran (Islamic Republic of),Iraq,Israel,Jordan,Kenya,Lao People's Democratic Republic,Lebanon,Lesotho,Liberia,Malawi,Malaysia,Mali,Morocco,Mozambique,Myanmar,Namibia,Nepal,Niger,Nigeria,Oman,Pakistan,Republic of Korea,Russian Federation,Rwanda,Saudi Arabia,Senegal,Sierra Leone,Somalia,South Africa,South Sudan,Sri Lanka,Sudan,Tajikistan,Thailand,Togo,Tunisia,Turkey,Turkmenistan,Uganda,United Arab Emirates,United Republic of Tanzania,Viet Nam,Yemen,Zambia,Zimbabwe;Hong Kong, SAR,Libya,Singapore,Syrian Arab Republic
1470000;Pan troglodytes;1;Animalia;Mammalia;Primates;Hominidae;Pan;troglodytes;I;Angola,Burundi,Cameroon,Central African Republic,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Ghana,Guinea,Guinea Bissau,Liberia,Mali,Nigeria,Rwanda,Senegal,Sierra Leone,South Sudan,Uganda,United Republic of Tanzania;
1330000;Loxodonta africana;1;Animalia;Mammalia;Proboscidea;Elephantidae;Loxodonta;africana;I/II;Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Ghana,Guinea,Guinea Bissau,Kenya,Liberia,Malawi,Mali,Mozambique,Namibia,Niger,Nigeria,Rwanda,Senegal,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Togo,Uganda,United Republic of Tanzania,Zambia,Zimbabwe;Burundi,Djibouti,Eswatini,Gambia,Mauritania
1250000;Gorilla gorilla;1;Animalia;Mammalia;Primates;Hominidae;Gorilla;gorilla;I;Angola,Cameroon,Central African Republic,Congo,Equatorial Guinea,Gabon,Nigeria;
1110000;Panthera onca;1;Animalia;Mammalia;Carnivora;Felidae;Panthera;onca;I;Argentina,Belize,Bolivia (Plurinational State of),Brazil,Colombia,Costa Rica,Ecuador,French Guiana [FR],Guatemala,Guyana,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,Suriname,Venezuela (Bolivarian Republic of);El Salvador,United States of America,Uruguay
