scientific_name;Countries;mentions
Abies guatemalensis;('Mexico', 'MEX');2
Abies guatemalensis;('Canada', 'CAN');1
Abies guatemalensis;('Guatemala', 'GTM');1
Abronia campbelli;('Costa Rica', 'CRI');1
Abronia campbelli;('Guatemala', 'GTM');1
Abronia campbelli;('Mexico', 'MEX');1
Abronia campbelli;('United States', 'USA');1
Acerodon jubatus;('Philippines', 'PHL');11
Acerodon jubatus;('United States', 'USA');3
Acerodon jubatus;('China', 'CHN');2
Acerodon jubatus;('Indonesia', 'IDN');2
Acerodon jubatus;('Japan', 'JPN');2
Acerodon jubatus;('Madagascar', 'MDG');2
Acerodon jubatus;('Myanmar', 'MMR');2
Acerodon jubatus;('Congo', 'COG');1
Acerodon jubatus;('Congo, The Democratic Republic of the', 'COD');1
Acerodon jubatus;('Germany', 'DEU');1
Acerodon jubatus;('India', 'IND');1
Acerodon jubatus;('Ireland', 'IRL');1
Acerodon jubatus;('Korea, Republic of', 'KOR');1
Acerodon jubatus;('Malaysia', 'MYS');1
Acerodon jubatus;('Nepal', 'NPL');1
Acerodon jubatus;('New Caledonia', 'NCL');1
Acerodon jubatus;('New Zealand', 'NZL');1
Acerodon jubatus;('Papua New Guinea', 'PNG');1
Acerodon jubatus;('South Africa', 'ZAF');1
Acerodon jubatus;('Sri Lanka', 'LKA');1
Acerodon jubatus;('Switzerland', 'CHE');1
Acerodon jubatus;('Taiwan, Province of China', 'TWN');1
Acerodon jubatus;('Thailand', 'THA');1
Acerodon jubatus;('United Kingdom', 'GBR');1
Acerodon jubatus;('Viet Nam', 'VNM');1
Acerodon jubatus;('Zimbabwe', 'ZWE');1
Aceros nipalensis;('India', 'IND');4
Aceros nipalensis;('Myanmar', 'MMR');2
Aceros nipalensis;('China', 'CHN');1
Acinonyx jubatus;('Namibia', 'NAM');4
Acinonyx jubatus;('South Africa', 'ZAF');4
Acinonyx jubatus;('Iran, Islamic Republic of', 'IRN');3
Acinonyx jubatus;('India', 'IND');2
Acinonyx jubatus;('Algeria', 'DZA');1
Acinonyx jubatus;('Central African Republic', 'CAF');1
Acinonyx jubatus;('Congo, The Democratic Republic of the', 'COD');1
Acinonyx jubatus;('Egypt', 'EGY');1
Acinonyx jubatus;('Ethiopia', 'ETH');1
Acinonyx jubatus;('France', 'FRA');1
Acinonyx jubatus;('Georgia', 'GEO');1
Acinonyx jubatus;('Iraq', 'IRQ');1
Acinonyx jubatus;('Israel', 'ISR');1
Acinonyx jubatus;('Jersey', 'JEY');1
Acinonyx jubatus;('Jordan', 'JOR');1
Acinonyx jubatus;('Kazakhstan', 'KAZ');1
Acinonyx jubatus;('Korea, Republic of', 'KOR');1
