scientific_name;sharecount;article_cnt;gl_hits;Charisma;Kingdom;Class;Order;Family;Genus;Species;Listing;NativeDistributionFullNames;Extinct_Distribution
Physeter macrocephalus;264130.0;18;323000;1;Animalia;Mammalia;Cetacea;Physeteridae;Physeter;macrocephalus;I;American Samoa,Angola,Anguilla (United Kingdom),Antarctica,Argentina,Australia,Bahamas,Belgium,Belize,Bermuda (United Kingdom),Brazil,Cabo Verde,Canada,Cayman Islands (United Kingdom),Chile,China,Colombia,Comoros,Congo,Costa Rica,Côte d'Ivoire,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Equatorial Guinea,Eritrea,Falkland Islands (Malvinas),Fiji,French Polynesia,French Southern and Antarctic Territories,Gabon,Germany,Ghana,Gibraltar (United Kingdom),Greece,Greenland,Grenada,Honduras,Iceland,India,Indonesia,Ireland,Italy,Japan,Kenya,Liberia,Malaysia,Maldives,Malta,Mauritania,Mauritius,Mexico,Morocco,Mozambique,Myanmar,Namibia,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Norway,Oman,Panama,Peru,Philippines,Portugal,Puerto Rico,Republic of Korea,Russian Federation,Saint Helena and Dependencies (United Kingdom),Sao Tome and Principe,Seychelles,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Suriname,Thailand,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Yemen;
Pongo pygmaeus;130683.0;55;482000;1;Animalia;Mammalia;Primates;Hominidae;Pongo;pygmaeus;I;Indonesia,Malaysia;Brunei Darussalam
Leopardus pardalis;99307.0;26;255000;1;Animalia;Mammalia;Carnivora;Felidae;Leopardus;pardalis;I;Argentina,Belize,Bolivia (Plurinational State of),Brazil,Colombia,Costa Rica,Ecuador,El Salvador,French Guiana [FR],Guatemala,Guyana,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,Suriname,Trinidad and Tobago,United States of America,Uruguay,Venezuela (Bolivarian Republic of);
Manis tricuspis;63785.0;39;18500;0;Animalia;Mammalia;Pholidota;Manidae;Manis;tricuspis;I;Angola,Benin,Cameroon,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Ghana,Guinea,Kenya,Liberia,Nigeria,Rwanda,Sierra Leone,South Sudan,Togo,Uganda,Zambia;
Semnopithecus entellus;59142.0;88;78300;0;Animalia;Mammalia;Primates;Cercopithecidae;Semnopithecus;entellus;I;Bangladesh,India,Nepal,Pakistan;
Struthio camelus;56181.0;35;622000;1;Animalia;Aves;Struthioniformes;Struthionidae;Struthio;camelus;I;Angola,Botswana,Cameroon,Central African Republic,Chad,Djibouti,Egypt,Eritrea,Ethiopia,Kenya,Mali,Mauritania,Mozambique,Namibia,Niger,Nigeria,Senegal,Somalia,South Africa,South Sudan,Sudan,Uganda,United Republic of Tanzania,Western Sahara,Zambia,Zimbabwe;Algeria,Bahrain,Burkina Faso,Iraq,Israel,Jordan,Kuwait,Libya,Morocco,Oman,Saudi Arabia,Tunisia
Crocodylus cataphractus;46795.0;12;18200;0;Animalia;Reptilia;Crocodylia;Crocodylidae;Crocodylus;cataphractus;I;Angola,Benin,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Gambia,Ghana,Guinea,Guinea Bissau,Liberia,Mali,Mauritania,Nigeria,Senegal,Sierra Leone,Togo,United Republic of Tanzania,Zambia;
Chelonoidis niger;36485.0;30;23500;0;Animalia;Reptilia;Testudines;Testudinidae;Chelonoidis;niger;I;Ecuador;
Varanus komodoensis;32629.0;36;324000;1;Animalia;Reptilia;Sauria;Varanidae;Varanus;komodoensis;I;Indonesia;
Panthera leo;28213.0;84;2490000;1;Animalia;Mammalia;Carnivora;Felidae;Panthera;leo;I/II;Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Eswatini,Ethiopia,Guinea,India,Kenya,Malawi,Mali,Mozambique,Namibia,Niger,Nigeria,Senegal,Somalia,South Africa,South Sudan,Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe;Afghanistan,Algeria,Burundi,Congo,Djibouti,Egypt,Eritrea,Gabon,Gambia,Greece,Iran (Islamic Republic of),Iraq,Israel,Jordan,Kuwait,Lebanon,Lesotho,Libya,Mauritania,Morocco,Pakistan,Rwanda,Saudi Arabia,Sierra Leone,Syrian Arab Republic,Tunisia,Turkey,Western Sahara
Elephas maximus;25601.0;43;753000;1;Animalia;Mammalia;Proboscidea;Elephantidae;Elephas;maximus;I;Bangladesh,Bhutan,Cambodia,China,India,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Nepal,Sri Lanka,Thailand,Viet Nam;
Gorilla gorilla;23557.0;56;1250000;1;Animalia;Mammalia;Primates;Hominidae;Gorilla;gorilla;I;Angola,Cameroon,Central African Republic,Congo,Equatorial Guinea,Gabon,Nigeria;
Diceros bicornis;23328.0;27;219000;1;Animalia;Mammalia;Perissodactyla;Rhinocerotidae;Diceros;bicornis;I;Angola,Botswana,Cameroon,Central African Republic,Chad,Eritrea,Ethiopia,Kenya,Malawi,Mozambique,Namibia,Somalia,South Africa,South Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe;Burundi,Côte d'Ivoire,Democratic Republic of the Congo,Niger,Nigeria
Canis lupus;21116.0;93;6110000;1;Animalia;Mammalia;Carnivora;Canidae;Canis;lupus;I/II;Afghanistan,Albania,Armenia,Azerbaijan,Belarus,Bhutan,Bosnia and Herzegovina,Bulgaria,Canada,China,Croatia,Czech Republic,Democratic People's Republic of Korea,Estonia,Finland,France,Georgia,Germany,Greece,Greenland,Hungary,India,Iran (Islamic Republic of),Iraq,Israel,Italy,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Latvia,Libya,Lithuania,Mongolia,Montenegro,Nepal,North Macedonia,Norway,Oman,Pakistan,Poland,Portugal,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saudi Arabia,Serbia,Slovakia,Slovenia,Spain,Sweden,Syrian Arab Republic,Tajikistan,Turkey,Turkmenistan,Ukraine,United States of America,Uzbekistan,Yemen;Austria,Bangladesh,Belgium,Denmark,Ireland,Japan,Luxembourg,Mexico,Netherlands,Switzerland,United Kingdom of Great Britain and Northern Ireland
Gorilla beringei;18142.0;79;233000;1;Animalia;Mammalia;Primates;Hominidae;Gorilla;beringei;I;Democratic Republic of the Congo,Rwanda,Uganda;
Rhinoplax vigil;17909.0;48;33500;0;Animalia;Aves;Coraciiformes;Bucerotidae;Rhinoplax;vigil;I;Brunei Darussalam,Indonesia,Malaysia,Myanmar,Thailand;Singapore
Pudu puda;17298.0;17;31700;0;Animalia;Mammalia;Artiodactyla;Cervidae;Pudu;puda;I;Argentina,Chile;
Manis crassicaudata;17161.0;51;30800;0;Animalia;Mammalia;Pholidota;Manidae;Manis;crassicaudata;I;Bangladesh,China,India,Nepal,Pakistan,Sri Lanka;
Piliocolobus kirkii;17083.0;10;13900;0;Animalia;Mammalia;Primates;Cercopithecidae;Piliocolobus;kirkii;I;United Republic of Tanzania;
Perameles bougainville;17079.0;91;14600;0;Animalia;Mammalia;Peramelemorphia;Peramelidae;Perameles;bougainville;I;Australia;
Acinonyx jubatus;15123.0;36;692000;1;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;I;Algeria,Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Djibouti,Eritrea,Eswatini,Ethiopia,Iran (Islamic Republic of),Kenya,Malawi,Mali,Mauritania,Mozambique,Namibia,Niger,Nigeria,Somalia,South Africa,South Sudan,Sudan,Togo,Uganda,United Republic of Tanzania,Western Sahara,Zambia,Zimbabwe;Afghanistan,Burundi,India,Iraq,Israel,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Lebanon,Libya,Morocco,Pakistan,Saudi Arabia,Senegal,Syrian Arab Republic,Tajikistan,Tunisia,Turkmenistan,Uzbekistan,Yemen
Nilssonia nigricans;15106.0;20;8600;0;Animalia;Reptilia;Testudines;Trionychidae;Nilssonia;nigricans;I;Bangladesh,India;
Cacatua haematuropygia;14151.0;29;25400;0;Animalia;Aves;Psittaciformes;Cacatuidae;Cacatua;haematuropygia;I;Philippines;
Neophocaena asiaeorientalis;12924.0;29;34200;0;Animalia;Mammalia;Cetacea;Phocoenidae;Neophocaena;asiaeorientalis;I;China,Democratic People's Republic of Korea,Japan,Republic of Korea,Taiwan, Province of China;
