scientific_name;sharecount;article_cnt;gl_hits;Charisma;Kingdom;Class;Order;Family;Genus;Species;Listing;NativeDistributionFullNames;Extinct_Distribution;common_name
Physeter macrocephalus;264130.0;18;323000;1;Animalia;Mammalia;Cetacea;Physeteridae;Physeter;macrocephalus;I;American Samoa,Angola,Anguilla (United Kingdom),Antarctica,Argentina,Australia,Bahamas,Belgium,Belize,Bermuda (United Kingdom),Brazil,Cabo Verde,Canada,Cayman Islands (United Kingdom),Chile,China,Colombia,Comoros,Congo,Costa Rica,Côte d'Ivoire,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Equatorial Guinea,Eritrea,Falkland Islands (Malvinas),Fiji,French Polynesia,French Southern and Antarctic Territories,Gabon,Germany,Ghana,Gibraltar (United Kingdom),Greece,Greenland,Grenada,Honduras,Iceland,India,Indonesia,Ireland,Italy,Japan,Kenya,Liberia,Malaysia,Maldives,Malta,Mauritania,Mauritius,Mexico,Morocco,Mozambique,Myanmar,Namibia,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Norway,Oman,Panama,Peru,Philippines,Portugal,Puerto Rico,Republic of Korea,Russian Federation,Saint Helena and Dependencies (United Kingdom),Sao Tome and Principe,Seychelles,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Suriname,Thailand,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Yemen;;Cachalot
Physeter macrocephalus;264130.0;18;323000;1;Animalia;Mammalia;Cetacea;Physeteridae;Physeter;macrocephalus;I;American Samoa,Angola,Anguilla (United Kingdom),Antarctica,Argentina,Australia,Bahamas,Belgium,Belize,Bermuda (United Kingdom),Brazil,Cabo Verde,Canada,Cayman Islands (United Kingdom),Chile,China,Colombia,Comoros,Congo,Costa Rica,Côte d'Ivoire,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Equatorial Guinea,Eritrea,Falkland Islands (Malvinas),Fiji,French Polynesia,French Southern and Antarctic Territories,Gabon,Germany,Ghana,Gibraltar (United Kingdom),Greece,Greenland,Grenada,Honduras,Iceland,India,Indonesia,Ireland,Italy,Japan,Kenya,Liberia,Malaysia,Maldives,Malta,Mauritania,Mauritius,Mexico,Morocco,Mozambique,Myanmar,Namibia,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Norway,Oman,Panama,Peru,Philippines,Portugal,Puerto Rico,Republic of Korea,Russian Federation,Saint Helena and Dependencies (United Kingdom),Sao Tome and Principe,Seychelles,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Suriname,Thailand,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Yemen;; Cachelot
Physeter macrocephalus;264130.0;18;323000;1;Animalia;Mammalia;Cetacea;Physeteridae;Physeter;macrocephalus;I;American Samoa,Angola,Anguilla (United Kingdom),Antarctica,Argentina,Australia,Bahamas,Belgium,Belize,Bermuda (United Kingdom),Brazil,Cabo Verde,Canada,Cayman Islands (United Kingdom),Chile,China,Colombia,Comoros,Congo,Costa Rica,Côte d'Ivoire,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Equatorial Guinea,Eritrea,Falkland Islands (Malvinas),Fiji,French Polynesia,French Southern and Antarctic Territories,Gabon,Germany,Ghana,Gibraltar (United Kingdom),Greece,Greenland,Grenada,Honduras,Iceland,India,Indonesia,Ireland,Italy,Japan,Kenya,Liberia,Malaysia,Maldives,Malta,Mauritania,Mauritius,Mexico,Morocco,Mozambique,Myanmar,Namibia,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Norway,Oman,Panama,Peru,Philippines,Portugal,Puerto Rico,Republic of Korea,Russian Federation,Saint Helena and Dependencies (United Kingdom),Sao Tome and Principe,Seychelles,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Suriname,Thailand,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Yemen;; Sperm Whale
Physeter macrocephalus;264130.0;18;323000;1;Animalia;Mammalia;Cetacea;Physeteridae;Physeter;macrocephalus;I;American Samoa,Angola,Anguilla (United Kingdom),Antarctica,Argentina,Australia,Bahamas,Belgium,Belize,Bermuda (United Kingdom),Brazil,Cabo Verde,Canada,Cayman Islands (United Kingdom),Chile,China,Colombia,Comoros,Congo,Costa Rica,Côte d'Ivoire,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Equatorial Guinea,Eritrea,Falkland Islands (Malvinas),Fiji,French Polynesia,French Southern and Antarctic Territories,Gabon,Germany,Ghana,Gibraltar (United Kingdom),Greece,Greenland,Grenada,Honduras,Iceland,India,Indonesia,Ireland,Italy,Japan,Kenya,Liberia,Malaysia,Maldives,Malta,Mauritania,Mauritius,Mexico,Morocco,Mozambique,Myanmar,Namibia,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Norway,Oman,Panama,Peru,Philippines,Portugal,Puerto Rico,Republic of Korea,Russian Federation,Saint Helena and Dependencies (United Kingdom),Sao Tome and Principe,Seychelles,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Suriname,Thailand,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Yemen;; Pot Whale
Pongo pygmaeus;130683.0;55;482000;1;Animalia;Mammalia;Primates;Hominidae;Pongo;pygmaeus;I;Indonesia,Malaysia;Brunei Darussalam;Bornean Orangutan
Pongo pygmaeus;130683.0;55;482000;1;Animalia;Mammalia;Primates;Hominidae;Pongo;pygmaeus;I;Indonesia,Malaysia;Brunei Darussalam; Orang-utan
Leopardus pardalis;99307.0;26;255000;1;Animalia;Mammalia;Carnivora;Felidae;Leopardus;pardalis;I;Argentina,Belize,Bolivia (Plurinational State of),Brazil,Colombia,Costa Rica,Ecuador,El Salvador,French Guiana [FR],Guatemala,Guyana,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,Suriname,Trinidad and Tobago,United States of America,Uruguay,Venezuela (Bolivarian Republic of);;Ocelot
Manis tricuspis;63785.0;39;18500;0;Animalia;Mammalia;Pholidota;Manidae;Manis;tricuspis;I;Angola,Benin,Cameroon,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Ghana,Guinea,Kenya,Liberia,Nigeria,Rwanda,Sierra Leone,South Sudan,Togo,Uganda,Zambia;;Three-cusped Pangolin
Manis tricuspis;63785.0;39;18500;0;Animalia;Mammalia;Pholidota;Manidae;Manis;tricuspis;I;Angola,Benin,Cameroon,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Ghana,Guinea,Kenya,Liberia,Nigeria,Rwanda,Sierra Leone,South Sudan,Togo,Uganda,Zambia;; Tree Pangolin
Manis tricuspis;63785.0;39;18500;0;Animalia;Mammalia;Pholidota;Manidae;Manis;tricuspis;I;Angola,Benin,Cameroon,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Ghana,Guinea,Kenya,Liberia,Nigeria,Rwanda,Sierra Leone,South Sudan,Togo,Uganda,Zambia;; White-bellied Pangolin
