scientific_name;iso3;iso3
Abies guatemalensis;CAN;2
Abies guatemalensis;COL;1
Abies guatemalensis;DNK;1
Abies guatemalensis;MEX;1
Abies guatemalensis;SWE;1
Abies guatemalensis;USA;1
Abronia campbelli;CRI;1
Abronia campbelli;IND;1
Abronia campbelli;MEX;1
Abronia campbelli;USA;1
Acerodon jubatus;PHL;12
Acerodon jubatus;CZE;3
Acerodon jubatus;IDN;3
Acerodon jubatus;MMR;3
Acerodon jubatus;CHN;2
Acerodon jubatus;JPN;2
Acerodon jubatus;MDG;2
Acerodon jubatus;MYS;2
Acerodon jubatus;USA;2
Acerodon jubatus;AUS;1
Acerodon jubatus;CHE;1
Acerodon jubatus;CMR;1
Acerodon jubatus;COD;1
Acerodon jubatus;COG;1
Acerodon jubatus;DEU;1
Acerodon jubatus;GBR;1
Acerodon jubatus;IND;1
Acerodon jubatus;IRL;1
Acerodon jubatus;KOR;1
Acerodon jubatus;LKA;1
Acerodon jubatus;NPL;1
Acerodon jubatus;NZL;1
Acerodon jubatus;SAU;1
Acerodon jubatus;THA;1
Acerodon jubatus;TWN;1
Acerodon jubatus;VNM;1
Acerodon jubatus;ZAF;1
Acerodon jubatus;ZWE;1
Aceros nipalensis;IND;14
Aceros nipalensis;BTN;6
Aceros nipalensis;MMR;6
Aceros nipalensis;THA;5
Aceros nipalensis;CHN;2
Aceros nipalensis;LAO;2
Aceros nipalensis;VNM;2
Aceros nipalensis;BGD;1
Aceros nipalensis;GBR;1
Aceros nipalensis;IDN;1
Aceros nipalensis;IRN;1
Aceros nipalensis;KAZ;1
Aceros nipalensis;LKA;1
Aceros nipalensis;MYS;1
Aceros nipalensis;NPL;1
Aceros nipalensis;PAK;1
Aceros nipalensis;USA;1
Achillides chikae chikae;AUS;1
Achillides chikae chikae;BEL;1
Achillides chikae chikae;CMR;1
Achillides chikae chikae;JPN;1
Achillides chikae chikae;MYS;1
Achillides chikae chikae;PHL;1
Achillides chikae chikae;SVN;1
Achillides chikae chikae;TZA;1
Achillides chikae chikae;USA;1
Acinonyx jubatus;IND;5
Acinonyx jubatus;ZAF;5
Acinonyx jubatus;IRN;4
Acinonyx jubatus;USA;4
Acinonyx jubatus;CHN;2
Acinonyx jubatus;EGY;2
Acinonyx jubatus;GBR;2
Acinonyx jubatus;RUS;2
Acinonyx jubatus;AFG;1
Acinonyx jubatus;CHE;1
Acinonyx jubatus;DZA;1
Acinonyx jubatus;ETH;1
Acinonyx jubatus;FRA;1
Acinonyx jubatus;GAB;1
Acinonyx jubatus;GEO;1
Acinonyx jubatus;IRQ;1
Acinonyx jubatus;ISR;1
Acinonyx jubatus;JOR;1
Acinonyx jubatus;KAZ;1
Acinonyx jubatus;MDG;1
Acinonyx jubatus;NLD;1
Acinonyx jubatus;NPL;1
Acinonyx jubatus;OMN;1
Acinonyx jubatus;PAK;1
Acinonyx jubatus;PRK;1
Acinonyx jubatus;RWA;1
Acinonyx jubatus;THA;1
Acinonyx jubatus;TUR;1
Acipenser brevirostrum;USA;9
Acipenser brevirostrum;CAN;5
Acipenser brevirostrum;CHN;2
Acipenser brevirostrum;GEO;2
Acipenser brevirostrum;BRA;1
Acipenser brevirostrum;PRI;1
Acipenser brevirostrum;RUS;1
Acipenser sturio;USA;12
Acipenser sturio;CAN;8
Acipenser sturio;FRA;6
Acipenser sturio;RUS;6
Acipenser sturio;GBR;5
Acipenser sturio;CHN;4
Acipenser sturio;DEU;4
Acipenser sturio;GEO;4
Acipenser sturio;IRN;4
Acipenser sturio;ROU;4
Acipenser sturio;BGR;3
Acipenser sturio;ESP;3
Acipenser sturio;JPN;2
Acipenser sturio;NLD;2
Acipenser sturio;POL;2
Acipenser sturio;SRB;2
Acipenser sturio;AZE;1
Acipenser sturio;COG;1
Acipenser sturio;CZE;1
Acipenser sturio;EST;1
