scientific_name;mentions;article_cnt;Kingdom;Class;Order;Family;Genus;Species;country;iso3
Acinonyx jubatus;2;9;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Jersey;JEY
Acinonyx jubatus;1;9;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;France;FRA
Acinonyx jubatus;1;9;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Madagascar;MDG
Acinonyx jubatus;1;9;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Namibia;NAM
Acinonyx jubatus;1;9;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Netherlands;NLD
Acinonyx jubatus;1;9;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;United States;USA
Addax nasomaculatus;2;7;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Tunisia;TUN
Addax nasomaculatus;1;7;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Algeria;DZA
Addax nasomaculatus;1;7;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Chad;TCD
Addax nasomaculatus;1;7;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Egypt;EGY
Addax nasomaculatus;1;7;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Libya;LBY
Addax nasomaculatus;1;7;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Mauritania;MRT
Addax nasomaculatus;1;7;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Morocco;MAR
Addax nasomaculatus;1;7;Animalia;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;Sudan;SDN
Ailuropoda melanoleuca;4;5;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;China;CHN
Ailuropoda melanoleuca;3;5;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;United States;USA
Ailurus fulgens;14;22;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;China;CHN
Ailurus fulgens;10;22;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;Nepal;NPL
Ailurus fulgens;8;22;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;Myanmar;MMR
Ailurus fulgens;5;22;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;Bhutan;BTN
Ailurus fulgens;5;22;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;India;IND
Ailurus fulgens;2;22;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;Lao People's Democratic Republic;LAO
Ailurus fulgens;2;22;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;United States;USA
Ailurus fulgens;1;22;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;France;FRA
Ailurus fulgens;1;22;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;Germany;DEU
Ailurus fulgens;1;22;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;Ireland;IRL
Ailurus fulgens;1;22;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;Russian Federation;RUS
Ailurus fulgens;1;22;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;Saint Martin (French part);MAF
Alligator sinensis;2;3;Animalia;Reptilia;Crocodylia;Alligatoridae;Alligator;sinensis;Singapore;SGP
Alligator sinensis;1;3;Animalia;Reptilia;Crocodylia;Alligatoridae;Alligator;sinensis;China;CHN
Alouatta pigra;2;1;;;;;;;Mexico;MEX
Alouatta pigra;1;1;;;;;;;Guatemala;GTM
Alouatta pigra;1;1;;;;;;;Nicaragua;NIC
Amazona auropalliata;1;3;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;auropalliata;Australia;AUS
Amazona auropalliata;1;3;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;auropalliata;Indonesia;IDN
Amazona auropalliata;1;3;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;auropalliata;Madagascar;MDG
Amazona auropalliata;1;3;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;auropalliata;Malaysia;MYS
Amazona auropalliata;1;3;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;auropalliata;Thailand;THA
Amazona guildingii;1;2;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;guildingii;Barbados;BRB
Amazona guildingii;1;2;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;guildingii;Venezuela, Bolivarian Republic of;VEN
Amazona imperialis;2;1;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;imperialis;Germany;DEU
Amazona imperialis;2;1;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;imperialis;Netherlands;NLD
Amazona imperialis;2;1;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;imperialis;Saint Lucia;LCA
Amazona imperialis;1;1;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;imperialis;Australia;AUS
Amazona imperialis;1;1;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;imperialis;Brazil;BRA
Amazona imperialis;1;1;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;imperialis;Cyprus;CYP
Amazona imperialis;1;1;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;imperialis;Denmark;DNK
Amazona imperialis;1;1;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;imperialis;Dominica;DMA
Amazona imperialis;1;1;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;imperialis;Israel;ISR
Amazona imperialis;1;1;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;imperialis;Qatar;QAT
Amazona imperialis;1;1;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;imperialis;South Africa;ZAF
Amazona imperialis;1;1;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;imperialis;Spain;ESP
Amazona imperialis;1;1;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;imperialis;Switzerland;CHE
Amazona imperialis;1;1;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;imperialis;United Kingdom;GBR
Amazona imperialis;1;1;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;imperialis;United States;USA
Amazona vittata;1;3;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;vittata;Egypt;EGY
Amazona vittata;1;3;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;vittata;Japan;JPN
Amazona vittata;1;3;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;vittata;New Zealand;NZL
Amazona vittata;1;3;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;vittata;Romania;ROU
Amazona vittata;1;3;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;vittata;Switzerland;CHE
Amazona vittata;1;3;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;vittata;United States;USA
Anas aucklandica;1;1;Animalia;Aves;Anseriformes;Anatidae;Anas;aucklandica;New Zealand;NZL
Andrias davidianus;2;4;Animalia;Amphibia;Caudata;Cryptobranchidae;Andrias;davidianus;China;CHN
Andrias davidianus;2;4;Animalia;Amphibia;Caudata;Cryptobranchidae;Andrias;davidianus;United Kingdom;GBR
