scientific_name;Countries;Countries
Abies guatemalensis;guatemala;2
Abies guatemalensis;canada;1
Abies guatemalensis;mexico;1
Abronia campbelli;guatemala;1
Abronia campbelli;india;1
Abronia campbelli;mexico;1
Acerodon jubatus;myanmar;8
Acerodon jubatus;thailand;5
Acerodon jubatus;philippines;4
Acerodon jubatus;australia;3
Acerodon jubatus;india;3
Acerodon jubatus;senegal;3
Acerodon jubatus;china;2
Acerodon jubatus;indonesia;2
Acerodon jubatus;malaysia;2
Acerodon jubatus;cameroon;1
Acerodon jubatus;japan;1
Acerodon jubatus;nepal;1
Acerodon jubatus;new zealand;1
Acerodon jubatus;niger;1
Acerodon jubatus;palau;1
Acerodon jubatus;saudi arabia;1
Acerodon jubatus;south africa;1
Acerodon jubatus;south korea;1
Acerodon jubatus;switzerland;1
Acerodon jubatus;taiwan;1
Aceros nipalensis;india;26
Aceros nipalensis;china;9
Aceros nipalensis;myanmar;8
Aceros nipalensis;thailand;1
Aceros nipalensis;vietnam;1
Acinonyx jubatus;india;24
Acinonyx jubatus;iran;15
Acinonyx jubatus;russia;7
Acinonyx jubatus;south africa;5
Acinonyx jubatus;algeria;2
Acinonyx jubatus;ethiopia;2
Acinonyx jubatus;georgia;2
Acinonyx jubatus;uganda;2
Acinonyx jubatus;afghanistan;1
Acinonyx jubatus;china;1
Acinonyx jubatus;egypt;1
Acinonyx jubatus;france;1
Acinonyx jubatus;iraq;1
Acinonyx jubatus;israel;1
Acinonyx jubatus;japan;1
Acinonyx jubatus;kazakhstan;1
Acinonyx jubatus;kuwait;1
Acinonyx jubatus;rwanda;1
Acinonyx jubatus;switzerland;1
Acinonyx jubatus;syria;1
Acinonyx jubatus;thailand;1
Acinonyx jubatus;turkey;1
Acinonyx jubatus;uzbekistan;1
Acipenser brevirostrum;russia;6
Acipenser brevirostrum;canada;3
Acipenser brevirostrum;georgia;2
Acipenser brevirostrum;brazil;1
Acipenser brevirostrum;china;1
Acipenser sturio;serbia;11
Acipenser sturio;romania;10
Acipenser sturio;france;9
Acipenser sturio;georgia;7
