No, Species, Proponents;Proponents;scientifc_name;Proposal;Result;Adopted
"4 - Panthera leo
";Chad, Côte d'Ivoire, Gabon, Guinea, Mali, Mauritania, Niger, Nigeria and Togo;Panthera leo;Transfer all African populations of Panthera leo from Appendix II to Appendix I;"The amendment to proposal CoP17 Prop. 4 and
the draft decisions contained in document CoP17
Com. I. 29 were accepted by consensus.
[Rec.12]";
"9 - Manis crassicaudata
";"India, Nepal, Sri Lanka and
United States of America";Manis crassicaudata;Transfer Manis crassicaudata from CITES Appendix II to CITES Appendix I;"Accepted by consensus.
[Rec. 6]";02/01/2017
"10 - Manis culionensis
";"Philippines and United States
of America";Manis culionensis;Transfer Manis culionensis from Appendix II to Appendix I;"Accepted by consensus.
[Rec. 6]";02/01/2017
"11 - Manis javanica and
M. pentadactyla
";"United States of America and
Viet Nam";Manis javanica;Transfer Manis javanica and M. pentadactyla from CITES Appendix II to Appendix I;"Accepted [with 114 Parties voting in favour,
one against and five abstaining.
[Rec. 6]";02/01/2017
"11 - Manis javanica and
M. pentadactyla
";"United States of America and
Viet Nam";Manis pentadactyla;Transfer Manis javanica and M. pentadactyla from CITES Appendix II to Appendix I;"Accepted [with 114 Parties voting in favour,
one against and five abstaining.
[Rec. 6]";02/01/2017
"12 - Manis gigantea,
M. temminckii,
M. tetradactyla, M. tricuspis";"Angola, Botswana, Chad,
Côte d'Ivoire, Gabon, Guinea,
Kenya, Liberia, Nigeria,
Senegal, South Africa, Togo
and United States of America";Manis gigantea;"Transfer Manis tetradactyla, M tricuspis, M. gigantea and M. temminckii from CITES
Appendix II to Appendix I";"Accepted by consensus.
[Rec. 7]";02/01/2017
"12 - Manis gigantea,
M. temminckii,
M. tetradactyla, M. tricuspis";"Angola, Botswana, Chad,
Côte d'Ivoire, Gabon, Guinea,
Kenya, Liberia, Nigeria,
Senegal, South Africa, Togo
and United States of America";Manis temminckii;"Transfer Manis tetradactyla, M tricuspis, M. gigantea and M. temminckii from CITES
Appendix II to Appendix I";"Accepted by consensus.
[Rec. 7]";02/01/2017
"12 - Manis gigantea,
M. temminckii,
M. tetradactyla, M. tricuspis";"Angola, Botswana, Chad,
Côte d'Ivoire, Gabon, Guinea,
Kenya, Liberia, Nigeria,
Senegal, South Africa, Togo
and United States of America";Manis tetradactyla;"Transfer Manis tetradactyla, M tricuspis, M. gigantea and M. temminckii from CITES
Appendix II to Appendix I";"Accepted by consensus.
[Rec. 7]";02/01/2017
"12 - Manis gigantea,
M. temminckii,
M. tetradactyla, M. tricuspis";"Angola, Botswana, Chad,
Côte d'Ivoire, Gabon, Guinea,
Kenya, Liberia, Nigeria,
Senegal, South Africa, Togo
and United States of America";Manis tricuspis;"Transfer Manis tetradactyla, M tricuspis, M. gigantea and M. temminckii from CITES
Appendix II to Appendix I";"Accepted by consensus.
[Rec. 7]";02/01/2017
"13 - Macaca sylvanus
";"European Union and
Morocco";Macaca sylvanus;Transfer Macaca sylvanus from Appendix II to Appendix I;"Accepted by consensus.
[Rec. 7]";02/01/2017
