scientific_name;mentions;shares;country;iso3
Abies guatemalensis;1;1396.0;Guatemala;GTM
Acerodon jubatus;3;5304.0;Philippines;PHL
Acerodon jubatus;1;5304.0;Congo, The Democratic Republic of the;COD
Acerodon jubatus;1;5304.0;Indonesia;IDN
Acerodon jubatus;1;5304.0;Myanmar;MMR
Acerodon jubatus;1;5304.0;Thailand;THA
Acerodon jubatus;1;5304.0;United States;USA
Acerodon jubatus;1;5304.0;Zimbabwe;ZWE
Acinonyx jubatus;1;15032.0;Namibia;NAM
Acipenser sturio;3;7992.0;United Kingdom;GBR
Acipenser sturio;2;7992.0;Canada;CAN
Acipenser sturio;2;7992.0;United States;USA
Acipenser sturio;1;7992.0;Georgia;GEO
Acipenser sturio;1;7992.0;Netherlands;NLD
Acipenser sturio;1;7992.0;Russian Federation;RUS
Addax nasomaculatus;1;1610.0;Australia;AUS
Addax nasomaculatus;1;1610.0;Chad;TCD
Addax nasomaculatus;1;1610.0;Japan;JPN
Addax nasomaculatus;1;1610.0;Kenya;KEN
Addax nasomaculatus;1;1610.0;Libya;LBY
Addax nasomaculatus;1;1610.0;Niger;NER
Addax nasomaculatus;1;1610.0;Nigeria;NGA
Ailuropoda melanoleuca;5;4676.0;China;CHN
Ailuropoda melanoleuca;2;4676.0;United States;USA
Alligator sinensis;4;10474.0;China;CHN
Alligator sinensis;2;10474.0;United States;USA
Alligator sinensis;1;10474.0;Hong Kong;HKG
Alligator sinensis;1;10474.0;Viet Nam;VNM
Amazona auropalliata;1;1112.0;Cayman Islands;CYM
Amazona auropalliata;1;1112.0;Honduras;HND
Amazona auropalliata;1;1112.0;Jamaica;JAM
Amazona auropalliata;1;1112.0;Macao;MAC
Amazona auropalliata;1;1112.0;Nicaragua;NIC
Amazona finschi;1;455.0;Mexico;MEX
Amazona leucocephala;1;451.0;Cayman Islands;CYM
Amazona leucocephala;1;451.0;Puerto Rico;PRI
Amazona oratrix;1;931.0;United Kingdom;GBR
Amazona rhodocorytha;1;1114.0;Brazil;BRA
Amazona rhodocorytha;1;1114.0;Brunei Darussalam;BRN
Amazona rhodocorytha;1;1114.0;Iceland;ISL
Amazona rhodocorytha;1;1114.0;Indonesia;IDN
Amazona rhodocorytha;1;1114.0;Kenya;KEN
Amazona rhodocorytha;1;1114.0;Lebanon;LBN
Amazona rhodocorytha;1;1114.0;Malaysia;MYS
Amazona rhodocorytha;1;1114.0;Mongolia;MNG
Amazona rhodocorytha;1;1114.0;Papua New Guinea;PNG
Amazona rhodocorytha;1;1114.0;Peru;PER
Amazona rhodocorytha;1;1114.0;Tanzania, United Republic of;TZA
Amazona vinacea;1;788.0;Austria;AUT
Amazona vinacea;1;788.0;Brazil;BRA
Amazona vinacea;1;788.0;Germany;DEU
Amazona vinacea;1;788.0;Paraguay;PRY
Amazona vinacea;1;788.0;Qatar;QAT
Amazona vinacea;1;788.0;Spain;ESP
Amazona vinacea;1;788.0;United States;USA
Amazona vittata;4;3623.0;United States;USA
Amazona vittata;1;3623.0;Australia;AUS
Amazona vittata;1;3623.0;Bolivia, Plurinational State of;BOL
Amazona vittata;1;3623.0;Costa Rica;CRI
Amazona vittata;1;3623.0;Egypt;EGY
Amazona vittata;1;3623.0;Guinea;GIN
Amazona vittata;1;3623.0;Indonesia;IDN
Amazona vittata;1;3623.0;Japan;JPN
Amazona vittata;1;3623.0;Mexico;MEX
Amazona vittata;1;3623.0;Papua New Guinea;PNG
Amazona vittata;1;3623.0;Peru;PER
Amazona vittata;1;3623.0;Puerto Rico;PRI
Amazona vittata;1;3623.0;Romania;ROU
Amazona vittata;1;3623.0;Saudi Arabia;SAU
Amazona vittata;1;3623.0;South Africa;ZAF
Amazona vittata;1;3623.0;Switzerland;CHE
Amazona vittata;1;3623.0;United Arab Emirates;ARE
Anas laysanensis;1;1249.0;Japan;JPN
Anas laysanensis;1;1249.0;United Kingdom;GBR
Anas laysanensis;1;1249.0;United States;USA
Andrias davidianus;1;3329.0;China;CHN
Anodorhynchus glaucus;1;988.0;Argentina;ARG
Anodorhynchus glaucus;1;988.0;Bolivia, Plurinational State of;BOL
Anodorhynchus glaucus;1;988.0;Brazil;BRA
Anodorhynchus glaucus;1;988.0;China;CHN
Anodorhynchus glaucus;1;988.0;Colombia;COL
Anodorhynchus glaucus;1;988.0;India;IND
Anodorhynchus glaucus;1;988.0;Peru;PER
Anodorhynchus glaucus;1;988.0;Russian Federation;RUS
Anodorhynchus glaucus;1;988.0;South Africa;ZAF
Anodorhynchus glaucus;1;988.0;United States;USA
Anodorhynchus glaucus;1;988.0;Uruguay;URY
Anodorhynchus hyacinthinus;2;1409.0;Brazil;BRA
Anodorhynchus hyacinthinus;1;1409.0;Argentina;ARG
Anodorhynchus hyacinthinus;1;1409.0;Bolivia, Plurinational State of;BOL
Anodorhynchus hyacinthinus;1;1409.0;Costa Rica;CRI
Anodorhynchus hyacinthinus;1;1409.0;Ecuador;ECU
Anodorhynchus hyacinthinus;1;1409.0;Mexico;MEX
Anodorhynchus hyacinthinus;1;1409.0;Paraguay;PRY
Anodorhynchus hyacinthinus;1;1409.0;Peru;PER
Anodorhynchus hyacinthinus;1;1409.0;United States;USA
Anodorhynchus hyacinthinus;1;1409.0;Uruguay;URY
Anodorhynchus leari;2;3467.0;Brazil;BRA
Anodorhynchus leari;1;3467.0;Bolivia, Plurinational State of;BOL
Anodorhynchus leari;1;3467.0;Canada;CAN
Anodorhynchus leari;1;3467.0;India;IND
Anoxypristis cuspidata;2;3061.0;Costa Rica;CRI
Anoxypristis cuspidata;1;3061.0;China;CHN
Anoxypristis cuspidata;1;3061.0;Cocos (Keeling) Islands;CCK
Anoxypristis cuspidata;1;3061.0;El Salvador;SLV
Anoxypristis cuspidata;1;3061.0;Guatemala;GTM
Anoxypristis cuspidata;1;3061.0;Nicaragua;NIC
Aonyx cinerea;1;3080.0;Australia;AUS
Aonyx cinerea;1;3080.0;New Zealand;NZL
Aquila adalberti;2;1583.0;Dominican Republic;DOM
Aquila adalberti;1;1583.0;Brazil;BRA
Aquila adalberti;1;1583.0;Canada;CAN
Aquila adalberti;1;1583.0;Haiti;HTI
Aquila adalberti;1;1583.0;Mexico;MEX
Aquila adalberti;1;1583.0;Spain;ESP
Aquila adalberti;1;1583.0;United Kingdom;GBR
