scientific_name;iso3;mentions_country;article_cnt
Abies guatemalensis;CAN;2;4
Abies guatemalensis;COL;1;4
Abies guatemalensis;DNK;1;4
Abies guatemalensis;MEX;1;4
Abies guatemalensis;SWE;1;4
Abies guatemalensis;USA;1;4
Abronia campbelli;CRI;1;2
Abronia campbelli;IND;1;2
Abronia campbelli;MEX;1;2
Abronia campbelli;USA;1;2
Acerodon jubatus;PHL;12;20
Acerodon jubatus;CZE;3;20
Acerodon jubatus;IDN;3;20
Acerodon jubatus;MMR;3;20
Acerodon jubatus;CHN;2;20
Acerodon jubatus;JPN;2;20
Acerodon jubatus;MDG;2;20
Acerodon jubatus;MYS;2;20
Acerodon jubatus;USA;2;20
Acerodon jubatus;AUS;1;20
Acerodon jubatus;CHE;1;20
Acerodon jubatus;CMR;1;20
Acerodon jubatus;COD;1;20
Acerodon jubatus;COG;1;20
Acerodon jubatus;DEU;1;20
Acerodon jubatus;GBR;1;20
Acerodon jubatus;IND;1;20
Acerodon jubatus;IRL;1;20
Acerodon jubatus;KOR;1;20
Acerodon jubatus;LKA;1;20
Acerodon jubatus;NPL;1;20
Acerodon jubatus;NZL;1;20
Acerodon jubatus;SAU;1;20
Acerodon jubatus;THA;1;20
Acerodon jubatus;TWN;1;20
Acerodon jubatus;VNM;1;20
Acerodon jubatus;ZAF;1;20
Acerodon jubatus;ZWE;1;20
Aceros nipalensis;IND;14;22
Aceros nipalensis;BTN;6;22
Aceros nipalensis;MMR;6;22
Aceros nipalensis;THA;5;22
Aceros nipalensis;CHN;2;22
Aceros nipalensis;LAO;2;22
Aceros nipalensis;VNM;2;22
Aceros nipalensis;BGD;1;22
Aceros nipalensis;GBR;1;22
Aceros nipalensis;IDN;1;22
Aceros nipalensis;IRN;1;22
Aceros nipalensis;KAZ;1;22
Aceros nipalensis;LKA;1;22
Aceros nipalensis;MYS;1;22
Aceros nipalensis;NPL;1;22
Aceros nipalensis;PAK;1;22
Aceros nipalensis;USA;1;22
Achillides chikae chikae;AUS;1;1
Achillides chikae chikae;BEL;1;1
Achillides chikae chikae;CMR;1;1
