,geometry,address,lat,lon,freq,name
0,POINT (78.6677428 22.3511148),India,22.3511148,78.6677428,124,India
1,POINT (24.991639 -28.8166236),South Africa,-28.8166236,24.991639,47,South Africa
2,POINT (90.2934413 24.4769288),বাংলাদেশ,24.4769288,90.2934413,74,Bangladesh
3,POINT (84.0917139 28.1083929),नेपाल,28.1083929,84.0917139,61,Nepal
4,POINT (71.247499 30.3308401),پاکستان,30.3308401,71.247499,64,Pakistan
5,POINT (104.999927 35.000074),中国,35.000074,104.999927,108,China
6,POINT (65.20931969999999 47.2286086),Қазақстан,47.2286086,65.2093197,27,Kazakhstan
7,POINT (103.8499736 46.8250388),Монгол улс ᠮᠤᠩᠭᠤᠯ ᠤᠯᠤᠰ,46.8250388,103.8499736,20,Mongolia
8,POINT (97.74530609999999 64.68631360000001),Россия,64.6863136,97.7453061,46,Russian Federation
9,POINT (95.99996520000001 17.1750495),မြန်မာ,17.1750495,95.9999652,88,Myanmar
10,POINT (122.7312101 12.7503486),Pilipinas / Philippines,12.7503486,122.7312101,37,Philippines
11,POINT (108.4265113 13.2904027),Việt Nam,13.2904027,108.4265113,79,Viet Nam
12,POINT (117.8902853 -2.4833826),Indonesia,-2.4833826,117.8902853,80,Indonesia
13,POINT (159.1070693851845 -8.705394099999999),Solomon Islands,-8.7053941,159.1070693851845,14,Solomon Islands
14,POINT (120.9820179 23.9739374),臺灣,23.9739374,120.9820179,36,Taiwan
15,POINT (-102.0077097 23.6585116),México,23.6585116,-102.0077097,70,Mexico
16,POINT (-100.445882 39.7837304),United States,39.7837304,-100.445882,70,United States of America
17,POINT (-64.9672817 -34.9964963),Argentina,-34.9964963,-64.9672817,57,Argentina
18,POINT (-71.3187697 -31.7613365),Chile,-31.7613365,-71.3187697,33,Chile
19,POINT (54.5643516 32.6475314),ایران,32.6475314,54.5643516,36,Iran  
20,POINT (90.5119273 27.549511),འབྲུགཡུལ་,27.549511,90.5119273,41,Bhutan
21,POINT (114.5653908 4.4137155),Brunei,4.4137155,114.5653908,27,Brunei Darussalam
22,POINT (104.869423 13.5066394),ព្រះរាជាណាចក្រ​កម្ពុជា,13.5066394,104.869423,57,Cambodia
23,POINT (103.378253 20.0171109),ປະເທດລາວ,20.0171109,103.378253,47,Lao People's Democratic Republic
24,POINT (102.2656823 4.5693754),Malaysia,4.5693754,102.2656823,63,Malaysia
25,POINT (100.83273 14.8971921),ประเทศไทย,14.8971921,100.83273,74,Thailand
26,POINT (17.5691241 -11.8775768),Angola,-11.8775768,17.5691241,38,Angola
27,POINT (2.2584408 9.5293472),Bénin,9.5293472,2.2584408,23,Benin
28,POINT (24.5928742 -23.1681782),Botswana,-23.1681782,24.5928742,13,Botswana
29,POINT (-1.6880314 12.0753083),Burkina Faso,12.0753083,-1.6880314,17,Burkina Faso
30,POINT (29.9324519 -3.426449),Burundi,-3.426449,29.9324519,12,Burundi
31,POINT (13.1535811 4.6125522),Cameroun,4.6125522,13.1535811,33,Cameroon
32,POINT (19.9981227 7.0323598),Ködörösêse tî Bêafrîka - République Centrafricaine,7.0323598,19.9981227,20,Central African Republic
33,POINT (19.0156172 15.6134137),Tchad تشاد,15.6134137,19.0156172,21,Chad
34,POINT (23.8222636 -2.9814344),République démocratique du Congo,-2.9814344,23.8222636,54,Democratic Republic of the Congo
35,POINT (-5.5679458 7.9897371),Côte D'Ivoire,7.9897371,-5.5679458,33,Côte d'Ivoire
36,POINT (42.8453061 11.8145966),Djibouti جيبوتي,11.8145966,42.8453061,21,Djibouti
37,POINT (10.5170357 1.613172),Guinea Ecuatorial,1.613172,10.5170357,25,Equatorial Guinea
38,POINT (37.9999668 15.9500319),ኤርትራ Eritrea إرتريا,15.9500319,37.9999668,22,Eritrea
39,POINT (31.3991317 -26.5624806),eSwatini,-26.5624806,31.3991317,13,Eswatini
40,POINT (38.6521203 10.2116702),ኢትዮጵያ,10.2116702,38.6521203,18,Ethiopia
41,POINT (11.6899699 -0.8999695),Gabon,-0.8999695,11.6899699,32,Gabon
42,POINT (-15.4900464 13.470062),Gambia,13.470062,-15.4900464,22,Gambia
43,POINT (-1.0800271 8.030028400000001),Ghana,8.0300284,-1.0800271,26,Ghana
44,POINT (-10.7083587 10.7226226),Guinée,10.7226226,-10.7083587,26,Guinea
45,POINT (-14.9000214 12.100035),Guiné-Bissau,12.100035,-14.9000214,23,Guinea Bissau
46,POINT (38.4313975 1.4419683),Kenya,1.4419683,38.4313975,41,Kenya
47,POINT (-9.3658524 5.7499721),Liberia,5.7499721,-9.3658524,26,Liberia
48,POINT (33.9301963 -13.2687204),Malawi,-13.2687204,33.9301963,9,Malawi
49,POINT (-2.2900239 16.3700359),Mali,16.3700359,-2.2900239,23,Mali
50,POINT (-9.2399263 20.2540382),موريتانيا,20.2540382,-9.2399263,35,Mauritania
51,POINT (34.9144977 -19.302233),Moçambique,-19.302233,34.9144977,34,Mozambique
52,POINT (17.3231107 -23.2335499),Namibia,-23.2335499,17.3231107,30,Namibia
53,POINT (9.323843200000001 17.7356214),Niger,17.7356214,9.3238432,18,Niger
54,POINT (7.9999721 9.6000359),Nigeria,9.6000359,7.9999721,33,Nigeria
55,POINT (30.0644358 -1.9646631),Rwanda,-1.9646631,30.0644358,13,Rwanda
56,POINT (-14.4529612 14.4750607),Sénégal,14.4750607,-14.4529612,31,Senegal
57,POINT (-11.8400269 8.6400349),Sierra Leone,8.6400349,-11.8400269,25,Sierra Leone
58,POINT (49.083416 8.3676771),Soomaaliya الصومال,8.3676771,49.083416,28,Somalia
59,POINT (29.6667897 7.8699431),South Sudan,7.8699431,29.6667897,16,South Sudan
60,POINT (29.4917691 14.5844444),السودان,14.5844444,29.4917691,27,Sudan
61,POINT (1.0199765 8.7800265),Togo,8.7800265,1.0199765,23,Togo
62,POINT (32.2166578 1.5333554),Uganda,1.5333554,32.2166578,20,Uganda
63,POINT (35.7878438 -6.5247123),Tanzania,-6.5247123,35.7878438,37,United Republic of Tanzania
64,POINT (27.5589884 -14.5189121),Zambia,-14.5189121,27.5589884,16,Zambia
65,POINT (29.7468414 -18.4554963),Zimbabwe,-18.4554963,29.7468414,14,Zimbabwe
66,POINT (-53.2 -10.3333333),Brasil,-10.3333333,-53.2,74,Brazil
67,POINT (-72.90881330000001 4.099917),Colombia,4.099917,-72.9088133,54,Colombia
68,POINT (-84.0739102 10.2735633),Costa Rica,10.2735633,-84.0739102,38,Costa Rica
69,POINT (-79.3666965 -1.3397668),Ecuador,-1.3397668,-79.3666965,44,Ecuador
70,POINT (-88.9140683 13.8000382),El Salvador,13.8000382,-88.9140683,26,El Salvador
71,POINT (-81.1308434 8.559559),Panamá,8.559559,-81.1308434,36,Panama
