common_name;scientific_name;distribution;iucn_status;date_saved;Kingdom;Class;Order;Family;Genus;Species;Listing;NativeDistributionFullNames;Extinct_Distribution;text;title;link;image;date;ner;sentiment
 Woylie;Bettongia penicillata;Australia;CR;2020-06-18;Animalia;Mammalia;Diprotodontia;Potoroidae;Bettongia;penicillata;I;Australia;;"A new Australian tick species discovered in Western Australia is the first to be formally recognised in more than 50 years.

The new tick was named Ixodes woyliei because it has a taste for a rare marsupial called a woylie.

Woylies, or brush-tailed bettongs, were once found across more than 60 per cent of mainland Australia but are now critically endangered in WA and endangered nationally.

Predation by foxes and feral cats and possibly disease have caused woylie populations to crash by 90 per cent in seven years, according to Murdoch University parasitology researcher Amanda Ash.

Dr Ash told ABC Radio Perth it was the first Australian Ixodes tick species to be described in a scientific journal in more than 50 years.

""We thought it might have been a different species but it can be a little bit tricky sometimes to actually confirm that,"" she said.

""Just recently, we've been able to get some DNA and work out the genetics of it and compare it to other species.""

""It is a brand-new tick for Australia.""

A tick with a taste for rare blood

A new species of Australian tick has been discovered in south west WA. ( Supplied: Aileen Elliot, Murdoch University )

Dr Ash, her colleagues and Department of Parks and Wildlife staff have studied woylies for the past decade to determine if parasite infection could be contributing to their dwindling numbers.

The researchers collected ticks from the two remaining woylie populations in southwest WA — Dryandra Woodland near Narrogin and the Upper Warren Region near Manjimup.

They also studied woylies at Karakamia Wildlife Sanctuary near Gidgegannup, 50 kilometres northeast of Perth.

The new tick was found on 42 per cent of the woylies sampled.

The researchers studied 268 other marsupials in the same areas and only found Ixodes woyliei on two animals.

Dr Ash said the newly-discovered tick's strong preference for woylies puts it at risk of extinction.

Tick tock for new tick's survival

Woylie populations in southwest WA have dived over the past decade. ( Supplied: Murdoch University )

Dr Ash said frequent woylie translocations, which involved treatment for parasites, meant there was a ""very real risk of a future co-extinction event.""

While that could be bad news for the tick, the good news for woylies is the new tick is not thought to be contributing to the marsupials' decline by transmitting parasite infections.

""Because this guy seems to be very specific to the woylie and this blood parasite is found in other creatures, we don't think [the tick] is bad to the woylie in that perspective,"" Dr Ash said.

She said more research was needed to understand the relationship between the parasite and its host.

""You would think after the massive reduction in available hosts, you would jump ship at some point and find someone else to jump onto,"" Dr Ash said.

""It doesn't seem to have done so. Why that is, we just don't know.""

The research was published in the scientific journal Parasites and Vectors in February.";New Australian tick species discovered for first time in more than 50 years;https://news.google.com/articles/CBMibmh0dHBzOi8vd3d3LmFiYy5uZXQuYXUvbmV3cy8yMDE3LTAzLTA5L25ldy1hdXN0cmFsaWFuLXRpY2stZGlzY292ZXJlZC1mb3ItZmlyc3QtdGltZS1pbi1tb3JlLXRoYW4tNTAteS84MzM4ODQw0gEmaHR0cHM6Ly9hbXAuYWJjLm5ldC5hdS9hcnRpY2xlLzgzMzg4NDA?hl=en-US&gl=US&ceid=US%3Aen;https://www.abc.net.au/cm/rimage/8338776-16x9-large.jpg?v=6;2017-03-09;"[{'sent': 'Woylies, or brush-tailed bettongs, were once found across more than 60 per cent of mainland Australia but are now critically endangered in WA and endangered nationally.\n\n', 'ents': {'CARDINAL': ['more than'], 'GPE': ['Australia'], 'ORG': ['WA']}}, {'sent': 'Predation by foxes and feral cats and possibly disease have caused woylie populations to crash by 90 per cent in seven years, according to Murdoch University parasitology researcher Amanda Ash.\n\n', 'ents': {'MONEY': ['90 per cent'], 'ORG': ['Murdoch University'], 'PERSON': ['Amanda Ash']}}, {'sent': 'Dr Ash told ABC Radio Perth it was the first Australian Ixodes tick species to be described in a scientific journal in more than 50 years.\n\n', 'ents': {'ORG': ['Ash', 'ABC Radio Perth']}}, {'sent': '""It is a brand-new tick for Australia.""\n\n', 'ents': {'GPE': ['Australia']}}, {'sent': 'Aileen Elliot, Murdoch University )\n\n', 'ents': {'PERSON': ['Aileen Elliot'], 'ORG': ['Murdoch University']}}, {'sent': 'Dr Ash, her colleagues and Department of Parks and Wildlife staff have studied woylies for the past decade to determine if parasite infection could be contributing to their dwindling numbers.\n\n', 'ents': {'PERSON': ['Ash'], 'ORG': ['Wildlife', 'Department of Parks']}}, {'sent': 'The researchers collected ticks from the two remaining woylie populations in southwest WA — Dryandra Woodland near Narrogin and the Upper Warren Region near Manjimup.\n\n', 'ents': {'CARDINAL': ['two'], 'PERSON': ['Dryandra Woodland'], 'GPE': ['Narrogin', 'the Upper Warren Region'], 'ORG': ['Manjimup']}}, {'sent': 'They also studied woylies at Karakamia Wildlife Sanctuary near Gidgegannup, 50 kilometres northeast of Perth.\n\n', 'ents': {'GPE': ['Karakamia', 'Perth', 'Gidgegannup'], 'QUANTITY': ['50 kilometres']}}, {'sent': 'The new tick was found on 42 per cent of the woylies sampled.\n\n', 'ents': {'MONEY': ['42 per cent']}}, {'sent': 'The researchers studied 268 other marsupials in the same areas and only found Ixodes woyliei on two animals.\n\n', 'ents': {'CARDINAL': ['268', 'two']}}, {'sent': ""Dr Ash said the newly-discovered tick's strong preference for woylies puts it at risk of extinction.\n\n"", 'ents': {'ORG': ['Ash']}}, {'sent': 'Woylie populations in southwest WA have dived over the past decade.', 'ents': {'ORG': ['WA']}}, {'sent': '( Supplied: Murdoch University )\n\n', 'ents': {'ORG': ['Murdoch University']}}, {'sent': 'Dr Ash said frequent woylie translocations, which involved treatment for parasites, meant there was a ""very real risk of a future co-extinction event.""\n\n', 'ents': {'ORG': ['Ash'], 'PERSON': ['woylie translocations']}}, {'sent': '""Because this guy seems to be very specific to the woylie and this blood parasite is found in other creatures, we don\'t think [the tick] is bad to the woylie in that perspective,"" Dr Ash said.\n\n', 'ents': {'PERSON': ['Ash']}}, {'sent': '""You would think after the massive reduction in available hosts, you would jump ship at some point and find someone else to jump onto,"" Dr Ash said.\n\n', 'ents': {'PERSON': ['Ash']}}, {'sent': 'The research was published in the scientific journal Parasites and Vectors in February.', 'ents': {'ORG': ['Parasites and Vectors']}}]";Negative
 Babirusa;Babyrousa babyrussa;Indonesia;Vulnerable;2020-06-18;Animalia;Mammalia;Artiodactyla;Suidae;Babyrousa;babyrussa;I;Indonesia;;"THREE of the world’s rarest pigs have been born at Chester Zoo.

The tiny trio of babirusa piglets arrived to mum Kendari, six, following a pregnancy of five months.

It is the first time ever that babirusa triplets have been born at the zoo – a rare occurrence which is thought to only happen in around four per cent of babirusa births.

And as we are still enjoying some of the hottest days of the year, the little piggies found the perfect way to cool off by taking a bath in mud, glorious mud!

Babirusa are found on the island of Sulawesi in Indonesia where their numbers have crashed to fewer than 5,000. They were once viewed as common but a proliferation of hunting for their meat and habitat loss has seen them disappear from many parts of the island.

Tim Rowlands, Curator of Mammals, said: “Babirusa are, without question, one of the of the rarest pig species on the planet. It’s an animal that’s extremely vulnerable to extinction and under huge pressure for its long term survival.

“We’re fighting alongside Indonesian conservationists and the Indonesian government to reverse the decline of the babirusa in its homeland.

“Chester Zoo is also one of the world leaders in breeding these charismatic pigs. By making sure there is a sustainable population in zoos, whose genetic diversity represents the genetic diversity in the wild, the global zoo community can play a vital role in saving this species from extinction. Kendari’s new trio of piglets are special additions to the world’s population.”

Conservationists from Chester Zoo are working with the International Union for the Conservation of Nature (IUCN) and zoos in Indonesia to share husbandry practices and promote the importance of cooperative conservation breeding programmes to save the species; as well as helping to deliver education activities.

Back in the Chester, the latest set of piglets were born on 20 May. Given the sensitive nature of the species, mum had been caring for her youngsters in a special behind-the-scenes breeding area. But now, Kendari has shown off her important, playful newborns for the first time in the zoo’s babirusa habitat.

For more on Chester Zoo’s babirusa conservation work, see: www.actforwildlife.org.uk/conservation-news/reverse-decline-asian-wild-cattle-populations/

Babirusa facts:

• The piglets, which have not yet been sexed or named, were born on 20 May 2018

• Mum Kendari is six years old (born on 28/10/2011)

• Dad is called Sausu

• Babirusa go through a five-month-long pregnancy

• They feed on fruit, seeds, nuts, insects and fungi

• In Malay, the name babirusa means ‘pig deer’

• Listed by the International Union for the Conservation of Nature (IUCN) as vulnerable to extinction

• The species, which was once thought to be reasonably common, has largely disappeared from some areas of Sulawesi where they are targeted by hunters for their meat and threatened by the loss of their tropical rainforests habitat, as it taken over by farmers and developers.";Video & pictures: Trio of rare pigs introduce themselves at Chester Zoo with a messy mud bath;https://news.google.com/articles/CBMiiwFodHRwczovL3d3dy5jaGVzdGVyc3RhbmRhcmQuY28udWsvbmV3cy8xNjMzMjgwNS52aWRlby1waWN0dXJlcy10cmlvLW9mLXJhcmUtcGlncy1pbnRyb2R1Y2UtdGhlbXNlbHZlcy1hdC1jaGVzdGVyLXpvby13aXRoLWEtbWVzc3ktbXVkLWJhdGgv0gEA?hl=en-US&gl=US&ceid=US%3Aen;https://www.chesterstandard.co.uk/resources/images/8020928/;2018-07-04;"[{'sent': 'THREE of the world’s rarest pigs have been born at Chester Zoo.\n\n', 'ents': {'CARDINAL': ['THREE'], 'ORG': ['Chester Zoo']}}, {'sent': 'The tiny trio of babirusa piglets arrived to mum Kendari, six, following a pregnancy of five months.\n\n', 'ents': {'ORG': ['Kendari'], 'CARDINAL': ['six']}}, {'sent': 'It is the first time ever that babirusa triplets have been born at the zoo – a rare occurrence which is thought to only happen in around four per cent of babirusa births.\n\n', 'ents': {'MONEY': ['around four per cent']}}, {'sent': 'Babirusa are found on the island of Sulawesi in Indonesia where their numbers have crashed to fewer than 5,000.', 'ents': {'GPE': ['Indonesia', 'Sulawesi'], 'CARDINAL': ['fewer than 5,000']}}, {'sent': 'Tim Rowlands, Curator of Mammals, said: “Babirusa are, without question, one of the of the rarest pig species on the planet.', 'ents': {'PERSON': ['Tim Rowlands'], 'ORG': ['Curator of Mammals']}}, {'sent': '“Chester Zoo is also one of the world leaders in breeding these charismatic pigs.', 'ents': {'ORG': ['Chester Zoo']}}, {'sent': 'Kendari’s new trio of piglets are special additions to the world’s population.”\n\n', 'ents': {'ORG': ['Kendari']}}, {'sent': 'Conservationists from Chester Zoo are working with the International Union for the Conservation of Nature (IUCN) and zoos in Indonesia to share husbandry practices and promote the importance of cooperative conservation breeding programmes to save the species; as well as helping to deliver education activities.\n\n', 'ents': {'ORG': ['IUCN', 'the International Union for the Conservation of Nature', 'Chester Zoo'], 'GPE': ['Indonesia']}}, {'sent': 'Back in the Chester, the latest set of piglets were born on 20 May.', 'ents': {'PERSON': ['Chester']}}, {'sent': 'But now, Kendari has shown off her important, playful newborns for the first time in the zoo’s babirusa habitat.\n\n', 'ents': {'ORG': ['Kendari']}}, {'sent': 'For more on Chester Zoo’s babirusa conservation work, see: www.actforwildlife.org.uk/conservation-news/reverse-decline-asian-wild-cattle-populations/\n\n', 'ents': {'ORG': ['Chester Zoo’s']}}, {'sent': '• Mum Kendari is six years old (born on 28/10/2011)\n\n', 'ents': {'PERSON': ['Mum Kendari']}}, {'sent': '• Dad is called Sausu\n\n', 'ents': {'GPE': ['Sausu']}}, {'sent': 'In Malay, the name babirusa means ‘pig deer’\n\n', 'ents': {'GPE': ['Malay']}}, {'sent': 'Listed by the International Union for the Conservation of Nature (IUCN) as vulnerable to extinction\n\n', 'ents': {'ORG': ['the International Union for the Conservation of Nature', 'IUCN']}}, {'sent': 'The species, which was once thought to be reasonably common, has largely disappeared from some areas of Sulawesi where they are targeted by hunters for their meat and threatened by the loss of their tropical rainforests habitat, as it taken over by farmers and developers.', 'ents': {'ORG': ['Sulawesi']}}]";Positive
Bali Myna;Leucopsar rothschildi;Indonesia;CR;2020-06-18;Animalia;Aves;Passeriformes;Sturnidae;Leucopsar;rothschildi;I;Indonesia;;"MIRI: The Sarawak Forestry Corporation (SFC) raided an illegal wildlife farm near Sibu, Sarawak and rescued more than two dozen rare mammals, endangered birds and crocodiles.

The raid was carried out last week on a plot of private land in the outskirts of Sibu.

However, specifics of the operation cannot be disclosed to ensure future raids are not jeopardised.

Among the 14 species of rare animals seized from the place were a macaque, a monkey, a sun bear, a bear-cat, several porcupines and hedgehogs, a variety of endangered birds including Oriental Pied hornbill, eagles, parrots, pigeons, Bali Myna, tortoises and two big crocodiles.

SFC chief executive officer Zolkipli Mohamad Aton told The Star that the SFC enforcement personnel carried out the surprise raid at the farm recently after gathering information.

""Investigations showed that it was an illegal wildlife farm.

""The rescued animals were sent to the Matang Wildlife Sanctuary in Kuching,"" he said.

He added that SFC would be relentless in its state-wide crackdown against wildlife abuse and exploitation.

""We mean business,"" he said.

Zolkipli said SFC was also working hard to organise education campaigns against wildlife abuses.

""Education and awareness campaigns are important too.

""Our long-term goal is to stop the abuse, trading and eating of wildlife in Sarawak.

""Any form of exploitation of protected and totally-protected species is a definite no,"" he said.

Zolkipli said those caught capturing, possessing or selling protected wildlife can be fined up to RM50,000 or jailed up to five years upon conviction.

He also urged for more public information to be channelled to the SFC hotlines set up to tackle wildlife abuse in Sarawak.

These SFC hotlines are in Kuching (019-885 9996,016-856 5564) in Sibu (019-819 0140,019-889 4474) in Bintulu (019-822 3449) and in Miri (019-822 4566,019-829 0994).";Illegal wildlife farm near Sibu raided, over two dozen endangered animals rescued;https://news.google.com/articles/CAIiEGQ7BtsfI8oJZ4TKZfGbFuEqGQgEKhAIACoHCAow-N7eCjC60NYBMLfbhwM?hl=en-US&gl=US&ceid=US%3Aen;https://apicms.thestar.com.my/uploads/images/2019/10/16/331338.png;2019-10-16;"[{'sent': 'The Sarawak Forestry Corporation (SFC) raided an illegal wildlife farm near Sibu, Sarawak and rescued more than two dozen rare mammals, endangered birds and crocodiles.\n\n', 'ents': {'ORG': ['The Sarawak Forestry Corporation', 'SFC'], 'GPE': ['Sarawak', 'Sibu'], 'CARDINAL': ['more than two dozen']}}, {'sent': 'The raid was carried out last week on a plot of private land in the outskirts of Sibu.\n\n', 'ents': {'ORG': ['Sibu']}}, {'sent': 'Among the 14 species of rare animals seized from the place were a macaque, a monkey, a sun bear, a bear-cat, several porcupines and hedgehogs, a variety of endangered birds including Oriental Pied hornbill, eagles, parrots, pigeons, Bali Myna, tortoises and two big crocodiles.\n\n', 'ents': {'CARDINAL': ['14', 'two'], 'PERSON': ['Bali Myna']}}, {'sent': 'SFC chief executive officer', 'ents': {'ORG': ['SFC']}}, {'sent': 'Zolkipli Mohamad Aton told The Star that the SFC enforcement personnel carried out the surprise raid at the farm recently after gathering information.\n\n', 'ents': {'PERSON': ['Zolkipli Mohamad Aton'], 'ORG': ['SFC']}}, {'sent': '""The rescued animals were sent to the Matang Wildlife Sanctuary in Kuching,"" he said.\n\n', 'ents': {'GPE': ['Kuching', 'Matang']}}, {'sent': 'He added that SFC would be relentless in its state-wide crackdown against wildlife abuse and exploitation.\n\n', 'ents': {'ORG': ['SFC']}}, {'sent': 'Zolkipli said SFC was also working hard to organise education campaigns against wildlife abuses.\n\n', 'ents': {'ORG': ['SFC', 'Zolkipli']}}, {'sent': '""Our long-term goal is to stop the abuse, trading and eating of wildlife in Sarawak.\n\n', 'ents': {'GPE': ['Sarawak']}}, {'sent': 'Zolkipli said those caught capturing, possessing or selling protected wildlife can be fined up to RM50,000 or jailed up to five years upon conviction.\n\n', 'ents': {'PERSON': ['Zolkipli']}}, {'sent': 'He also urged for more public information to be channelled to the SFC hotlines set up to tackle wildlife abuse in Sarawak.\n\n', 'ents': {'ORG': ['SFC'], 'GPE': ['Sarawak']}}, {'sent': 'These SFC hotlines are in Kuching (019-885 9996,016-856 5564) in Sibu (019-819 0140,019-889 4474) in Bintulu (019-822 3449) and in Miri (019-822 4566,019-829 0994).', 'ents': {'ORG': ['SFC'], 'GPE': ['Bintulu', 'Miri', 'Kuching', 'Sibu'], 'CARDINAL': ['019-819', '4566,019-829 0994']}}]";Negative
 Southern Sea Otter;Enhydra lutris nereis;Canada, Mexico, United States of America;;2020-06-18;Animalia;Mammalia;Carnivora;Mustelidae;Enhydra;lutris;I;Canada,Mexico,United States of America;;"When the furry sea otter’s little head popped out of the water’s surface just off Crystal Cove on Thursday, Holly Fletcher and Kaitlin Magliano screamed with excitement.

The duo, who both work for the Crystal Cove Alliance, were scouting the area after word the critter had been hanging out just south of the historic cottages the past few days – a rare sighting of a mammal that seems to be coming back home to Orange County waters the past few years.

They gave him a name: Ollie the otter.

“They are so rare here, I think it’s so special to see it down here,” said Fletcher, who was armed with binoculars and cameras in anticipation of the sighting.

Julianne Steers, director of husbandry at the Ocean Institute, said there was once a prominent otter population along the Orange County coastline decades ago.

There’s been just a handful of sightings the past few years, and Steers said it’s less likely El Niño-driven like the other sea animal anomalies seen along Orange County’s coast, but more likely that there’s a food source here they are chasing. She said there’s also been word of sightings off San Clemente and San Mateo.

“I always think it’s exciting from my viewpoint, to see there’s a restoration of our ecosystem is always delightful to see,” she said. “Any little bit of hope we have to restore balance is intriguing.”

Sea otters disappeared from the area for several reasons.

First, they were overhunted. The fur trade from the late 1700s to early 1900s nearly brought the animals to extinction, but a colony of about 50 otters was discovered in 1938 in a cove near the Bixby Bridge in Big Sur.

With protection from the North Pacific Fur Seal Convention of 1911, sea otters were granted protection from trapping, and their listing as an endangered species in 1973 protected them from incidental or accidental take from commercial fishing operations and protected vital habitat locations.

Then, the U.S. Fish and Wildlife Service implemented a program in 1987 that introduced a small species of otters to San Nicolas Island, which is part of California’s Channel Islands, in an effort to protect the federally threatened sea otter.

As part of that program, “no otter zones” were set up, which meant any otters found south of Santa Barbara County were relocated to the north. The U.S. Fish and Wildlife Service terminated the program in December 2012, allowing the otters to swim in their natural range, which is expected to boost recovery of the species.

A whale watching boat from Dana Wharf saw an otter off the coast of Laguna in December 2011. It was their first sighting in 30 years. Then, there were a few sightings in 2013 near Huntington Harbour and the Seal Beach National Wildlife Refuge.

“Since we’ve seen it a few times over the past several years, maybe it will develop into consistency,” Steers said. “But it’s a challenge to say at this point.”

Another sighting occurred Wednesday, when Yen Choi, of Aliso Viejo, was down at Strands Beach in Dana Point and saw an otter playing about 10 feet from shore. It’s hard to tell if it was the same one spotted by Fletcher.

“It was funny watching the otter just bouncing up and down in the waves and watching surfers for about 5 minutes, then disappear,” she said.

Ryan Lawler, owner of Newport Coastal Adventure, also spotted an otter on Saturday at Crystal Cove. He snapped photos of it munching on a lobster.

The otter population was once estimated at around 16,000. The southern sea otter once roamed the Pacific coast from the Oregon/Washington border down to Baja, Mexico.

Over the past 100 years, otters have expanded from the Morro Bay area north and south. In 2012, the population was estimated at 2,792, according to a 2012 U.S. Geological Survey. In 2014, that number rose to 2,944.

Fletcher has traveled several times to Northern California to see the otters, but this is the first time she’s seen one in her own backyard.

Fletcher said Ollie’s appearance is testament that conservation efforts in the area are paying off. They watched as it had two lunches – first an octopus, and then a lobster. The otter floated on its back, the meals resting on its tummy while it munched.

The increased food supply for the otter could be credited to Crystal Cove being a marine conservation area, where fishing is limited at certain times of the year. Studies show there are a lot of fish and plankton in the area, she said.

“I think the greatest message is the conservation is working if they are making their way down here,” Fletcher said.

Contact the writer: lconnelly@ocregister.com";Rare sea otter sighting in Orange County offers hope of resurgence;https://news.google.com/articles/CBMiaWh0dHBzOi8vd3d3Lm9jcmVnaXN0ZXIuY29tLzIwMTYvMDMvMTkvcmFyZS1zZWEtb3R0ZXItc2lnaHRpbmctaW4tb3JhbmdlLWNvdW50eS1vZmZlcnMtaG9wZS1vZi1yZXN1cmdlbmNlL9IBbWh0dHBzOi8vd3d3Lm9jcmVnaXN0ZXIuY29tLzIwMTYvMDMvMTkvcmFyZS1zZWEtb3R0ZXItc2lnaHRpbmctaW4tb3JhbmdlLWNvdW50eS1vZmZlcnMtaG9wZS1vZi1yZXN1cmdlbmNlL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen;https://www.ocregister.com/wp-content/uploads/migration/o4e/o4efvn-otter.jpg?w=1024&h=670;2016-03-19;[{'sent': 'When the furry sea otter’s little head popped out of the water’s surface just off Crystal Cove on Thursday, Holly Fletcher and Kaitlin Magliano screamed with excitement.\n\n', 'ents': {'PERSON': ['Holly Fletcher', 'Kaitlin Magliano']}}, {'sent': 'The duo, who both work for the Crystal Cove Alliance, were scouting the area after word the critter had been hanging out just south of the historic cottages the past few days – a rare sighting of a mammal that seems to be coming back home to Orange County waters the past few years.\n\n', 'ents': {'ORG': ['the Crystal Cove Alliance'], 'GPE': ['Orange County']}}, {'sent': 'so special to see it down here,” said Fletcher, who was armed with binoculars and cameras in anticipation of the sighting.\n\n', 'ents': {'ORG': ['Fletcher']}}, {'sent': 'Julianne Steers, director of husbandry at the Ocean Institute, said there was once a prominent otter population along the Orange County coastline decades ago.\n\n', 'ents': {'PERSON': ['Julianne Steers'], 'ORG': ['the Ocean Institute'], 'GPE': ['Orange County']}}, {'sent': 'There’s been just a handful of sightings the past few years, and Steers said it’s less likely', 'ents': {'ORG': ['Steers']}}, {'sent': 'El Niño-driven like the other sea animal anomalies seen along Orange County’s coast, but more likely that there’s a food source here they are chasing.', 'ents': {'PERSON': ['El Niño'], 'GPE': ['Orange County']}}, {'sent': 'She said there’s also been word of sightings off San Clemente and San Mateo.\n\n', 'ents': {'GPE': ['San Clemente', 'San Mateo']}}, {'sent': 'The fur trade from the late 1700s to early 1900s nearly brought the animals to extinction, but a colony of about 50 otters was discovered in 1938 in a cove near the Bixby Bridge in Big Sur.\n\n', 'ents': {'CARDINAL': ['about 50'], 'GPE': ['Big Sur']}}, {'sent': 'Then, the U.S. Fish and Wildlife Service implemented a program in 1987 that introduced a small species of otters to San Nicolas Island, which is part of California’s Channel Islands, in an effort to protect the federally threatened sea otter.\n\n', 'ents': {'ORG': ['the U.S. Fish and Wildlife Service'], 'GPE': ['Channel Islands', 'California']}}, {'sent': 'As part of that program, “no otter zones” were set up, which meant any otters found south of Santa Barbara County were relocated to the north.', 'ents': {'GPE': ['Santa Barbara County']}}, {'sent': 'The U.S. Fish and Wildlife Service terminated the program in December 2012, allowing the otters to swim in their natural range, which is expected to boost recovery of the species.\n\n', 'ents': {'ORG': ['The U.S. Fish and Wildlife Service']}}, {'sent': 'A whale watching boat from Dana Wharf saw an otter off the coast of Laguna in December 2011.', 'ents': {'ORG': ['Dana Wharf', 'Laguna']}}, {'sent': 'Another sighting occurred Wednesday, when Yen Choi, of Aliso Viejo, was down at Strands Beach in Dana Point and saw an otter playing about 10 feet from shore.', 'ents': {'PERSON': ['Aliso Viejo', 'Yen Choi'], 'GPE': ['Dana Point'], 'QUANTITY': ['about 10 feet']}}, {'sent': 'It’s hard to tell if it was the same one spotted by Fletcher.\n\n', 'ents': {'ORG': ['Fletcher']}}, {'sent': 'Ryan Lawler, owner of Newport Coastal Adventure, also spotted an otter on Saturday at Crystal Cove.', 'ents': {'PERSON': ['Ryan Lawler'], 'ORG': ['Newport Coastal Adventure']}}, {'sent': 'The otter population was once estimated at around 16,000.', 'ents': {'CARDINAL': ['around 16,000']}}, {'sent': 'The southern sea otter once roamed the Pacific coast from the Oregon/Washington border down to Baja, Mexico.\n\n', 'ents': {'GPE': ['Washington', 'Baja', 'Mexico', 'Oregon']}}, {'sent': 'In 2012, the population was estimated at 2,792, according to a 2012 U.S. Geological Survey.', 'ents': {'CARDINAL': ['2,792'], 'ORG': ['U.S. Geological Survey']}}, {'sent': 'In 2014, that number rose to 2,944.\n\n', 'ents': {'CARDINAL': ['2,944']}}, {'sent': 'Fletcher has traveled several times to Northern California to see the otters, but this is the first time she’s seen one in her own backyard.\n\n', 'ents': {'ORG': ['Fletcher']}}, {'sent': 'Fletcher said', 'ents': {'ORG': ['Fletcher']}}, {'sent': 'Ollie’s appearance is testament that conservation efforts in the area are paying off.', 'ents': {'PERSON': ['Ollie']}}, {'sent': 'They watched as it had two lunches – first an octopus, and then a lobster.', 'ents': {'CARDINAL': ['two']}}, {'sent': 'Studies show there are a lot of fish and plankton in the area, she said.\n\n', 'ents': {'GPE': ['plankton']}}, {'sent': '“I think the greatest message is the conservation is working if they are making their way down here,” Fletcher said.\n\n', 'ents': {'ORG': ['Fletcher']}}];Positive
