journals;shares;COUNTER
NaN;314512.0;2066
www.livescience;290446.0;194
www.theguardian;165581.0;316
www.nationalgeographic;159180.0;311
news.mongabay;156888.0;926
www.mirror;123141.0;24
www.ecowatch;91506.0;39
www.thevintagenews;49555.0;7
af.reuters;47213.0;2
in.reuters;47210.0;1
www.thebetterindia;33608.0;25
www.independent;31271.0;114
in.news.yahoo;31231.0;13
theconversation;30612.0;149
www.wideopencountry;30420.0;1
mymodernmet;24795.0;1
www.popularmechanics;20829.0;12
news.yahoo;18569.0;18
www.science101;18455.0;8
www.brusselstimes;18358.0;4
www.straitstimes;16055.0;113
