scientific_name;Countries;mentions_country;sharecount;article_cnt;gl_hits;Charisma;Kingdom;Class;Order;Family;Genus;Species;Listing;NativeDistributionFullNames;Extinct_Distribution
Abies guatemalensis;guatemala;2;1384.0;3;35400;0;Plantae;;Pinales;Pinaceae;Abies;guatemalensis;I;El Salvador,Guatemala,Honduras,Mexico;
Abies guatemalensis;canada;1;1384.0;3;35400;0;Plantae;;Pinales;Pinaceae;Abies;guatemalensis;I;El Salvador,Guatemala,Honduras,Mexico;
Abies guatemalensis;mexico;1;1384.0;3;35400;0;Plantae;;Pinales;Pinaceae;Abies;guatemalensis;I;El Salvador,Guatemala,Honduras,Mexico;
Abronia campbelli;guatemala;1;28.0;2;3300;0;Animalia;Reptilia;Sauria;Anguidae;Abronia;campbelli;I;Guatemala;
Abronia campbelli;india;1;28.0;2;3300;0;Animalia;Reptilia;Sauria;Anguidae;Abronia;campbelli;I;Guatemala;
Abronia campbelli;mexico;1;28.0;2;3300;0;Animalia;Reptilia;Sauria;Anguidae;Abronia;campbelli;I;Guatemala;
Acerodon jubatus;myanmar;8;5286.0;20;31200;0;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;I;Philippines;
Acerodon jubatus;thailand;5;5286.0;20;31200;0;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;I;Philippines;
Acerodon jubatus;philippines;4;5286.0;20;31200;0;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;I;Philippines;
Acerodon jubatus;australia;3;5286.0;20;31200;0;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;I;Philippines;
Acerodon jubatus;india;3;5286.0;20;31200;0;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;I;Philippines;
Acerodon jubatus;senegal;3;5286.0;20;31200;0;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;I;Philippines;
Acerodon jubatus;china;2;5286.0;20;31200;0;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;I;Philippines;
