scientific_name;Countries;mentions_country;article_cnt
Abies guatemalensis;canada;2;4
Abies guatemalensis;guatemala;2;4
Abies guatemalensis;colombia;1;4
Abies guatemalensis;denmark;1;4
Abies guatemalensis;mexico;1;4
Abies guatemalensis;sweden;1;4
Abronia campbelli;costa rica;1;2
Abronia campbelli;guatemala;1;2
Abronia campbelli;india;1;2
Abronia campbelli;mexico;1;2
Abronia campbelli;united states;1;2
Acerodon jubatus;philippines;12;20
Acerodon jubatus;indonesia;3;20
Acerodon jubatus;myanmar;3;20
Acerodon jubatus;china;2;20
Acerodon jubatus;japan;2;20
Acerodon jubatus;madagascar;2;20
Acerodon jubatus;malaysia;2;20
Acerodon jubatus;australia;1;20
Acerodon jubatus;cameroon;1;20
Acerodon jubatus;germany;1;20
Acerodon jubatus;india;1;20
Acerodon jubatus;ireland;1;20
Acerodon jubatus;nepal;1;20
Acerodon jubatus;new caledonia;1;20
Acerodon jubatus;new zealand;1;20
Acerodon jubatus;papua new guinea;1;20
Acerodon jubatus;saudi arabia;1;20
Acerodon jubatus;senegal;1;20
Acerodon jubatus;south africa;1;20
Acerodon jubatus;south korea;1;20
Acerodon jubatus;sri lanka;1;20
Acerodon jubatus;switzerland;1;20
Acerodon jubatus;taiwan;1;20
Acerodon jubatus;thailand;1;20
Acerodon jubatus;vietnam;1;20
Acerodon jubatus;zimbabwe;1;20
Aceros nipalensis;india;14;22
Aceros nipalensis;bhutan;6;22
Aceros nipalensis;myanmar;6;22
Aceros nipalensis;thailand;5;22
Aceros nipalensis;china;2;22
Aceros nipalensis;laos;2;22
Aceros nipalensis;vietnam;2;22
Aceros nipalensis;bangladesh;1;22
Aceros nipalensis;hong kong;1;22
Aceros nipalensis;indonesia;1;22
Aceros nipalensis;iran;1;22
Aceros nipalensis;kazakhstan;1;22
Aceros nipalensis;malaysia;1;22
Aceros nipalensis;nepal;1;22
Aceros nipalensis;pakistan;1;22
Aceros nipalensis;sri lanka;1;22
Achillides chikae chikae;australia;1;1
Achillides chikae chikae;belgium;1;1
Achillides chikae chikae;cameroon;1;1
Achillides chikae chikae;ecuador;1;1
Achillides chikae chikae;japan;1;1
Achillides chikae chikae;malaysia;1;1
Achillides chikae chikae;philippines;1;1
Achillides chikae chikae;slovenia;1;1
Achillides chikae chikae;tanzania;1;1
Acinonyx jubatus;india;5;50
Acinonyx jubatus;south africa;5;50
Acinonyx jubatus;iran;4;50
Acinonyx jubatus;namibia;4;50
Acinonyx jubatus;china;2;50
Acinonyx jubatus;egypt;2;50
Acinonyx jubatus;afghanistan;1;50
Acinonyx jubatus;algeria;1;50
Acinonyx jubatus;ethiopia;1;50
Acinonyx jubatus;france;1;50
Acinonyx jubatus;gabon;1;50
Acinonyx jubatus;georgia;1;50
Acinonyx jubatus;iraq;1;50
Acinonyx jubatus;israel;1;50
Acinonyx jubatus;jordan;1;50
Acinonyx jubatus;kazakhstan;1;50
Acinonyx jubatus;kuwait;1;50
Acinonyx jubatus;madagascar;1;50
Acinonyx jubatus;nepal;1;50
Acinonyx jubatus;netherlands;1;50
Acinonyx jubatus;oman;1;50
Acinonyx jubatus;pakistan;1;50
Acinonyx jubatus;russia;1;50
Acinonyx jubatus;rwanda;1;50
Acinonyx jubatus;switzerland;1;50
Acinonyx jubatus;syria;1;50
Acinonyx jubatus;thailand;1;50
Acinonyx jubatus;turkey;1;50
Acinonyx jubatus;turkmenistan;1;50
Acinonyx jubatus;uganda;1;50
Acinonyx jubatus;united states;1;50
Acinonyx jubatus;uzbekistan;1;50
Acipenser brevirostrum;canada;5;26
Acipenser brevirostrum;china;2;26
Acipenser brevirostrum;georgia;2;26
Acipenser brevirostrum;brazil;1;26
Acipenser brevirostrum;puerto rico;1;26
Acipenser brevirostrum;russia;1;26
Acipenser brevirostrum;united states;1;26
Acipenser sturio;canada;8;55
Acipenser sturio;france;6;55
Acipenser sturio;russia;6;55
Acipenser sturio;china;4;55
Acipenser sturio;georgia;4;55
Acipenser sturio;germany;4;55
Acipenser sturio;iran;4;55
Acipenser sturio;romania;4;55
Acipenser sturio;bulgaria;3;55
Acipenser sturio;spain;3;55
Acipenser sturio;japan;2;55
Acipenser sturio;netherlands;2;55
Acipenser sturio;poland;2;55
Acipenser sturio;serbia;2;55
Acipenser sturio;azerbaijan;1;55
Acipenser sturio;bahamas;1;55
Acipenser sturio;croatia;1;55
Acipenser sturio;estonia;1;55
Acipenser sturio;finland;1;55
Acipenser sturio;greece;1;55
Acipenser sturio;hungary;1;55
Acipenser sturio;india;1;55
Acipenser sturio;indonesia;1;55
Acipenser sturio;israel;1;55
Acipenser sturio;italy;1;55
Acipenser sturio;kazakhstan;1;55
Acipenser sturio;latvia;1;55
Acipenser sturio;maldives;1;55
Acipenser sturio;norway;1;55
Acipenser sturio;sweden;1;55
Acipenser sturio;thailand;1;55
Acipenser sturio;turkmenistan;1;55
Acipenser sturio;ukraine;1;55
Acrantophis dumerili;honduras;1;6
Acrantophis dumerili;madagascar;1;6
Acrantophis dumerili;malaysia;1;6
Acrantophis dumerili;philippines;1;6
Acrantophis dumerili;vietnam;1;6
Addax nasomaculatus;chad;5;25
Addax nasomaculatus;china;4;25
Addax nasomaculatus;libya;4;25
Addax nasomaculatus;niger;4;25
Addax nasomaculatus;tunisia;3;25
Addax nasomaculatus;australia;2;25
Addax nasomaculatus;france;2;25
Addax nasomaculatus;kenya;2;25
Addax nasomaculatus;mauritania;2;25
Addax nasomaculatus;morocco;2;25
Addax nasomaculatus;new zealand;2;25
Addax nasomaculatus;nigeria;2;25
Addax nasomaculatus;russia;2;25
Addax nasomaculatus;rwanda;2;25
Addax nasomaculatus;sudan;2;25
Addax nasomaculatus;uzbekistan;2;25
Addax nasomaculatus;algeria;1;25
Addax nasomaculatus;belgium;1;25
Addax nasomaculatus;botswana;1;25
Addax nasomaculatus;democratic republic of the congo;1;25
Addax nasomaculatus;egypt;1;25
Addax nasomaculatus;gabon;1;25
Addax nasomaculatus;hungary;1;25
Addax nasomaculatus;india;1;25
Addax nasomaculatus;iran;1;25
Addax nasomaculatus;japan;1;25
Addax nasomaculatus;kazakhstan;1;25
Addax nasomaculatus;mexico;1;25
Addax nasomaculatus;namibia;1;25
Addax nasomaculatus;sierra leone;1;25
Addax nasomaculatus;south africa;1;25
Addax nasomaculatus;spain;1;25
Addax nasomaculatus;zimbabwe;1;25
Ailuropoda melanoleuca;china;23;33
Ailuropoda melanoleuca;india;3;33
Ailuropoda melanoleuca;australia;2;33
Ailuropoda melanoleuca;hong kong;2;33
Ailuropoda melanoleuca;myanmar;2;33
Ailuropoda melanoleuca;bhutan;1;33
Ailuropoda melanoleuca;brazil;1;33
Ailuropoda melanoleuca;canada;1;33
Ailuropoda melanoleuca;france;1;33
Ailuropoda melanoleuca;japan;1;33
Ailuropoda melanoleuca;laos;1;33
Ailuropoda melanoleuca;luxembourg;1;33
Ailuropoda melanoleuca;nepal;1;33
Ailuropoda melanoleuca;netherlands;1;33
Ailuropoda melanoleuca;russia;1;33
Ailuropoda melanoleuca;south korea;1;33
Ailuropoda melanoleuca;taiwan;1;33
Ailuropoda melanoleuca;vietnam;1;33
Ailurus fulgens;china;30;52
Ailurus fulgens;nepal;23;52
Ailurus fulgens;india;18;52
Ailurus fulgens;myanmar;17;52
Ailurus fulgens;bhutan;15;52
Ailurus fulgens;france;5;52
Ailurus fulgens;laos;3;52
Ailurus fulgens;australia;2;52
Ailurus fulgens;brazil;2;52
Ailurus fulgens;canada;2;52
Ailurus fulgens;germany;2;52
Ailurus fulgens;philippines;2;52
Ailurus fulgens;russia;2;52
Ailurus fulgens;bangladesh;1;52
Ailurus fulgens;hong kong;1;52
Ailurus fulgens;indonesia;1;52
Ailurus fulgens;ireland;1;52
Ailurus fulgens;malaysia;1;52
Ailurus fulgens;mexico;1;52
Ailurus fulgens;new caledonia;1;52
Ailurus fulgens;spain;1;52
Ailurus fulgens;tanzania;1;52
Ailurus fulgens;uganda;1;52
Ailurus fulgens;vietnam;1;52
Alligator sinensis;china;25;39
Alligator sinensis;vietnam;4;39
Alligator sinensis;australia;3;39
Alligator sinensis;india;3;39
Alligator sinensis;indonesia;3;39
Alligator sinensis;singapore;3;39
Alligator sinensis;united states;2;39
Alligator sinensis;austria;1;39
Alligator sinensis;botswana;1;39
Alligator sinensis;brazil;1;39
Alligator sinensis;brunei;1;39
Alligator sinensis;chile;1;39
Alligator sinensis;colombia;1;39
Alligator sinensis;ecuador;1;39
Alligator sinensis;ethiopia;1;39
Alligator sinensis;fiji;1;39
Alligator sinensis;france;1;39
Alligator sinensis;georgia;1;39
Alligator sinensis;haiti;1;39
Alligator sinensis;hong kong;1;39
Alligator sinensis;italy;1;39
Alligator sinensis;jamaica;1;39
Alligator sinensis;japan;1;39
Alligator sinensis;kenya;1;39
Alligator sinensis;laos;1;39
Alligator sinensis;madagascar;1;39
Alligator sinensis;mauritius;1;39
Alligator sinensis;mexico;1;39
Alligator sinensis;myanmar;1;39
Alligator sinensis;new zealand;1;39
Alligator sinensis;peru;1;39
Alligator sinensis;philippines;1;39
Alligator sinensis;russia;1;39
Alligator sinensis;sri lanka;1;39
Allocebus trichotis;china;2;3
Allocebus trichotis;laos;2;3
Allocebus trichotis;madagascar;2;3
Allocebus trichotis;new zealand;2;3
Allocebus trichotis;panama;2;3
Allocebus trichotis;vietnam;2;3
Allocebus trichotis;bolivia;1;3
Allocebus trichotis;cambodia;1;3
Allocebus trichotis;indonesia;1;3
Allocebus trichotis;mongolia;1;3
Allocebus trichotis;papua new guinea;1;3
Allocebus trichotis;tanzania;1;3
Aloe pillansii;cambodia;1;1
Aloe pillansii;laos;1;1
Aloe pillansii;madagascar;1;1
Aloe pillansii;new zealand;1;1
Aloe pillansii;south sudan;1;1
Aloe pillansii;sudan;1;1
Aloe pillansii;uganda;1;1
Aloe polyphylla;south africa;2;7
Aloe polyphylla;ecuador;1;7
Aloe polyphylla;france;1;7
Aloe polyphylla;japan;1;7
Aloe polyphylla;malaysia;1;7
Aloe polyphylla;mexico;1;7
Aloe polyphylla;portugal;1;7
Aloe polyphylla;sri lanka;1;7
Aloe polyphylla;switzerland;1;7
Aloe polyphylla;thailand;1;7
Alouatta palliata;costa rica;14;29
Alouatta palliata;mexico;6;29
Alouatta palliata;panama;5;29
Alouatta palliata;ecuador;3;29
Alouatta palliata;nicaragua;3;29
Alouatta palliata;canada;2;29
Alouatta palliata;colombia;2;29
Alouatta palliata;guatemala;2;29
Alouatta palliata;indonesia;2;29
Alouatta palliata;new zealand;2;29
Alouatta palliata;peru;2;29
Alouatta palliata;australia;1;29
Alouatta palliata;belize;1;29
Alouatta palliata;botswana;1;29
Alouatta palliata;brazil;1;29
Alouatta palliata;bulgaria;1;29
Alouatta palliata;china;1;29
Alouatta palliata;el salvador;1;29
Alouatta palliata;france;1;29
Alouatta palliata;greece;1;29
Alouatta palliata;honduras;1;29
Alouatta palliata;india;1;29
Alouatta palliata;jamaica;1;29
Alouatta palliata;kenya;1;29
Alouatta palliata;madagascar;1;29
Alouatta palliata;malaysia;1;29
Alouatta palliata;norway;1;29
Alouatta palliata;south africa;1;29
Alouatta palliata;spain;1;29
Alouatta palliata;sri lanka;1;29
Alouatta palliata;tanzania;1;29
Alouatta palliata;thailand;1;29
Alouatta palliata;vietnam;1;29
Alouatta pigra;mexico;3;3
Alouatta pigra;guatemala;2;3
Alouatta pigra;australia;1;3
Alouatta pigra;bahamas;1;3
Alouatta pigra;belize;1;3
Alouatta pigra;brazil;1;3
Alouatta pigra;colombia;1;3
Alouatta pigra;greenland;1;3
Alouatta pigra;indonesia;1;3
Alouatta pigra;japan;1;3
Alouatta pigra;macao;1;3
Alouatta pigra;madagascar;1;3
Alouatta pigra;new caledonia;1;3
Alouatta pigra;new zealand;1;3
Alouatta pigra;nicaragua;1;3
Alouatta pigra;philippines;1;3
Alouatta pigra;sri lanka;1;3
Amazona arausiaca;dominica;2;5
Amazona arausiaca;belize;1;5
Amazona arausiaca;costa rica;1;5
Amazona arausiaca;japan;1;5
Amazona arausiaca;martinique;1;5
Amazona auropalliata;australia;3;21
Amazona auropalliata;costa rica;3;21
Amazona auropalliata;mexico;3;21
Amazona auropalliata;singapore;3;21
Amazona auropalliata;el salvador;2;21
Amazona auropalliata;guatemala;2;21
Amazona auropalliata;honduras;2;21
Amazona auropalliata;india;2;21
Amazona auropalliata;macao;2;21
Amazona auropalliata;nicaragua;2;21
Amazona auropalliata;panama;2;21
Amazona auropalliata;belize;1;21
Amazona auropalliata;china;1;21
Amazona auropalliata;guinea;1;21
Amazona auropalliata;indonesia;1;21
Amazona auropalliata;jamaica;1;21
Amazona auropalliata;madagascar;1;21
Amazona auropalliata;malaysia;1;21
Amazona auropalliata;netherlands;1;21
Amazona auropalliata;thailand;1;21
Amazona auropalliata;turkey;1;21
Amazona auropalliata;united kingdom;1;21
Amazona auropalliata;venezuela;1;21
Amazona barbadensis;venezuela;4;6
Amazona barbadensis;argentina;3;6
Amazona barbadensis;bulgaria;2;6
Amazona barbadensis;colombia;2;6
Amazona barbadensis;costa rica;2;6
Amazona barbadensis;ghana;2;6
Amazona barbadensis;indonesia;2;6
Amazona barbadensis;madagascar;2;6
Amazona barbadensis;aruba;1;6
Amazona barbadensis;brazil;1;6
Amazona barbadensis;ecuador;1;6
Amazona barbadensis;guyana;1;6
Amazona barbadensis;mozambique;1;6
Amazona barbadensis;panama;1;6
Amazona barbadensis;puerto rico;1;6
Amazona barbadensis;switzerland;1;6
Amazona brasiliensis;turkey;1;1
Amazona brasiliensis;united states;1;1
Amazona finschi;mexico;2;6
Amazona finschi;india;1;6
Amazona guildingii;australia;2;8
Amazona guildingii;dominica;2;8
Amazona guildingii;germany;2;8
Amazona guildingii;grenada;2;8
Amazona guildingii;barbados;1;8
Amazona guildingii;belgium;1;8
Amazona guildingii;brazil;1;8
Amazona guildingii;china;1;8
Amazona guildingii;cuba;1;8
Amazona guildingii;greece;1;8
Amazona guildingii;guyana;1;8
Amazona guildingii;honduras;1;8
Amazona guildingii;italy;1;8
Amazona guildingii;malaysia;1;8
Amazona guildingii;mexico;1;8
Amazona guildingii;palau;1;8
Amazona guildingii;qatar;1;8
Amazona guildingii;saint lucia;1;8
Amazona guildingii;slovenia;1;8
Amazona guildingii;venezuela;1;8
Amazona guildingii;vietnam;1;8
Amazona imperialis;dominica;4;5
Amazona imperialis;germany;2;5
Amazona imperialis;australia;1;5
Amazona imperialis;brazil;1;5
Amazona imperialis;cuba;1;5
Amazona imperialis;cyprus;1;5
Amazona imperialis;denmark;1;5
Amazona imperialis;israel;1;5
Amazona imperialis;mexico;1;5
Amazona imperialis;montserrat;1;5
Amazona imperialis;netherlands;1;5
Amazona imperialis;puerto rico;1;5
Amazona imperialis;qatar;1;5
Amazona imperialis;saint lucia;1;5
Amazona imperialis;south africa;1;5
Amazona imperialis;spain;1;5
Amazona imperialis;switzerland;1;5
Amazona imperialis;united states;1;5
Amazona leucocephala;india;3;10
Amazona leucocephala;australia;1;10
