,title_lems
,186068
specie,44625
animal,28992
said,25435
one,24288
also,23018
year,22898
wildlife,21138
conservation,20609
forest,18441
bird,17840
new,16006
population,15984
area,15891
endangered,14934
park,14617
wild,13992
national,13406
zoo,13382
found,13148
say,13115
time,12825
two,12668
like,12286
habitat,12132
people,11875
–,11696
many,11207
—,11064
world,10871
would,10814
first,10772
may,10077
around,10070
island,9655
could,9491
number,9473
water,9341
human,9295
u,8749
river,8719
local,8690
part,8581
fish,8150
last,8135
study,8013
turtle,7981
even,7957
see,7931
state,7767
including,7765
day,7694
make,7663
whale,7653
group,7347
cat,7292
three,7212
project,7077
country,7037
international,7012
government,6903
get,6895
known,6884
sea,6810
trade,6773
well,6699
help,6687
natural,6592
work,6575
back,6567
home,6542
rhino,6475
need,6475
according,6457
since,6453
way,6438
bear,6403
south,6387
take,6365
research,6351
still,6293
photo,6194
long,6183
small,6182
it’s,6171
life,6154
large,6126
tree,6101
pangolin,6084
land,5976
community,5960
tiger,5960
place,5927
nature,5918
mammal,5914
elephant,5903
across,5799
extinction,5708
protected,5675
researcher,5667
scientist,5659
much,5644
live,5627
threatened,5596
food,5505
used,5495
team,5413
come,5366
effort,5360
change,5348
made,5234
plant,5203
use,5174
great,5151
million,5099
region,5094
breeding,5034
illegal,5015
along,4935
reserve,4930
report,4889
red,4867
hunting,4854
threat,4836
site,4798
due,4787
go,4758
female,4652
important,4607
marine,4596
find,4595
environment,4569
another,4542
seen,4537
india,4530
know,4521
four,4513
rare,4441
protection,4431
range,4419
near,4410
program,4404
black,4385
protect,4288
different,4284
every,4282
male,4276
big,4254
monkey,4251
north,4225
show,4225
month,4198
loss,4183
however,4181
right,4179
little,4146
several,4136
image,4126
mountain,4117
biodiversity,4114
critically,4113
dolphin,4094
university,4093
leopard,4088
often,4085
high,4060
list,4053
department,4041
good,4039
lion,4006
native,3989
five,3970
indian,3963
environmental,3934
giant,3921
china,3921
crocodile,3891
look,3854
public,3847
largest,3818
among,3786
percent,3775
individual,3773
lemur,3771
family,3770
global,3746
within,3727
official,3720
called,3715
living,3712
case,3711
extinct,3662
northern,3659
africa,3657
plan,3623
left,3589
far,3582
set,3571
working,3564
sanctuary,3557
news,3527
gorilla,3493
primate,3491
world’s,3487
support,3487
told,3481
impact,3448
become,3444
le,3434
white,3428
past,3395
recent,3386
southern,3382
least,3381
lake,3357
ecosystem,3351
story,3348
otter,3330
climate,3330
week,3329
road,3322
using,3312
egg,3289
per,3286
data,3276
beach,3259
body,3257
already,3244
western,3234
result,3222
able,3217
parrot,3213
african,3208
want,3188
lot,3179
thing,3176
development,3153
city,3151
baby,3132
mean,3129
director,3119
member,3116
next,3092
likely,3085
might,3068
dog,3064
don’t,3057
camera,3032
creature,3031
market,3024
fishing,3024
keep,3006
save,3002
away,2999
pet,2995
hope,2994
head,2993
ago,2990
best,2964
point,2954
really,2945
asia,2943
poaching,2930
tortoise,2926
center,2914
resource,2910
service,2908
foot,2901
taken,2900
without,2894
health,2891
information,2885
nest,2869
science,2867
central,2854
activity,2848
going,2848
ground,2847
call,2843
close,2843
today,2835
law,2833
released,2822
give,2811
iucn,2810
wolf,2805
coast,2798
orangutan,2795
chinese,2765
care,2753
australia,2749
born,2744
think,2742
put,2742
name,2735
though,2727
almost,2720
future,2715
size,2711
end,2704
level,2700
face,2691
decade,2686
dr,2669
ocean,2666
act,2662
common,2660
considered,2658
killed,2656
village,2654
predator,2653
deer,2651
early,2650
listed,2638
video,2637
“the,2636
expert,2636
social,2628
making,2625
example,2621
survey,2615
young,2608
never,2606
risk,2595
nearly,2594
conservationist,2586
open,2586
fact,2580
include,2569
discovered,2568
visit,2565
green,2556
old,2543
recently,2532
unique,2528
yet,2527
society,2526
six,2523
disease,2518
field,2516
major,2510
management,2496
west,2491
estimated,2484
asian,2479
action,2457
must,2456
visitor,2455
thought,2453
spotted,2451
death,2431
rainforest,2426
source,2426
better,2417
reptile,2404
authority,2400
scale,2384
survival,2384
problem,2376
mother,2373
season,2359
currently,2354
enough,2352
decline,2346
top,2344
came,2312
provide,2312
april,2302
published,2300
especially,2295
east,2283
increase,2267
took,2251
mile,2248
tourist,2247
named,2246
thousand,2245
given,2245
system,2240
night,2235
frog,2219
hour,2218
rate,2214
staff,2208
oil,2206
san,2205
reported,2201
later,2199
company,2170
cause,2164
lost,2157
eastern,2153
issue,2147
tropical,2145
second,2138
main,2134
move,2132
continue,2131
america,2130
march,2116
history,2113
something,2112
release,2102
house,2099
started,2094
american,2093
traditional,2093
vulnerable,2089
meat,2088
total,2087
eagle,2076
madagascar,2069
others,2067
together,2067
ever,2063
current,2061
dead,2060
farm,2059
prey,2059
blue,2058
adult,2052
fund,2047
hundred,2045
spot,2039
gibbon,2038
form,2026
start,2025
view,2021
got,2020
biologist,2010
shark,2005
union,2004
record,2003
possible,2001
added,1996
eye,1989
organization,1987
run,1983
half,1982
cub,1981
palm,1977
trap,1975
century,1970
centre,1967
they’re,1964
seal,1961
fire,1958
role,1958
full,1956
read,1951
died,1946
california,1938
led,1933
order,1932
always,1930
based,1928
dam,1919
reason,1918
looking,1911
experience,1901
pair,1901
free,1900
captive,1899
author,1893
although,1890
caught,1889
greater,1889
condition,1880
genetic,1872
hand,1868
play,1862
lead,1859
panda,1859
similar,1858
available,1853
police,1850
photograph,1848
that’s,1847
earth,1847
began,1843
outside,1841
kind,1839
process,1835
deforestation,1828
following,1827
actually,1825
bay,1814
remaining,1812
credit,1810
feed,1807
type,1805
line,1803
snake,1802
united,1802
single,1800
sign,1799
via,1796
event,1792
amazon,1791
key,1791
sumatran,1785
landscape,1784
boat,1783
taking,1783
evidence,1780
remain,1778
recovery,1776
eat,1771
medium,1771
saw,1768
special,1765
spread,1761
scientific,1761
huge,1761
cover,1760
chance,1760
offer,1752
poacher,1749
district,1747
“we,1747
foundation,1740
picture,1735
remains,1733
finding,1730
measure,1729
birth,1729
throughout,1725
whether,1714
hard,1714
hunt,1712
hunter,1712
resident,1710
status,1709
estimate,1708
eight,1708
opportunity,1708
southeast,1707
town,1707
seven,1706
rescue,1704
created,1698
various,1696
programme,1696
child,1696
officer,1695
agency,1694
sighting,1693
difficult,1692
low,1691
coronavirus,1683
indonesia,1682
despite,1677
late,1671
diversity,1671
location,1669
man,1666
inside,1662
highly,1661
product,1658
particularly,1653
golden,1645
stop,1644
effect,1638
survive,1635
share,1632
demand,1628
school,1624
went,1617
addition,1617
potential,1614
control,1610
book,1604
turn,1604
latest,1601
hornbill,1600
