title;views;scientific_name;datetime
Lion;297740;Panthera leo;2015-07-01
Lion;302355;Panthera leo;2015-08-01
Lion;218628;Panthera leo;2015-09-01
Lion;244336;Panthera leo;2015-10-01
Lion;225724;Panthera leo;2015-11-01
Lion;206398;Panthera leo;2015-12-01
Lion;227687;Panthera leo;2016-01-01
Lion;225684;Panthera leo;2016-02-01
Lion;218844;Panthera leo;2016-03-01
Lion;221073;Panthera leo;2016-04-01
Lion;235452;Panthera leo;2016-05-01
Lion;206112;Panthera leo;2016-06-01
Lion;181268;Panthera leo;2016-07-01
Lion;176516;Panthera leo;2016-08-01
Lion;191897;Panthera leo;2016-09-01
Lion;195724;Panthera leo;2016-10-01
Lion;204126;Panthera leo;2016-11-01
Lion;192792;Panthera leo;2016-12-01
Lion;215093;Panthera leo;2017-01-01
Lion;223581;Panthera leo;2017-02-01
Lion;574872;Panthera leo;2017-03-01
Lion;176807;Panthera leo;2017-04-01
Lion;186691;Panthera leo;2017-05-01
Lion;167252;Panthera leo;2017-06-01
Lion;177897;Panthera leo;2017-07-01
Lion;169418;Panthera leo;2017-08-01
Lion;176699;Panthera leo;2017-09-01
Lion;190160;Panthera leo;2017-10-01
Lion;185713;Panthera leo;2017-11-01
Lion;160851;Panthera leo;2017-12-01
Lion;197425;Panthera leo;2018-01-01
Lion;187493;Panthera leo;2018-02-01
Lion;212402;Panthera leo;2018-03-01
Lion;221034;Panthera leo;2018-04-01
Lion;203977;Panthera leo;2018-05-01
Lion;173895;Panthera leo;2018-06-01
Lion;188521;Panthera leo;2018-07-01
Lion;171195;Panthera leo;2018-08-01
Lion;176516;Panthera leo;2018-09-01
Lion;198644;Panthera leo;2018-10-01
Lion;190294;Panthera leo;2018-11-01
Lion;177740;Panthera leo;2018-12-01
Lion;181509;Panthera leo;2019-01-01
Lion;174315;Panthera leo;2019-02-01
Lion;173666;Panthera leo;2019-03-01
Lion;166901;Panthera leo;2019-04-01
Lion;159576;Panthera leo;2019-05-01
Lion;148239;Panthera leo;2019-06-01
Lion;206899;Panthera leo;2019-07-01
Lion;185866;Panthera leo;2019-08-01
Lion;166536;Panthera leo;2019-09-01
Lion;175450;Panthera leo;2019-10-01
Lion;164913;Panthera leo;2019-11-01
Lion;143828;Panthera leo;2019-12-01
Lion;166500;Panthera leo;2020-01-01
Lion;172694;Panthera leo;2020-02-01
Lion;574083;Panthera leo;2020-03-01
Lion;356488;Panthera leo;2020-04-01
Lion;206149;Panthera leo;2020-05-01
Lion;165270;Panthera leo;2020-06-01
Lion;169081;Panthera leo;2020-07-01
Lion;180029;Panthera leo;2020-08-01
Lion;180315;Panthera leo;2020-09-01
Lion;187222;Panthera leo;2020-10-01
Lion;177407;Panthera leo;2020-11-01
Lion;170514;Panthera leo;2020-12-01
Blue whale;150468;Balaenoptera musculus;2015-07-01
Blue whale;176104;Balaenoptera musculus;2015-08-01
Blue whale;189933;Balaenoptera musculus;2015-09-01
Blue whale;128297;Balaenoptera musculus;2015-10-01
Blue whale;156619;Balaenoptera musculus;2015-11-01
Blue whale;146664;Balaenoptera musculus;2015-12-01
Blue whale;155472;Balaenoptera musculus;2016-01-01
Blue whale;129261;Balaenoptera musculus;2016-02-01
Blue whale;131394;Balaenoptera musculus;2016-03-01
Blue whale;123032;Balaenoptera musculus;2016-04-01
Blue whale;142522;Balaenoptera musculus;2016-05-01
Blue whale;140613;Balaenoptera musculus;2016-06-01
Blue whale;124692;Balaenoptera musculus;2016-07-01
Blue whale;120497;Balaenoptera musculus;2016-08-01
Blue whale;108258;Balaenoptera musculus;2016-09-01
Blue whale;111556;Balaenoptera musculus;2016-10-01
Blue whale;128102;Balaenoptera musculus;2016-11-01
Blue whale;145902;Balaenoptera musculus;2016-12-01
Blue whale;124035;Balaenoptera musculus;2017-01-01
Blue whale;116596;Balaenoptera musculus;2017-02-01
Blue whale;154082;Balaenoptera musculus;2017-03-01
Blue whale;148637;Balaenoptera musculus;2017-04-01
Blue whale;208262;Balaenoptera musculus;2017-05-01
Blue whale;126717;Balaenoptera musculus;2017-06-01
Blue whale;143848;Balaenoptera musculus;2017-07-01
Blue whale;205592;Balaenoptera musculus;2017-08-01
Blue whale;156557;Balaenoptera musculus;2017-09-01
Blue whale;120332;Balaenoptera musculus;2017-10-01
Blue whale;113359;Balaenoptera musculus;2017-11-01
Blue whale;105188;Balaenoptera musculus;2017-12-01
Blue whale;113461;Balaenoptera musculus;2018-01-01
Blue whale;103411;Balaenoptera musculus;2018-02-01
Blue whale;118587;Balaenoptera musculus;2018-03-01
Blue whale;126907;Balaenoptera musculus;2018-04-01
Blue whale;116648;Balaenoptera musculus;2018-05-01
Blue whale;112302;Balaenoptera musculus;2018-06-01
Blue whale;162386;Balaenoptera musculus;2018-07-01
Blue whale;156485;Balaenoptera musculus;2018-08-01
Blue whale;127652;Balaenoptera musculus;2018-09-01
Blue whale;105501;Balaenoptera musculus;2018-10-01
Blue whale;106489;Balaenoptera musculus;2018-11-01
Blue whale;110721;Balaenoptera musculus;2018-12-01
Blue whale;120025;Balaenoptera musculus;2019-01-01
Blue whale;110702;Balaenoptera musculus;2019-02-01
Blue whale;129601;Balaenoptera musculus;2019-03-01
Blue whale;127985;Balaenoptera musculus;2019-04-01
Blue whale;328964;Balaenoptera musculus;2019-05-01
Blue whale;100387;Balaenoptera musculus;2019-06-01
Blue whale;142483;Balaenoptera musculus;2019-07-01
Blue whale;111063;Balaenoptera musculus;2019-08-01
Blue whale;152356;Balaenoptera musculus;2019-09-01
Blue whale;100826;Balaenoptera musculus;2019-10-01
Blue whale;107175;Balaenoptera musculus;2019-11-01
Blue whale;121940;Balaenoptera musculus;2019-12-01
Blue whale;96301;Balaenoptera musculus;2020-01-01
Blue whale;93276;Balaenoptera musculus;2020-02-01
Blue whale;104548;Balaenoptera musculus;2020-03-01
Blue whale;150812;Balaenoptera musculus;2020-04-01
Blue whale;129081;Balaenoptera musculus;2020-05-01
Blue whale;107072;Balaenoptera musculus;2020-06-01
Blue whale;136980;Balaenoptera musculus;2020-07-01
Blue whale;135015;Balaenoptera musculus;2020-08-01
Blue whale;117267;Balaenoptera musculus;2020-09-01
Blue whale;110726;Balaenoptera musculus;2020-10-01
Blue whale;104265;Balaenoptera musculus;2020-11-01
Blue whale;101639;Balaenoptera musculus;2020-12-01
Tiger;205118;Panthera tigris;2015-07-01
Tiger;215667;Panthera tigris;2015-08-01
Tiger;191684;Panthera tigris;2015-09-01
Tiger;216270;Panthera tigris;2015-10-01
Tiger;223971;Panthera tigris;2015-11-01
Tiger;201816;Panthera tigris;2015-12-01
Tiger;224820;Panthera tigris;2016-01-01
Tiger;216827;Panthera tigris;2016-02-01
Tiger;203965;Panthera tigris;2016-03-01
Tiger;241141;Panthera tigris;2016-04-01
Tiger;242019;Panthera tigris;2016-05-01
Tiger;226086;Panthera tigris;2016-06-01
Tiger;213902;Panthera tigris;2016-07-01
Tiger;195963;Panthera tigris;2016-08-01
Tiger;200758;Panthera tigris;2016-09-01
Tiger;214942;Panthera tigris;2016-10-01
Tiger;214511;Panthera tigris;2016-11-01
Tiger;208017;Panthera tigris;2016-12-01
Tiger;245161;Panthera tigris;2017-01-01
Tiger;199939;Panthera tigris;2017-02-01
Tiger;210478;Panthera tigris;2017-03-01
Tiger;180479;Panthera tigris;2017-04-01
Tiger;188589;Panthera tigris;2017-05-01
Tiger;169644;Panthera tigris;2017-06-01
Tiger;176134;Panthera tigris;2017-07-01
Tiger;159497;Panthera tigris;2017-08-01
Tiger;170041;Panthera tigris;2017-09-01
Tiger;182670;Panthera tigris;2017-10-01
Tiger;194803;Panthera tigris;2017-11-01
Tiger;164670;Panthera tigris;2017-12-01
Tiger;194437;Panthera tigris;2018-01-01
Tiger;187718;Panthera tigris;2018-02-01
Tiger;209017;Panthera tigris;2018-03-01
Tiger;185250;Panthera tigris;2018-04-01
Tiger;196939;Panthera tigris;2018-05-01
Tiger;173803;Panthera tigris;2018-06-01
Tiger;201649;Panthera tigris;2018-07-01
Tiger;189215;Panthera tigris;2018-08-01
Tiger;165781;Panthera tigris;2018-09-01
Tiger;194539;Panthera tigris;2018-10-01
Tiger;182228;Panthera tigris;2018-11-01
Tiger;179836;Panthera tigris;2018-12-01
Tiger;173369;Panthera tigris;2019-01-01
Tiger;171942;Panthera tigris;2019-02-01
Tiger;220424;Panthera tigris;2019-03-01
Tiger;137550;Panthera tigris;2019-04-01
Tiger;133888;Panthera tigris;2019-05-01
Tiger;137961;Panthera tigris;2019-06-01
Tiger;174792;Panthera tigris;2019-07-01
Tiger;170572;Panthera tigris;2019-08-01
Tiger;151092;Panthera tigris;2019-09-01
Tiger;152191;Panthera tigris;2019-10-01
Tiger;143420;Panthera tigris;2019-11-01
Tiger;127391;Panthera tigris;2019-12-01
Tiger;150584;Panthera tigris;2020-01-01
Tiger;144863;Panthera tigris;2020-02-01
Tiger;694465;Panthera tigris;2020-03-01
Tiger;540666;Panthera tigris;2020-04-01
Tiger;208545;Panthera tigris;2020-05-01
Tiger;147780;Panthera tigris;2020-06-01
Tiger;161036;Panthera tigris;2020-07-01
Tiger;145687;Panthera tigris;2020-08-01
Tiger;155192;Panthera tigris;2020-09-01
Tiger;174767;Panthera tigris;2020-10-01
Tiger;159715;Panthera tigris;2020-11-01
Tiger;154163;Panthera tigris;2020-12-01
White rhinoceros;45068;Ceratotherium simum;2015-07-01
White rhinoceros;36757;Ceratotherium simum;2015-08-01
White rhinoceros;23304;Ceratotherium simum;2015-09-01
White rhinoceros;23437;Ceratotherium simum;2015-10-01
White rhinoceros;55266;Ceratotherium simum;2015-11-01
White rhinoceros;28519;Ceratotherium simum;2015-12-01
White rhinoceros;33569;Ceratotherium simum;2016-01-01
White rhinoceros;29663;Ceratotherium simum;2016-02-01
White rhinoceros;27628;Ceratotherium simum;2016-03-01
White rhinoceros;31797;Ceratotherium simum;2016-04-01
White rhinoceros;32247;Ceratotherium simum;2016-05-01
White rhinoceros;23711;Ceratotherium simum;2016-06-01
White rhinoceros;21443;Ceratotherium simum;2016-07-01
White rhinoceros;21898;Ceratotherium simum;2016-08-01
White rhinoceros;24296;Ceratotherium simum;2016-09-01
White rhinoceros;22795;Ceratotherium simum;2016-10-01
White rhinoceros;22966;Ceratotherium simum;2016-11-01
White rhinoceros;22537;Ceratotherium simum;2016-12-01
White rhinoceros;22764;Ceratotherium simum;2017-01-01
White rhinoceros;28210;Ceratotherium simum;2017-02-01
White rhinoceros;35089;Ceratotherium simum;2017-03-01
White rhinoceros;30124;Ceratotherium simum;2017-04-01
White rhinoceros;26434;Ceratotherium simum;2017-05-01
White rhinoceros;22732;Ceratotherium simum;2017-06-01
White rhinoceros;21764;Ceratotherium simum;2017-07-01
White rhinoceros;18968;Ceratotherium simum;2017-08-01
White rhinoceros;22237;Ceratotherium simum;2017-09-01
White rhinoceros;20469;Ceratotherium simum;2017-10-01
White rhinoceros;29153;Ceratotherium simum;2017-11-01
White rhinoceros;22883;Ceratotherium simum;2017-12-01
White rhinoceros;28165;Ceratotherium simum;2018-01-01
White rhinoceros;26640;Ceratotherium simum;2018-02-01
White rhinoceros;320876;Ceratotherium simum;2018-03-01
White rhinoceros;59369;Ceratotherium simum;2018-04-01
White rhinoceros;37599;Ceratotherium simum;2018-05-01
White rhinoceros;30668;Ceratotherium simum;2018-06-01
White rhinoceros;36263;Ceratotherium simum;2018-07-01
White rhinoceros;30110;Ceratotherium simum;2018-08-01
White rhinoceros;30574;Ceratotherium simum;2018-09-01
White rhinoceros;39520;Ceratotherium simum;2018-10-01
White rhinoceros;28473;Ceratotherium simum;2018-11-01
White rhinoceros;44510;Ceratotherium simum;2018-12-01
White rhinoceros;40666;Ceratotherium simum;2019-01-01
White rhinoceros;28568;Ceratotherium simum;2019-02-01
White rhinoceros;29440;Ceratotherium simum;2019-03-01
White rhinoceros;30506;Ceratotherium simum;2019-04-01
White rhinoceros;32011;Ceratotherium simum;2019-05-01
White rhinoceros;23766;Ceratotherium simum;2019-06-01
White rhinoceros;28053;Ceratotherium simum;2019-07-01
White rhinoceros;31752;Ceratotherium simum;2019-08-01
White rhinoceros;27420;Ceratotherium simum;2019-09-01
White rhinoceros;27858;Ceratotherium simum;2019-10-01
White rhinoceros;28479;Ceratotherium simum;2019-11-01
White rhinoceros;33793;Ceratotherium simum;2019-12-01
White rhinoceros;28131;Ceratotherium simum;2020-01-01
